,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.304,0.621,0.523,-0.134,0.221,-0.057,0.325,0.211,0.255,-0.081,-0.137,-0.165,0.25,0.469,0.372
0,A1_1,0.304,1.0,0.479,0.734,0.483,0.565,0.51,0.52,0.66,0.685,0.562,0.647,0.541,0.675,0.466,0.375
0,A1_2,0.621,0.479,1.0,0.544,0.241,0.479,0.167,0.411,0.405,0.45,0.266,0.223,0.19,0.403,0.535,0.539
0,A1_3,0.523,0.734,0.544,1.0,0.356,0.415,0.245,0.472,0.66,0.606,0.437,0.455,0.308,0.645,0.442,0.514
0,B1_1,-0.134,0.483,0.241,0.356,1.0,0.639,0.61,0.088,0.249,0.446,0.854,0.675,0.822,0.713,0.62,0.357
0,B1_2,0.221,0.565,0.479,0.415,0.639,1.0,0.689,0.301,0.333,0.501,0.698,0.67,0.641,0.696,0.7,0.381
0,B1_3,-0.057,0.51,0.167,0.245,0.61,0.689,1.0,0.113,0.116,0.212,0.634,0.649,0.649,0.561,0.595,0.186
0,A2_1,0.325,0.52,0.411,0.472,0.088,0.301,0.113,1.0,0.584,0.62,0.143,0.301,0.072,0.22,0.143,0.237
0,A2_2,0.211,0.66,0.405,0.66,0.249,0.333,0.116,0.584,1.0,0.581,0.305,0.532,0.261,0.391,0.149,0.231
0,A2_3,0.255,0.685,0.45,0.606,0.446,0.501,0.212,0.62,0.581,1.0,0.53,0.483,0.404,0.63,0.427,0.413
0,B2_1,-0.081,0.562,0.266,0.437,0.854,0.698,0.634,0.143,0.305,0.53,1.0,0.681,0.783,0.79,0.57,0.383
0,B2_2,-0.137,0.647,0.223,0.455,0.675,0.67,0.649,0.301,0.532,0.483,0.681,1.0,0.705,0.582,0.434,0.307
0,B2_3,-0.165,0.541,0.19,0.308,0.822,0.641,0.649,0.072,0.261,0.404,0.783,0.705,1.0,0.692,0.526,0.346
0,y1,0.25,0.675,0.403,0.645,0.713,0.696,0.561,0.22,0.391,0.63,0.79,0.582,0.692,1.0,0.66,0.522
0,y2,0.469,0.466,0.535,0.442,0.62,0.7,0.595,0.143,0.149,0.427,0.57,0.434,0.526,0.66,1.0,0.432
0,y3,0.372,0.375,0.539,0.514,0.357,0.381,0.186,0.237,0.231,0.413,0.383,0.307,0.346,0.522,0.432,1.0
1,.,1.0,0.122,0.349,0.311,-0.277,-0.133,-0.242,0.132,0.059,0.109,-0.223,-0.306,-0.279,0.256,0.453,0.385
1,A1_1,0.122,1.0,0.75,0.851,0.484,0.615,0.445,0.787,0.84,0.85,0.596,0.682,0.531,0.112,0.082,0.079
1,A1_2,0.349,0.75,1.0,0.752,0.317,0.463,0.188,0.723,0.73,0.742,0.404,0.41,0.3,0.048,0.184,0.265
1,A1_3,0.311,0.851,0.752,1.0,0.359,0.439,0.223,0.728,0.824,0.799,0.483,0.524,0.354,0.13,0.053,0.17
1,B1_1,-0.277,0.484,0.317,0.359,1.0,0.711,0.711,0.237,0.321,0.416,0.88,0.751,0.855,0.498,0.4,0.302
1,B1_2,-0.133,0.615,0.463,0.439,0.711,1.0,0.776,0.427,0.456,0.509,0.771,0.794,0.738,0.403,0.349,0.237
1,B1_3,-0.242,0.445,0.188,0.223,0.711,0.776,1.0,0.176,0.19,0.219,0.719,0.74,0.748,0.44,0.44,0.225
1,A2_1,0.132,0.787,0.723,0.728,0.237,0.427,0.176,1.0,0.811,0.834,0.338,0.454,0.241,-0.175,-0.1,-0.043
1,A2_2,0.059,0.84,0.73,0.824,0.321,0.456,0.19,0.811,1.0,0.801,0.427,0.584,0.345,-0.137,-0.145,-0.123
1,A2_3,0.109,0.85,0.742,0.799,0.416,0.509,0.219,0.834,0.801,1.0,0.538,0.538,0.407,0.088,0.04,0.071
1,B2_1,-0.223,0.596,0.404,0.483,0.88,0.771,0.719,0.338,0.427,0.538,1.0,0.779,0.832,0.53,0.327,0.304
1,B2_2,-0.306,0.682,0.41,0.524,0.751,0.794,0.74,0.454,0.584,0.538,0.779,1.0,0.79,0.242,0.165,0.153
1,B2_3,-0.279,0.531,0.3,0.354,0.855,0.738,0.748,0.241,0.345,0.407,0.832,0.79,1.0,0.494,0.328,0.301
1,y1,0.256,0.112,0.048,0.13,0.498,0.403,0.44,-0.175,-0.137,0.088,0.53,0.242,0.494,1.0,0.645,0.604
1,y2,0.453,0.082,0.184,0.053,0.4,0.349,0.44,-0.1,-0.145,0.04,0.327,0.165,0.328,0.645,1.0,0.541
1,y3,0.385,0.079,0.265,0.17,0.302,0.237,0.225,-0.043,-0.123,0.071,0.304,0.153,0.301,0.604,0.541,1.0
2,.,1.0,0.008,0.159,0.166,-0.348,-0.239,-0.275,0.039,-0.041,-0.008,-0.298,-0.388,-0.334,0.261,0.473,0.309
2,A1_1,0.008,1.0,0.825,0.874,0.46,0.523,0.374,0.834,0.869,0.88,0.598,0.667,0.528,-0.041,-0.013,0.074
2,A1_2,0.159,0.825,1.0,0.797,0.367,0.438,0.199,0.797,0.8,0.818,0.484,0.476,0.379,-0.061,0.093,0.224
2,A1_3,0.166,0.874,0.797,1.0,0.362,0.376,0.196,0.78,0.858,0.843,0.518,0.542,0.391,0.027,-0.034,0.162
2,B1_1,-0.348,0.46,0.367,0.362,1.0,0.714,0.695,0.254,0.314,0.411,0.876,0.751,0.852,0.398,0.328,0.336
2,B1_2,-0.239,0.523,0.438,0.376,0.714,1.0,0.783,0.375,0.381,0.435,0.769,0.792,0.749,0.303,0.267,0.275
2,B1_3,-0.275,0.374,0.199,0.196,0.695,0.783,1.0,0.154,0.146,0.181,0.695,0.721,0.727,0.357,0.393,0.252
2,A2_1,0.039,0.834,0.797,0.78,0.254,0.375,0.154,1.0,0.847,0.864,0.384,0.477,0.287,-0.264,-0.159,-0.007
2,A2_2,-0.041,0.869,0.8,0.858,0.314,0.381,0.146,0.847,1.0,0.84,0.452,0.58,0.366,-0.243,-0.215,-0.096
2,A2_3,-0.008,0.88,0.818,0.843,0.411,0.435,0.181,0.864,0.84,1.0,0.559,0.547,0.433,-0.025,-0.048,0.093
2,B2_1,-0.298,0.598,0.484,0.518,0.876,0.769,0.695,0.384,0.452,0.559,1.0,0.792,0.839,0.422,0.237,0.346
2,B2_2,-0.388,0.667,0.476,0.542,0.751,0.792,0.721,0.477,0.58,0.547,0.792,1.0,0.8,0.136,0.075,0.187
2,B2_3,-0.334,0.528,0.379,0.391,0.852,0.749,0.727,0.287,0.366,0.433,0.839,0.8,1.0,0.395,0.247,0.335
2,y1,0.261,-0.041,-0.061,0.027,0.398,0.303,0.357,-0.264,-0.243,-0.025,0.422,0.136,0.395,1.0,0.632,0.596
2,y2,0.473,-0.013,0.093,-0.034,0.328,0.267,0.393,-0.159,-0.215,-0.048,0.237,0.075,0.247,0.632,1.0,0.511
2,y3,0.309,0.074,0.224,0.162,0.336,0.275,0.252,-0.007,-0.096,0.093,0.346,0.187,0.335,0.596,0.511,1.0
3,.,1.0,0.027,0.084,0.114,-0.372,-0.262,-0.278,-0.012,-0.102,-0.065,-0.342,-0.435,-0.356,0.205,0.477,0.231
3,A1_1,0.027,1.0,0.885,0.903,0.41,0.482,0.29,0.889,0.9,0.902,0.536,0.592,0.433,-0.083,-0.022,0.093
3,A1_2,0.084,0.885,1.0,0.838,0.425,0.473,0.222,0.845,0.842,0.864,0.518,0.496,0.389,-0.042,0.112,0.183
3,A1_3,0.114,0.903,0.838,1.0,0.351,0.365,0.142,0.824,0.884,0.873,0.491,0.502,0.331,0.032,-0.044,0.138
3,B1_1,-0.372,0.41,0.425,0.351,1.0,0.698,0.658,0.307,0.356,0.424,0.873,0.732,0.838,0.387,0.317,0.312
3,B1_2,-0.262,0.482,0.473,0.365,0.698,1.0,0.765,0.414,0.418,0.434,0.763,0.793,0.73,0.263,0.229,0.203
3,B1_3,-0.278,0.29,0.222,0.142,0.658,0.765,1.0,0.169,0.153,0.15,0.659,0.696,0.699,0.285,0.375,0.168
3,A2_1,-0.012,0.889,0.845,0.824,0.307,0.414,0.169,1.0,0.874,0.884,0.422,0.501,0.304,-0.236,-0.148,0.043
3,A2_2,-0.102,0.9,0.842,0.884,0.356,0.418,0.153,0.874,1.0,0.875,0.48,0.587,0.364,-0.191,-0.209,-0.062
3,A2_3,-0.065,0.902,0.864,0.873,0.424,0.434,0.15,0.884,0.875,1.0,0.559,0.532,0.404,0.003,-0.062,0.106
3,B2_1,-0.342,0.536,0.518,0.491,0.873,0.763,0.659,0.422,0.48,0.559,1.0,0.777,0.818,0.428,0.214,0.328
3,B2_2,-0.435,0.592,0.496,0.502,0.732,0.793,0.696,0.501,0.587,0.532,0.777,1.0,0.768,0.131,0.037,0.156
3,B2_3,-0.356,0.433,0.389,0.331,0.838,0.73,0.699,0.304,0.364,0.404,0.818,0.768,1.0,0.395,0.24,0.323
3,y1,0.205,-0.083,-0.042,0.032,0.387,0.263,0.285,-0.236,-0.191,0.003,0.428,0.131,0.395,1.0,0.571,0.549
3,y2,0.477,-0.022,0.112,-0.044,0.317,0.229,0.375,-0.148,-0.209,-0.062,0.214,0.037,0.24,0.571,1.0,0.416
3,y3,0.231,0.093,0.183,0.138,0.312,0.203,0.168,0.043,-0.062,0.106,0.328,0.156,0.323,0.549,0.416,1.0
4,.,1.0,0.057,0.117,0.114,-0.395,-0.269,-0.29,0.052,-0.067,-0.033,-0.372,-0.439,-0.37,0.044,0.415,0.166
4,A1_1,0.057,1.0,0.904,0.917,0.382,0.405,0.285,0.891,0.9,0.91,0.473,0.559,0.401,-0.049,0.012,0.072
4,A1_2,0.117,0.904,1.0,0.865,0.386,0.394,0.231,0.85,0.852,0.875,0.448,0.463,0.343,-0.014,0.147,0.096
4,A1_3,0.114,0.917,0.865,1.0,0.334,0.316,0.152,0.827,0.892,0.895,0.448,0.488,0.32,0.08,-0.015,0.086
4,B1_1,-0.395,0.382,0.386,0.334,1.0,0.687,0.679,0.253,0.313,0.371,0.863,0.728,0.834,0.424,0.338,0.231
4,B1_2,-0.269,0.405,0.394,0.316,0.687,1.0,0.77,0.335,0.346,0.356,0.757,0.786,0.73,0.338,0.235,0.122
4,B1_3,-0.29,0.285,0.231,0.152,0.679,0.77,1.0,0.16,0.151,0.136,0.666,0.71,0.714,0.265,0.397,0.074
4,A2_1,0.052,0.891,0.85,0.827,0.253,0.335,0.16,1.0,0.87,0.877,0.344,0.456,0.257,-0.199,-0.123,0.015
4,A2_2,-0.067,0.9,0.852,0.892,0.313,0.346,0.151,0.87,1.0,0.873,0.416,0.554,0.321,-0.145,-0.192,-0.102
4,A2_3,-0.033,0.91,0.875,0.895,0.371,0.356,0.136,0.877,0.873,1.0,0.494,0.497,0.357,0.06,-0.045,0.073
4,B2_1,-0.372,0.473,0.448,0.448,0.863,0.757,0.666,0.344,0.416,0.494,1.0,0.77,0.812,0.522,0.221,0.255
4,B2_2,-0.439,0.559,0.463,0.488,0.728,0.786,0.71,0.456,0.554,0.497,0.77,1.0,0.766,0.216,0.063,0.075
4,B2_3,-0.37,0.401,0.343,0.32,0.834,0.73,0.714,0.257,0.321,0.357,0.812,0.766,1.0,0.43,0.251,0.255
4,y1,0.044,-0.049,-0.014,0.08,0.424,0.338,0.265,-0.199,-0.145,0.06,0.522,0.216,0.43,1.0,0.466,0.495
4,y2,0.415,0.012,0.147,-0.015,0.338,0.235,0.397,-0.123,-0.192,-0.045,0.221,0.063,0.251,0.466,1.0,0.313
4,y3,0.166,0.072,0.096,0.086,0.231,0.122,0.074,0.015,-0.102,0.073,0.255,0.075,0.255,0.495,0.313,1.0
5,.,1.0,0.117,0.163,0.161,-0.427,-0.243,-0.313,0.14,0.003,0.014,-0.387,-0.419,-0.384,-0.111,0.287,0.103
5,A1_1,0.117,1.0,0.909,0.914,0.356,0.368,0.247,0.902,0.901,0.906,0.423,0.527,0.367,-0.079,0.037,0.043
5,A1_2,0.163,0.909,1.0,0.877,0.363,0.356,0.195,0.86,0.86,0.88,0.398,0.435,0.311,-0.035,0.177,0.045
5,A1_3,0.161,0.914,0.877,1.0,0.302,0.276,0.111,0.844,0.895,0.898,0.392,0.449,0.282,0.047,-0.001,0.054
5,B1_1,-0.427,0.356,0.363,0.302,1.0,0.682,0.69,0.233,0.294,0.342,0.862,0.733,0.834,0.414,0.379,0.184
5,B1_2,-0.243,0.368,0.356,0.276,0.682,1.0,0.767,0.302,0.315,0.315,0.753,0.782,0.735,0.339,0.266,0.079
5,B1_3,-0.313,0.247,0.195,0.111,0.69,0.767,1.0,0.123,0.116,0.092,0.672,0.711,0.725,0.248,0.421,0.034
5,A2_1,0.14,0.902,0.86,0.844,0.233,0.302,0.123,1.0,0.88,0.883,0.295,0.427,0.239,-0.204,-0.093,0.003
5,A2_2,0.003,0.901,0.86,0.895,0.294,0.315,0.116,0.88,1.0,0.874,0.374,0.524,0.295,-0.144,-0.165,-0.11
5,A2_3,0.014,0.906,0.88,0.898,0.342,0.315,0.092,0.883,0.874,1.0,0.443,0.464,0.32,0.06,-0.024,0.064
5,B2_1,-0.387,0.423,0.398,0.392,0.862,0.753,0.672,0.295,0.374,0.443,1.0,0.772,0.815,0.548,0.261,0.222
5,B2_2,-0.419,0.527,0.435,0.449,0.733,0.782,0.711,0.427,0.524,0.464,0.772,1.0,0.772,0.246,0.109,0.051
5,B2_3,-0.384,0.367,0.311,0.282,0.834,0.735,0.725,0.239,0.295,0.32,0.815,0.772,1.0,0.411,0.269,0.213
5,y1,-0.111,-0.079,-0.035,0.047,0.414,0.339,0.248,-0.204,-0.144,0.06,0.548,0.246,0.411,1.0,0.401,0.472
5,y2,0.287,0.037,0.177,-0.001,0.379,0.266,0.421,-0.093,-0.165,-0.024,0.261,0.109,0.269,0.401,1.0,0.271
5,y3,0.103,0.043,0.045,0.054,0.184,0.079,0.034,0.003,-0.11,0.064,0.222,0.051,0.213,0.472,0.271,1.0
6,.,1.0,0.236,0.252,0.201,-0.46,-0.189,-0.309,0.298,0.155,0.148,-0.384,-0.368,-0.375,-0.238,0.125,-0.051
6,A1_1,0.236,1.0,0.875,0.872,0.263,0.257,0.135,0.845,0.872,0.873,0.344,0.477,0.304,0.044,0.089,0.114
6,A1_2,0.252,0.875,1.0,0.84,0.274,0.235,0.067,0.799,0.821,0.852,0.317,0.358,0.24,0.089,0.248,0.163
6,A1_3,0.201,0.872,0.84,1.0,0.235,0.148,-0.007,0.756,0.863,0.87,0.331,0.406,0.229,0.201,0.029,0.204
6,B1_1,-0.46,0.263,0.274,0.235,1.0,0.592,0.636,0.1,0.18,0.212,0.829,0.682,0.804,0.413,0.381,0.208
