,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,0.076,0.059,0.063,0.06,0.063,0.057,0.055,0.067,0.066,0.058,0.057,0.055,0.066,0.061,0.07,0.069
0,A1_1,0.255,0.013,0.007,0.027,0.035,0.063,0.034,0.022,0.009,0.01,0.034,0.017,0.019,0.086,0.168,0.202
0,A1_2,0.11,0.053,0.059,0.056,0.059,0.053,0.056,0.058,0.05,0.048,0.054,0.044,0.068,0.069,0.083,0.08
0,A1_3,0.154,0.047,0.053,0.048,0.058,0.053,0.052,0.049,0.041,0.039,0.053,0.037,0.063,0.077,0.093,0.082
0,B1_1,0.974,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.002,0.005,0.008,0.005
0,B1_2,0.155,0.059,0.055,0.054,0.034,0.03,0.036,0.062,0.037,0.057,0.056,0.04,0.091,0.066,0.09,0.079
0,B1_3,0.363,0.047,0.052,0.032,0.028,0.02,0.035,0.044,0.022,0.037,0.04,0.031,0.076,0.041,0.082,0.048
0,A2_1,0.091,0.056,0.056,0.053,0.04,0.04,0.035,0.044,0.043,0.041,0.062,0.03,0.109,0.11,0.1,0.088
0,A2_2,0.093,0.046,0.035,0.043,0.026,0.04,0.026,0.032,0.027,0.037,0.058,0.02,0.083,0.121,0.156,0.155
0,A2_3,0.192,0.032,0.041,0.04,0.042,0.059,0.051,0.04,0.029,0.037,0.057,0.03,0.06,0.087,0.115,0.09
0,B2_1,0.564,0.014,0.019,0.021,0.025,0.028,0.038,0.015,0.009,0.015,0.025,0.015,0.04,0.044,0.079,0.048
0,B2_2,0.523,0.017,0.02,0.022,0.019,0.022,0.023,0.017,0.012,0.014,0.024,0.012,0.044,0.058,0.104,0.068
0,B2_3,0.653,0.015,0.018,0.021,0.024,0.019,0.024,0.015,0.007,0.011,0.023,0.013,0.03,0.031,0.05,0.046
0,y1,0.471,0.02,0.023,0.029,0.039,0.037,0.042,0.021,0.013,0.018,0.035,0.021,0.046,0.043,0.084,0.059
0,y2,0.633,0.017,0.019,0.015,0.022,0.02,0.024,0.015,0.008,0.011,0.024,0.013,0.039,0.039,0.058,0.043
0,y3,0.448,0.021,0.026,0.021,0.047,0.034,0.029,0.03,0.015,0.012,0.039,0.021,0.054,0.095,0.064,0.043
1,.,0.071,0.059,0.064,0.061,0.064,0.057,0.055,0.067,0.068,0.059,0.058,0.056,0.066,0.061,0.067,0.068
1,A1_1,0.02,0.0,0.0,0.001,0.003,0.006,0.003,0.001,0.0,0.0,0.001,0.001,0.001,0.299,0.303,0.361
1,A1_2,0.159,0.037,0.043,0.046,0.053,0.048,0.058,0.041,0.03,0.031,0.046,0.035,0.059,0.096,0.109,0.108
1,A1_3,0.125,0.034,0.036,0.038,0.059,0.056,0.049,0.036,0.031,0.028,0.049,0.033,0.049,0.127,0.136,0.116
1,B1_1,0.992,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.002
1,B1_2,0.536,0.029,0.027,0.023,0.024,0.017,0.032,0.023,0.012,0.024,0.033,0.024,0.057,0.028,0.06,0.049
1,B1_3,0.674,0.024,0.022,0.014,0.017,0.011,0.025,0.018,0.008,0.014,0.023,0.024,0.048,0.018,0.04,0.02
1,A2_1,0.074,0.062,0.066,0.056,0.055,0.04,0.041,0.047,0.05,0.044,0.057,0.044,0.096,0.103,0.087,0.08
1,A2_2,0.06,0.036,0.03,0.034,0.024,0.028,0.022,0.022,0.02,0.027,0.039,0.016,0.059,0.187,0.199,0.197
1,A2_3,0.086,0.04,0.048,0.042,0.061,0.064,0.059,0.048,0.039,0.041,0.069,0.049,0.063,0.099,0.104,0.088
1,B2_1,0.605,0.01,0.013,0.015,0.03,0.027,0.043,0.011,0.007,0.01,0.027,0.021,0.039,0.038,0.063,0.042
1,B2_2,0.903,0.002,0.002,0.003,0.004,0.004,0.007,0.002,0.001,0.001,0.004,0.003,0.009,0.013,0.028,0.015
