,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.149,0.862,0.979,-0.598,0.107,-0.877,-0.743,-0.66,0.09,-0.283,-0.085,0.198,0.55,0.606,0.766
0,A1_1,0.149,1.0,-0.126,0.165,0.173,-0.592,0.058,0.469,0.595,0.74,0.023,-0.82,0.728,0.802,0.425,0.522
0,A1_2,0.862,-0.126,1.0,0.832,-0.309,0.456,-0.718,-0.734,-0.833,0.18,0.118,0.181,0.285,0.245,0.677,0.762
0,A1_3,0.979,0.165,0.832,1.0,-0.505,0.212,-0.938,-0.778,-0.592,0.075,-0.206,0.013,0.205,0.633,0.499,0.777
0,B1_1,-0.598,0.173,-0.309,-0.505,1.0,0.331,0.533,0.558,0.54,0.524,0.902,0.135,0.514,-0.025,-0.119,0.005
0,B1_2,0.107,-0.592,0.456,0.212,0.331,1.0,-0.365,-0.563,-0.474,-0.182,0.59,0.892,-0.066,-0.183,-0.171,0.133
0,B1_3,-0.877,0.058,-0.718,-0.938,0.533,-0.365,1.0,0.906,0.601,0.226,0.27,-0.282,0.078,-0.518,-0.176,-0.551
0,A2_1,-0.743,0.469,-0.734,-0.778,0.558,-0.563,0.906,1.0,0.821,0.476,0.242,-0.567,0.343,-0.111,-0.044,-0.304
0,A2_2,-0.66,0.595,-0.833,-0.592,0.54,-0.474,0.601,0.821,1.0,0.313,0.145,-0.43,0.244,0.241,-0.355,-0.283
0,A2_3,0.09,0.74,0.18,0.075,0.524,-0.182,0.226,0.476,0.313,1.0,0.565,-0.587,0.985,0.489,0.712,0.678
0,B2_1,-0.283,0.023,0.118,-0.206,0.902,0.59,0.27,0.242,0.145,0.565,1.0,0.288,0.596,-0.024,0.142,0.275
0,B2_2,-0.085,-0.82,0.181,0.013,0.135,0.892,-0.282,-0.567,-0.43,-0.587,0.288,1.0,-0.499,-0.427,-0.53,-0.28
0,B2_3,0.198,0.728,0.285,0.205,0.514,-0.066,0.078,0.343,0.244,0.985,0.596,-0.499,1.0,0.577,0.714,0.771
0,y1,0.55,0.802,0.245,0.633,-0.025,-0.183,-0.518,-0.111,0.241,0.489,-0.024,-0.427,0.577,1.0,0.344,0.729
0,y2,0.606,0.425,0.677,0.499,-0.119,-0.171,-0.176,-0.044,-0.355,0.712,0.142,-0.53,0.714,0.344,1.0,0.807
0,y3,0.766,0.522,0.762,0.777,0.005,0.133,-0.551,-0.304,-0.283,0.678,0.275,-0.28,0.771,0.729,0.807,1.0
1,.,1.0,0.135,0.815,0.252,-0.578,-0.492,-0.9,-0.797,-0.724,-0.112,0.226,-0.128,0.406,0.961,0.706,0.91
1,A1_1,0.135,1.0,0.515,0.853,-0.062,-0.521,0.197,0.418,0.529,0.747,-0.521,-0.74,0.476,0.237,0.304,0.207
1,A1_2,0.815,0.515,1.0,0.74,-0.268,-0.543,-0.494,-0.412,-0.424,0.479,0.129,-0.432,0.809,0.89,0.909,0.887
1,A1_3,0.252,0.853,0.74,1.0,0.201,-0.335,0.146,0.219,0.257,0.895,-0.096,-0.565,0.859,0.437,0.593,0.475
1,B1_1,-0.578,-0.062,-0.268,0.201,1.0,0.813,0.571,0.308,0.427,0.331,0.511,0.467,0.341,-0.345,-0.318,-0.195
1,B1_2,-0.492,-0.521,-0.543,-0.335,0.813,1.0,0.234,-0.052,0.159,-0.28,0.688,0.878,-0.077,-0.355,-0.602,-0.234
1,B1_3,-0.9,0.197,-0.494,0.146,0.571,0.234,1.0,0.938,0.776,0.523,-0.355,-0.222,-0.072,-0.815,-0.37,-0.759
1,A2_1,-0.797,0.418,-0.412,0.219,0.308,-0.052,0.938,1.0,0.856,0.551,-0.645,-0.478,-0.15,-0.758,-0.332,-0.753
1,A2_2,-0.724,0.529,-0.424,0.257,0.427,0.159,0.776,0.856,1.0,0.416,-0.501,-0.245,-0.14,-0.629,-0.562,-0.616
1,A2_3,-0.112,0.747,0.479,0.895,0.331,-0.28,0.523,0.551,0.416,1.0,-0.239,-0.64,0.722,0.057,0.482,0.109
1,B2_1,0.226,-0.521,0.129,-0.096,0.511,0.688,-0.355,-0.645,-0.501,-0.239,1.0,0.8,0.386,0.36,0.087,0.477
1,B2_2,-0.128,-0.74,-0.432,-0.565,0.467,0.878,-0.222,-0.478,-0.245,-0.64,0.8,1.0,-0.201,-0.076,-0.494,0.006
1,B2_3,0.406,0.476,0.809,0.859,0.341,-0.077,-0.072,-0.15,-0.14,0.722,0.386,-0.201,1.0,0.616,0.725,0.702
1,y1,0.961,0.237,0.89,0.437,-0.345,-0.355,-0.815,-0.758,-0.629,0.057,0.36,-0.076,0.616,1.0,0.731,0.987
1,y2,0.706,0.304,0.909,0.593,-0.318,-0.602,-0.37,-0.332,-0.562,0.482,0.087,-0.494,0.725,0.731,1.0,0.728
1,y3,0.91,0.207,0.887,0.475,-0.195,-0.234,-0.759,-0.753,-0.616,0.109,0.477,0.006,0.702,0.987,0.728,1.0
2,.,1.0,0.168,0.069,-0.124,-0.291,-0.363,-0.665,-0.738,-0.737,-0.232,0.279,0.065,0.455,0.945,0.599,0.812
2,A1_1,0.168,1.0,0.802,0.82,-0.536,-0.594,-0.805,0.444,0.512,0.56,-0.715,-0.749,-0.491,0.019,0.064,-0.001
2,A1_2,0.069,0.802,1.0,0.976,-0.419,-0.639,-0.749,0.61,0.349,0.9,-0.703,-0.958,-0.391,0.101,0.486,0.08
2,A1_3,-0.124,0.82,0.976,1.0,-0.384,-0.566,-0.636,0.753,0.543,0.915,-0.778,-0.959,-0.511,-0.11,0.298,-0.101
2,B1_1,-0.291,-0.536,-0.419,-0.384,1.0,0.944,0.621,-0.156,-0.072,-0.046,0.747,0.572,0.706,-0.08,-0.19,0.257
2,B1_2,-0.363,-0.594,-0.639,-0.566,0.944,1.0,0.76,-0.217,0.006,-0.302,0.747,0.745,0.596,-0.236,-0.466,0.072
2,B1_3,-0.665,-0.805,-0.749,-0.636,0.621,0.76,1.0,-0.003,0.086,-0.42,0.451,0.659,0.152,-0.572,-0.562,-0.445
2,A2_1,-0.738,0.444,0.61,0.753,-0.156,-0.217,-0.003,1.0,0.846,0.74,-0.765,-0.714,-0.715,-0.711,-0.191,-0.656
2,A2_2,-0.737,0.512,0.349,0.543,-0.072,0.006,0.086,0.846,1.0,0.43,-0.649,-0.422,-0.694,-0.832,-0.624,-0.713
2,A2_3,-0.232,0.56,0.9,0.915,-0.046,-0.302,-0.42,0.74,0.43,1.0,-0.532,-0.845,-0.251,-0.088,0.408,0.013
2,B2_1,0.279,-0.715,-0.703,-0.778,0.747,0.747,0.451,-0.765,-0.649,-0.532,1.0,0.852,0.928,0.413,0.038,0.576
2,B2_2,0.065,-0.749,-0.958,-0.959,0.572,0.745,0.659,-0.714,-0.422,-0.845,0.852,1.0,0.607,0.064,-0.406,0.159
2,B2_3,0.455,-0.491,-0.391,-0.511,0.706,0.596,0.152,-0.715,-0.694,-0.251,0.928,0.607,1.0,0.632,0.321,0.815
2,y1,0.945,0.019,0.101,-0.11,-0.08,-0.236,-0.572,-0.711,-0.832,-0.088,0.413,0.064,0.632,1.0,0.766,0.924
2,y2,0.599,0.064,0.486,0.298,-0.19,-0.466,-0.562,-0.191,-0.624,0.408,0.038,-0.406,0.321,0.766,1.0,0.655
