,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,0.081,0.062,0.057,0.061,0.06,0.06,0.062,0.06,0.061,0.06,0.06,0.063,0.059,0.065,0.065,0.064
1,A1_1,0.082,0.061,0.058,0.062,0.059,0.06,0.061,0.062,0.06,0.06,0.059,0.064,0.06,0.065,0.064,0.065
1,A1_2,0.081,0.062,0.057,0.061,0.058,0.058,0.063,0.062,0.06,0.06,0.057,0.062,0.061,0.067,0.065,0.068
1,A1_3,0.082,0.061,0.056,0.059,0.059,0.06,0.065,0.06,0.06,0.06,0.057,0.061,0.061,0.068,0.063,0.068
1,B1_1,0.083,0.061,0.057,0.06,0.059,0.058,0.063,0.062,0.059,0.06,0.057,0.063,0.059,0.068,0.064,0.068
1,B1_2,0.084,0.061,0.057,0.058,0.058,0.059,0.066,0.059,0.056,0.062,0.056,0.063,0.058,0.072,0.064,0.066
1,B1_3,0.085,0.06,0.057,0.059,0.057,0.059,0.064,0.059,0.056,0.063,0.057,0.064,0.057,0.072,0.063,0.065
1,A2_1,0.084,0.061,0.057,0.058,0.058,0.059,0.066,0.058,0.056,0.063,0.057,0.063,0.058,0.073,0.064,0.067
1,A2_2,0.083,0.06,0.059,0.059,0.058,0.058,0.064,0.06,0.056,0.062,0.057,0.063,0.059,0.07,0.065,0.066
1,A2_3,0.082,0.062,0.057,0.058,0.059,0.059,0.066,0.059,0.058,0.061,0.057,0.062,0.06,0.071,0.064,0.067
1,B2_1,0.082,0.06,0.057,0.059,0.06,0.06,0.065,0.059,0.06,0.059,0.058,0.06,0.062,0.068,0.063,0.068
1,B2_2,0.083,0.059,0.057,0.06,0.06,0.059,0.065,0.06,0.059,0.059,0.058,0.063,0.059,0.069,0.064,0.067
1,B2_3,0.083,0.06,0.058,0.059,0.058,0.06,0.065,0.06,0.056,0.063,0.057,0.065,0.057,0.072,0.063,0.065
1,y1,0.084,0.061,0.06,0.061,0.055,0.06,0.061,0.06,0.056,0.066,0.058,0.065,0.056,0.071,0.062,0.064
1,y2,0.081,0.06,0.06,0.06,0.057,0.06,0.063,0.06,0.057,0.064,0.058,0.064,0.058,0.072,0.062,0.064
1,y3,0.081,0.06,0.057,0.059,0.057,0.06,0.065,0.06,0.058,0.063,0.057,0.063,0.06,0.071,0.063,0.066
2,.,0.098,0.06,0.056,0.059,0.059,0.059,0.06,0.059,0.059,0.058,0.058,0.062,0.057,0.066,0.066,0.065
2,A1_1,0.1,0.059,0.056,0.06,0.057,0.058,0.059,0.06,0.059,0.058,0.057,0.062,0.058,0.066,0.065,0.066
2,A1_2,0.098,0.06,0.055,0.059,0.057,0.056,0.061,0.06,0.058,0.058,0.055,0.06,0.059,0.068,0.066,0.069
2,A1_3,0.1,0.059,0.055,0.058,0.057,0.058,0.063,0.058,0.058,0.058,0.056,0.059,0.059,0.069,0.064,0.069
2,B1_1,0.102,0.059,0.056,0.058,0.057,0.057,0.061,0.06,0.057,0.057,0.055,0.061,0.057,0.069,0.065,0.069
2,B1_2,0.103,0.06,0.055,0.056,0.056,0.057,0.063,0.057,0.054,0.06,0.054,0.061,0.056,0.073,0.066,0.067
2,B1_3,0.104,0.059,0.056,0.057,0.055,0.057,0.062,0.057,0.054,0.061,0.056,0.062,0.055,0.073,0.064,0.066
2,A2_1,0.103,0.059,0.055,0.056,0.056,0.057,0.064,0.056,0.055,0.06,0.055,0.061,0.056,0.074,0.065,0.068
2,A2_2,0.102,0.058,0.057,0.057,0.057,0.057,0.062,0.058,0.054,0.059,0.055,0.061,0.058,0.071,0.066,0.067
2,A2_3,0.101,0.06,0.055,0.056,0.057,0.057,0.064,0.057,0.056,0.058,0.055,0.06,0.058,0.072,0.066,0.068
2,B2_1,0.1,0.058,0.056,0.057,0.058,0.059,0.063,0.057,0.058,0.057,0.056,0.058,0.06,0.069,0.064,0.069
2,B2_2,0.102,0.057,0.056,0.058,0.058,0.057,0.063,0.058,0.057,0.057,0.056,0.061,0.058,0.07,0.065,0.067
2,B2_3,0.102,0.058,0.057,0.057,0.056,0.058,0.062,0.058,0.054,0.06,0.055,0.063,0.055,0.073,0.065,0.066
