,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
1536,0.5,.,.,.,.,0,0,1.0,1,1,1,hit
1537,0.5,.,A1_1,.,A1,0,1,0.41,0,0,1,cr
1538,0.5,.,A1_2,.,A1,0,2,0.38,0,0,1,cr
1539,0.5,.,A1_3,.,A1,0,3,0.36,0,0,1,cr
1540,0.5,.,A2_1,.,A2,0,4,-0.68,0,0,1,cr
1541,0.5,.,A2_2,.,A2,0,5,-0.69,0,0,1,cr
1542,0.5,.,A2_3,.,A2,0,6,-0.78,0,0,1,cr
1543,0.5,.,B1_1,.,B1,0,7,0.27,0,0,1,cr
1544,0.5,.,B1_2,.,B1,0,8,0.35,0,0,1,cr
1545,0.5,.,B1_3,.,B1,0,9,0.42,0,0,1,cr
1546,0.5,.,B2_1,.,B2,0,10,-0.71,0,0,1,cr
1547,0.5,.,B2_2,.,B2,0,11,-0.75,0,0,1,cr
1548,0.5,.,B2_3,.,B2,0,12,-0.82,0,0,1,cr
1549,0.5,.,y1,.,y,0,13,0.45,0,0,1,cr
1550,0.5,.,y2,.,y,0,14,0.4,0,0,1,cr
1551,0.5,.,y3,.,y,0,15,-0.9,0,0,1,cr
1552,0.5,A1_1,.,A1,.,1,0,0.41,0,0,1,cr
1553,0.5,A1_1,A1_1,A1,A1,1,1,1.0,1,1,1,hit
1554,0.5,A1_1,A1_2,A1,A1,1,2,0.73,1,1,1,hit
1555,0.5,A1_1,A1_3,A1,A1,1,3,0.73,1,1,1,hit
1556,0.5,A1_1,A2_1,A1,A2,1,4,-0.18,0,0,1,cr
1557,0.5,A1_1,A2_2,A1,A2,1,5,-0.24,0,0,1,cr
1558,0.5,A1_1,A2_3,A1,A2,1,6,-0.3,0,0,1,cr
1559,0.5,A1_1,B1_1,A1,B1,1,7,0.67,1,0,0,fa
1560,0.5,A1_1,B1_2,A1,B1,1,8,0.66,1,0,0,fa
1561,0.5,A1_1,B1_3,A1,B1,1,9,0.83,1,0,0,fa
1562,0.5,A1_1,B2_1,A1,B2,1,10,-0.2,0,0,1,cr
1563,0.5,A1_1,B2_2,A1,B2,1,11,-0.17,0,0,1,cr
1564,0.5,A1_1,B2_3,A1,B2,1,12,-0.24,0,0,1,cr
1565,0.5,A1_1,y1,A1,y,1,13,-0.38,0,0,1,cr
1566,0.5,A1_1,y2,A1,y,1,14,-0.38,0,0,1,cr
1567,0.5,A1_1,y3,A1,y,1,15,-0.55,0,0,1,cr
1568,0.5,A1_2,.,A1,.,2,0,0.38,0,0,1,cr
1569,0.5,A1_2,A1_1,A1,A1,2,1,0.73,1,1,1,hit
1570,0.5,A1_2,A1_2,A1,A1,2,2,1.0,1,1,1,hit
1571,0.5,A1_2,A1_3,A1,A1,2,3,0.69,1,1,1,hit
1572,0.5,A1_2,A2_1,A1,A2,2,4,-0.18,0,0,1,cr
1573,0.5,A1_2,A2_2,A1,A2,2,5,-0.16,0,0,1,cr
1574,0.5,A1_2,A2_3,A1,A2,2,6,-0.4,0,0,1,cr
1575,0.5,A1_2,B1_1,A1,B1,2,7,0.7,1,0,0,fa
1576,0.5,A1_2,B1_2,A1,B1,2,8,0.53,1,0,0,fa
1577,0.5,A1_2,B1_3,A1,B1,2,9,0.73,1,0,0,fa
1578,0.5,A1_2,B2_1,A1,B2,2,10,-0.22,0,0,1,cr
1579,0.5,A1_2,B2_2,A1,B2,2,11,-0.18,0,0,1,cr
1580,0.5,A1_2,B2_3,A1,B2,2,12,-0.37,0,0,1,cr
1581,0.5,A1_2,y1,A1,y,2,13,-0.51,0,0,1,cr
1582,0.5,A1_2,y2,A1,y,2,14,-0.48,0,0,1,cr
1583,0.5,A1_2,y3,A1,y,2,15,-0.67,0,0,1,cr
1584,0.5,A1_3,.,A1,.,3,0,0.36,0,0,1,cr
1585,0.5,A1_3,A1_1,A1,A1,3,1,0.73,1,1,1,hit
1586,0.5,A1_3,A1_2,A1,A1,3,2,0.69,1,1,1,hit
1587,0.5,A1_3,A1_3,A1,A1,3,3,1.0,1,1,1,hit
1588,0.5,A1_3,A2_1,A1,A2,3,4,-0.23,0,0,1,cr
1589,0.5,A1_3,A2_2,A1,A2,3,5,-0.23,0,0,1,cr
1590,0.5,A1_3,A2_3,A1,A2,3,6,-0.51,0,0,1,cr
1591,0.5,A1_3,B1_1,A1,B1,3,7,0.72,1,0,0,fa
1592,0.5,A1_3,B1_2,A1,B1,3,8,0.7,1,0,0,fa
1593,0.5,A1_3,B1_3,A1,B1,3,9,0.65,1,0,0,fa
1594,0.5,A1_3,B2_1,A1,B2,3,10,-0.27,0,0,1,cr
1595,0.5,A1_3,B2_2,A1,B2,3,11,-0.36,0,0,1,cr
1596,0.5,A1_3,B2_3,A1,B2,3,12,-0.35,0,0,1,cr
1597,0.5,A1_3,y1,A1,y,3,13,-0.44,0,0,1,cr
1598,0.5,A1_3,y2,A1,y,3,14,-0.29,0,0,1,cr
1599,0.5,A1_3,y3,A1,y,3,15,-0.55,0,0,1,cr
1600,0.5,A2_1,.,A2,.,4,0,-0.68,0,0,1,cr
1601,0.5,A2_1,A1_1,A2,A1,4,1,-0.18,0,0,1,cr
1602,0.5,A2_1,A1_2,A2,A1,4,2,-0.18,0,0,1,cr
1603,0.5,A2_1,A1_3,A2,A1,4,3,-0.23,0,0,1,cr
1604,0.5,A2_1,A2_1,A2,A2,4,4,1.0,1,1,1,hit
1605,0.5,A2_1,A2_2,A2,A2,4,5,0.83,1,1,1,hit
1606,0.5,A2_1,A2_3,A2,A2,4,6,0.77,1,1,1,hit
1607,0.5,A2_1,B1_1,A2,B1,4,7,-0.21,0,0,1,cr
1608,0.5,A2_1,B1_2,A2,B1,4,8,-0.2,0,0,1,cr
1609,0.5,A2_1,B1_3,A2,B1,4,9,-0.12,0,0,1,cr
1610,0.5,A2_1,B2_1,A2,B2,4,10,0.79,1,0,0,fa
1611,0.5,A2_1,B2_2,A2,B2,4,11,0.82,1,0,0,fa
1612,0.5,A2_1,B2_3,A2,B2,4,12,0.9,1,0,0,fa
1613,0.5,A2_1,y1,A2,y,4,13,-0.26,0,0,1,cr
