,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,1.0,0.091,-0.122,-0.238,0.024,-0.272,-0.19,0.232,0.098,-0.238,-0.164,0.253,0.018,-0.121,-0.069,0.457
1,A1_1,0.091,1.0,0.294,0.553,-0.162,0.183,0.438,-0.421,-0.022,0.173,-0.044,0.525,0.113,-0.201,0.439,0.322
1,A1_2,-0.122,0.294,1.0,0.573,0.087,-0.041,0.557,-0.103,-0.214,-0.02,-0.121,0.201,0.177,-0.378,0.172,-0.109
1,A1_3,-0.238,0.553,0.573,1.0,-0.187,0.319,0.462,-0.291,0.31,0.255,-0.09,0.175,-0.026,-0.316,0.17,-0.206
1,B1_1,0.024,-0.162,0.087,-0.187,1.0,-0.223,-0.344,-0.282,-0.319,0.017,0.261,-0.181,-0.191,0.128,-0.286,0.205
1,B1_2,-0.272,0.183,-0.041,0.319,-0.223,1.0,0.35,-0.375,-0.393,0.02,0.108,-0.343,-0.457,-0.132,-0.083,-0.074
1,B1_3,-0.19,0.438,0.557,0.462,-0.344,0.35,1.0,-0.341,-0.266,0.234,-0.115,-0.031,0.164,-0.317,0.53,-0.137
1,A2_1,0.232,-0.421,-0.103,-0.291,-0.282,-0.375,-0.341,1.0,0.407,-0.36,0.036,0.196,0.125,0.215,-0.069,-0.106
1,A2_2,0.098,-0.022,-0.214,0.31,-0.319,-0.393,-0.266,0.407,1.0,0.191,-0.138,0.213,0.118,0.116,0.107,-0.197
1,A2_3,-0.238,0.173,-0.02,0.255,0.017,0.02,0.234,-0.36,0.191,1.0,-0.066,0.124,-0.209,0.101,0.321,-0.173
1,B2_1,-0.164,-0.044,-0.121,-0.09,0.261,0.108,-0.115,0.036,-0.138,-0.066,1.0,0.158,-0.432,0.278,-0.243,0.216
1,B2_2,0.253,0.525,0.201,0.175,-0.181,-0.343,-0.031,0.196,0.213,0.124,0.158,1.0,0.106,-0.015,0.047,0.127
1,B2_3,0.018,0.113,0.177,-0.026,-0.191,-0.457,0.164,0.125,0.118,-0.209,-0.432,0.106,1.0,0.07,0.133,-0.135
1,y1,-0.121,-0.201,-0.378,-0.316,0.128,-0.132,-0.317,0.215,0.116,0.101,0.278,-0.015,0.07,1.0,0.151,0.01
1,y2,-0.069,0.439,0.172,0.17,-0.286,-0.083,0.53,-0.069,0.107,0.321,-0.243,0.047,0.133,0.151,1.0,0.187
1,y3,0.457,0.322,-0.109,-0.206,0.205,-0.074,-0.137,-0.106,-0.197,-0.173,0.216,0.127,-0.135,0.01,0.187,1.0
2,.,1.0,0.088,-0.121,-0.24,0.021,-0.274,-0.191,0.235,0.1,-0.238,-0.164,0.254,0.02,-0.12,-0.069,0.455
2,A1_1,0.088,1.0,0.294,0.553,-0.158,0.187,0.44,-0.42,-0.022,0.173,-0.041,0.526,0.115,-0.202,0.438,0.321
2,A1_2,-0.121,0.294,1.0,0.573,0.088,-0.039,0.557,-0.103,-0.215,-0.02,-0.119,0.201,0.178,-0.379,0.171,-0.11
2,A1_3,-0.24,0.553,0.573,1.0,-0.184,0.321,0.463,-0.291,0.31,0.256,-0.088,0.176,-0.024,-0.317,0.17,-0.206
2,B1_1,0.021,-0.158,0.088,-0.184,1.0,-0.219,-0.341,-0.284,-0.32,0.019,0.261,-0.179,-0.193,0.128,-0.285,0.206
2,B1_2,-0.274,0.187,-0.039,0.321,-0.219,1.0,0.353,-0.377,-0.393,0.022,0.109,-0.337,-0.456,-0.133,-0.082,-0.074
2,B1_3,-0.191,0.44,0.557,0.463,-0.341,0.353,1.0,-0.342,-0.266,0.235,-0.113,-0.028,0.164,-0.318,0.529,-0.138
2,A2_1,0.235,-0.42,-0.103,-0.291,-0.284,-0.377,-0.342,1.0,0.406,-0.36,0.034,0.194,0.123,0.214,-0.069,-0.105
2,A2_2,0.1,-0.022,-0.215,0.31,-0.32,-0.393,-0.266,0.406,1.0,0.191,-0.138,0.212,0.117,0.116,0.107,-0.196
2,A2_3,-0.238,0.173,-0.02,0.256,0.019,0.022,0.235,-0.36,0.191,1.0,-0.064,0.125,-0.207,0.1,0.321,-0.173
2,B2_1,-0.164,-0.041,-0.119,-0.088,0.261,0.109,-0.113,0.034,-0.138,-0.064,1.0,0.159,-0.433,0.277,-0.242,0.216
2,B2_2,0.254,0.526,0.201,0.176,-0.179,-0.337,-0.028,0.194,0.212,0.125,0.159,1.0,0.106,-0.018,0.046,0.125
2,B2_3,0.02,0.115,0.178,-0.024,-0.193,-0.456,0.164,0.123,0.117,-0.207,-0.433,0.106,1.0,0.069,0.134,-0.135
2,y1,-0.12,-0.202,-0.379,-0.317,0.128,-0.133,-0.318,0.214,0.116,0.1,0.277,-0.018,0.069,1.0,0.151,0.01
2,y2,-0.069,0.438,0.171,0.17,-0.285,-0.082,0.529,-0.069,0.107,0.321,-0.242,0.046,0.134,0.151,1.0,0.186
2,y3,0.455,0.321,-0.11,-0.206,0.206,-0.074,-0.138,-0.105,-0.196,-0.173,0.216,0.125,-0.135,0.01,0.186,1.0
3,.,1.0,0.084,-0.121,-0.242,0.018,-0.277,-0.192,0.24,0.102,-0.24,-0.164,0.255,0.022,-0.118,-0.07,0.452
3,A1_1,0.084,1.0,0.295,0.554,-0.154,0.191,0.442,-0.42,-0.022,0.174,-0.038,0.528,0.118,-0.204,0.437,0.321
3,A1_2,-0.121,0.295,1.0,0.573,0.09,-0.036,0.557,-0.103,-0.215,-0.02,-0.118,0.202,0.179,-0.38,0.17,-0.11
3,A1_3,-0.242,0.554,0.573,1.0,-0.181,0.324,0.464,-0.291,0.31,0.256,-0.085,0.178,-0.022,-0.318,0.169,-0.206
3,B1_1,0.018,-0.154,0.09,-0.181,1.0,-0.215,-0.337,-0.287,-0.321,0.022,0.262,-0.176,-0.195,0.128,-0.283,0.207
3,B1_2,-0.277,0.191,-0.036,0.324,-0.215,1.0,0.356,-0.378,-0.392,0.025,0.111,-0.331,-0.456,-0.135,-0.082,-0.074
3,B1_3,-0.192,0.442,0.557,0.464,-0.337,0.356,1.0,-0.343,-0.266,0.236,-0.111,-0.024,0.165,-0.32,0.527,-0.139
3,A2_1,0.24,-0.42,-0.103,-0.291,-0.287,-0.378,-0.343,1.0,0.406,-0.361,0.031,0.191,0.121,0.214,-0.069,-0.104
3,A2_2,0.102,-0.022,-0.215,0.31,-0.321,-0.392,-0.266,0.406,1.0,0.191,-0.139,0.21,0.117,0.115,0.108,-0.196
3,A2_3,-0.24,0.174,-0.02,0.256,0.022,0.025,0.236,-0.361,0.191,1.0,-0.062,0.126,-0.206,0.099,0.32,-0.172
3,B2_1,-0.164,-0.038,-0.118,-0.085,0.262,0.111,-0.111,0.031,-0.139,-0.062,1.0,0.161,-0.435,0.276,-0.242,0.217
3,B2_2,0.255,0.528,0.202,0.178,-0.176,-0.331,-0.024,0.191,0.21,0.126,0.161,1.0,0.107,-0.021,0.044,0.123
3,B2_3,0.022,0.118,0.179,-0.022,-0.195,-0.456,0.165,0.121,0.117,-0.206,-0.435,0.107,1.0,0.068,0.135,-0.135
3,y1,-0.118,-0.204,-0.38,-0.318,0.128,-0.135,-0.32,0.214,0.115,0.099,0.276,-0.021,0.068,1.0,0.151,0.009
3,y2,-0.07,0.437,0.17,0.169,-0.283,-0.082,0.527,-0.069,0.108,0.32,-0.242,0.044,0.135,0.151,1.0,0.185
3,y3,0.452,0.321,-0.11,-0.206,0.207,-0.074,-0.139,-0.104,-0.196,-0.172,0.217,0.123,-0.135,0.009,0.185,1.0
4,.,1.0,0.079,-0.121,-0.246,0.014,-0.281,-0.194,0.246,0.103,-0.242,-0.164,0.254,0.025,-0.116,-0.071,0.45
4,A1_1,0.079,1.0,0.295,0.554,-0.149,0.196,0.444,-0.42,-0.022,0.175,-0.035,0.531,0.122,-0.206,0.435,0.32
4,A1_2,-0.121,0.295,1.0,0.573,0.091,-0.034,0.557,-0.103,-0.215,-0.02,-0.117,0.202,0.18,-0.381,0.169,-0.11
4,A1_3,-0.246,0.554,0.573,1.0,-0.178,0.327,0.465,-0.291,0.31,0.256,-0.083,0.18,-0.02,-0.319,0.168,-0.207
4,B1_1,0.014,-0.149,0.091,-0.178,1.0,-0.21,-0.333,-0.29,-0.322,0.024,0.264,-0.173,-0.198,0.127,-0.282,0.209
4,B1_2,-0.281,0.196,-0.034,0.327,-0.21,1.0,0.359,-0.381,-0.392,0.028,0.114,-0.324,-0.455,-0.136,-0.082,-0.075
4,B1_3,-0.194,0.444,0.557,0.465,-0.333,0.359,1.0,-0.345,-0.266,0.237,-0.108,-0.02,0.165,-0.321,0.526,-0.14
4,A2_1,0.246,-0.42,-0.103,-0.291,-0.29,-0.381,-0.345,1.0,0.405,-0.361,0.028,0.188,0.119,0.214,-0.069,-0.103
4,A2_2,0.103,-0.022,-0.215,0.31,-0.322,-0.392,-0.266,0.405,1.0,0.191,-0.14,0.209,0.116,0.115,0.108,-0.195
