,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
1280,0.25,.,.,.,.,0,0,1.0,1,1,1,hit
1281,0.25,.,A1_1,.,A1,0,1,-0.44,0,0,1,cr
1282,0.25,.,A1_2,.,A1,0,2,-0.41,0,0,1,cr
1283,0.25,.,A1_3,.,A1,0,3,-0.41,0,0,1,cr
1284,0.25,.,A2_1,.,A2,0,4,-0.27,0,0,1,cr
1285,0.25,.,A2_2,.,A2,0,5,-0.28,0,0,1,cr
1286,0.25,.,A2_3,.,A2,0,6,-0.29,0,0,1,cr
1287,0.25,.,B1_1,.,B1,0,7,-0.4,0,0,1,cr
1288,0.25,.,B1_2,.,B1,0,8,-0.42,0,0,1,cr
1289,0.25,.,B1_3,.,B1,0,9,-0.41,0,0,1,cr
1290,0.25,.,B2_1,.,B2,0,10,-0.27,0,0,1,cr
1291,0.25,.,B2_2,.,B2,0,11,-0.27,0,0,1,cr
1292,0.25,.,B2_3,.,B2,0,12,-0.28,0,0,1,cr
1293,0.25,.,y1,.,y,0,13,-0.44,0,0,1,cr
1294,0.25,.,y2,.,y,0,14,-0.44,0,0,1,cr
1295,0.25,.,y3,.,y,0,15,-0.44,0,0,1,cr
1296,0.25,A1_1,.,A1,.,1,0,-0.44,0,0,1,cr
1297,0.25,A1_1,A1_1,A1,A1,1,1,1.0,1,1,1,hit
1298,0.25,A1_1,A1_2,A1,A1,1,2,0.99,1,1,1,hit
1299,0.25,A1_1,A1_3,A1,A1,1,3,0.98,1,1,1,hit
1300,0.25,A1_1,A2_1,A1,A2,1,4,-0.06,0,0,1,cr
1301,0.25,A1_1,A2_2,A1,A2,1,5,-0.1,0,0,1,cr
1302,0.25,A1_1,A2_3,A1,A2,1,6,-0.06,0,0,1,cr
1303,0.25,A1_1,B1_1,A1,B1,1,7,0.98,1,0,0,fa
1304,0.25,A1_1,B1_2,A1,B1,1,8,0.98,1,0,0,fa
1305,0.25,A1_1,B1_3,A1,B1,1,9,0.98,1,0,0,fa
1306,0.25,A1_1,B2_1,A1,B2,1,10,-0.1,0,0,1,cr
1307,0.25,A1_1,B2_2,A1,B2,1,11,-0.07,0,0,1,cr
1308,0.25,A1_1,B2_3,A1,B2,1,12,-0.1,0,0,1,cr
1309,0.25,A1_1,y1,A1,y,1,13,-0.31,0,0,1,cr
1310,0.25,A1_1,y2,A1,y,1,14,-0.29,0,0,1,cr
1311,0.25,A1_1,y3,A1,y,1,15,-0.29,0,0,1,cr
1312,0.25,A1_2,.,A1,.,2,0,-0.41,0,0,1,cr
1313,0.25,A1_2,A1_1,A1,A1,2,1,0.99,1,1,1,hit
1314,0.25,A1_2,A1_2,A1,A1,2,2,1.0,1,1,1,hit
1315,0.25,A1_2,A1_3,A1,A1,2,3,0.99,1,1,1,hit
1316,0.25,A1_2,A2_1,A1,A2,2,4,-0.11,0,0,1,cr
1317,0.25,A1_2,A2_2,A1,A2,2,5,-0.15,0,0,1,cr
1318,0.25,A1_2,A2_3,A1,A2,2,6,-0.1,0,0,1,cr
1319,0.25,A1_2,B1_1,A1,B1,2,7,0.99,1,0,0,fa
1320,0.25,A1_2,B1_2,A1,B1,2,8,0.98,1,0,0,fa
1321,0.25,A1_2,B1_3,A1,B1,2,9,0.99,1,0,0,fa
1322,0.25,A1_2,B2_1,A1,B2,2,10,-0.14,0,0,1,cr
1323,0.25,A1_2,B2_2,A1,B2,2,11,-0.11,0,0,1,cr
1324,0.25,A1_2,B2_3,A1,B2,2,12,-0.14,0,0,1,cr
1325,0.25,A1_2,y1,A1,y,2,13,-0.31,0,0,1,cr
1326,0.25,A1_2,y2,A1,y,2,14,-0.29,0,0,1,cr
1327,0.25,A1_2,y3,A1,y,2,15,-0.29,0,0,1,cr
1328,0.25,A1_3,.,A1,.,3,0,-0.41,0,0,1,cr
1329,0.25,A1_3,A1_1,A1,A1,3,1,0.98,1,1,1,hit
1330,0.25,A1_3,A1_2,A1,A1,3,2,0.99,1,1,1,hit
1331,0.25,A1_3,A1_3,A1,A1,3,3,1.0,1,1,1,hit
1332,0.25,A1_3,A2_1,A1,A2,3,4,-0.13,0,0,1,cr
1333,0.25,A1_3,A2_2,A1,A2,3,5,-0.16,0,0,1,cr
1334,0.25,A1_3,A2_3,A1,A2,3,6,-0.14,0,0,1,cr
1335,0.25,A1_3,B1_1,A1,B1,3,7,0.98,1,0,0,fa
1336,0.25,A1_3,B1_2,A1,B1,3,8,0.99,1,0,0,fa
1337,0.25,A1_3,B1_3,A1,B1,3,9,0.98,1,0,0,fa
1338,0.25,A1_3,B2_1,A1,B2,3,10,-0.16,0,0,1,cr
1339,0.25,A1_3,B2_2,A1,B2,3,11,-0.14,0,0,1,cr
1340,0.25,A1_3,B2_3,A1,B2,3,12,-0.16,0,0,1,cr
1341,0.25,A1_3,y1,A1,y,3,13,-0.34,0,0,1,cr
1342,0.25,A1_3,y2,A1,y,3,14,-0.32,0,0,1,cr
1343,0.25,A1_3,y3,A1,y,3,15,-0.32,0,0,1,cr
1344,0.25,A2_1,.,A2,.,4,0,-0.27,0,0,1,cr
1345,0.25,A2_1,A1_1,A2,A1,4,1,-0.06,0,0,1,cr
1346,0.25,A2_1,A1_2,A2,A1,4,2,-0.11,0,0,1,cr
1347,0.25,A2_1,A1_3,A2,A1,4,3,-0.13,0,0,1,cr
1348,0.25,A2_1,A2_1,A2,A2,4,4,1.0,1,1,1,hit
1349,0.25,A2_1,A2_2,A2,A2,4,5,0.98,1,1,1,hit
1350,0.25,A2_1,A2_3,A2,A2,4,6,0.98,1,1,1,hit
1351,0.25,A2_1,B1_1,A2,B1,4,7,-0.09,0,0,1,cr
1352,0.25,A2_1,B1_2,A2,B1,4,8,-0.11,0,0,1,cr
1353,0.25,A2_1,B1_3,A2,B1,4,9,-0.11,0,0,1,cr
1354,0.25,A2_1,B2_1,A2,B2,4,10,0.98,1,0,0,fa
1355,0.25,A2_1,B2_2,A2,B2,4,11,0.98,1,0,0,fa
1356,0.25,A2_1,B2_3,A2,B2,4,12,0.98,1,0,0,fa
1357,0.25,A2_1,y1,A2,y,4,13,0.02,0,0,1,cr
1358,0.25,A2_1,y2,A2,y,4,14,-0.01,0,0,1,cr
1359,0.25,A2_1,y3,A2,y,4,15,-0.0,0,0,1,cr
1360,0.25,A2_2,.,A2,.,5,0,-0.28,0,0,1,cr
1361,0.25,A2_2,A1_1,A2,A1,5,1,-0.1,0,0,1,cr
1362,0.25,A2_2,A1_2,A2,A1,5,2,-0.15,0,0,1,cr
1363,0.25,A2_2,A1_3,A2,A1,5,3,-0.16,0,0,1,cr
1364,0.25,A2_2,A2_1,A2,A2,5,4,0.98,1,1,1,hit
1365,0.25,A2_2,A2_2,A2,A2,5,5,1.0,1,1,1,hit
1366,0.25,A2_2,A2_3,A2,A2,5,6,0.97,1,1,1,hit
1367,0.25,A2_2,B1_1,A2,B1,5,7,-0.13,0,0,1,cr
1368,0.25,A2_2,B1_2,A2,B1,5,8,-0.14,0,0,1,cr
1369,0.25,A2_2,B1_3,A2,B1,5,9,-0.15,0,0,1,cr
1370,0.25,A2_2,B2_1,A2,B2,5,10,0.98,1,0,0,fa
1371,0.25,A2_2,B2_2,A2,B2,5,11,0.97,1,0,0,fa
1372,0.25,A2_2,B2_3,A2,B2,5,12,0.98,1,0,0,fa
1373,0.25,A2_2,y1,A2,y,5,13,0.01,0,0,1,cr
1374,0.25,A2_2,y2,A2,y,5,14,-0.01,0,0,1,cr
1375,0.25,A2_2,y3,A2,y,5,15,-0.01,0,0,1,cr
1376,0.25,A2_3,.,A2,.,6,0,-0.29,0,0,1,cr
1377,0.25,A2_3,A1_1,A2,A1,6,1,-0.06,0,0,1,cr
1378,0.25,A2_3,A1_2,A2,A1,6,2,-0.1,0,0,1,cr
1379,0.25,A2_3,A1_3,A2,A1,6,3,-0.14,0,0,1,cr
1380,0.25,A2_3,A2_1,A2,A2,6,4,0.98,1,1,1,hit
1381,0.25,A2_3,A2_2,A2,A2,6,5,0.97,1,1,1,hit
1382,0.25,A2_3,A2_3,A2,A2,6,6,1.0,1,1,1,hit
1383,0.25,A2_3,B1_1,A2,B1,6,7,-0.1,0,0,1,cr
1384,0.25,A2_3,B1_2,A2,B1,6,8,-0.12,0,0,1,cr
1385,0.25,A2_3,B1_3,A2,B1,6,9,-0.11,0,0,1,cr
1386,0.25,A2_3,B2_1,A2,B2,6,10,0.96,1,0,0,fa
1387,0.25,A2_3,B2_2,A2,B2,6,11,0.99,1,0,0,fa
1388,0.25,A2_3,B2_3,A2,B2,6,12,0.96,1,0,0,fa
1389,0.25,A2_3,y1,A2,y,6,13,0.1,0,0,1,cr
1390,0.25,A2_3,y2,A2,y,6,14,0.08,0,0,1,cr
1391,0.25,A2_3,y3,A2,y,6,15,0.08,0,0,1,cr
1392,0.25,B1_1,.,B1,.,7,0,-0.4,0,0,1,cr
1393,0.25,B1_1,A1_1,B1,A1,7,1,0.98,1,0,0,fa
1394,0.25,B1_1,A1_2,B1,A1,7,2,0.99,1,0,0,fa
1395,0.25,B1_1,A1_3,B1,A1,7,3,0.98,1,0,0,fa
1396,0.25,B1_1,A2_1,B1,A2,7,4,-0.09,0,0,1,cr
1397,0.25,B1_1,A2_2,B1,A2,7,5,-0.13,0,0,1,cr
1398,0.25,B1_1,A2_3,B1,A2,7,6,-0.1,0,0,1,cr
1399,0.25,B1_1,B1_1,B1,B1,7,7,1.0,1,1,1,hit
1400,0.25,B1_1,B1_2,B1,B1,7,8,0.98,1,1,1,hit
1401,0.25,B1_1,B1_3,B1,B1,7,9,0.99,1,1,1,hit
1402,0.25,B1_1,B2_1,B1,B2,7,10,-0.12,0,0,1,cr
1403,0.25,B1_1,B2_2,B1,B2,7,11,-0.09,0,0,1,cr
1404,0.25,B1_1,B2_3,B1,B2,7,12,-0.13,0,0,1,cr
1405,0.25,B1_1,y1,B1,y,7,13,-0.33,0,0,1,cr
1406,0.25,B1_1,y2,B1,y,7,14,-0.31,0,0,1,cr
1407,0.25,B1_1,y3,B1,y,7,15,-0.31,0,0,1,cr
1408,0.25,B1_2,.,B1,.,8,0,-0.42,0,0,1,cr
1409,0.25,B1_2,A1_1,B1,A1,8,1,0.98,1,0,0,fa
1410,0.25,B1_2,A1_2,B1,A1,8,2,0.98,1,0,0,fa
1411,0.25,B1_2,A1_3,B1,A1,8,3,0.99,1,0,0,fa
1412,0.25,B1_2,A2_1,B1,A2,8,4,-0.11,0,0,1,cr
1413,0.25,B1_2,A2_2,B1,A2,8,5,-0.14,0,0,1,cr
1414,0.25,B1_2,A2_3,B1,A2,8,6,-0.12,0,0,1,cr
1415,0.25,B1_2,B1_1,B1,B1,8,7,0.98,1,1,1,hit
1416,0.25,B1_2,B1_2,B1,B1,8,8,1.0,1,1,1,hit
1417,0.25,B1_2,B1_3,B1,B1,8,9,0.99,1,1,1,hit
1418,0.25,B1_2,B2_1,B1,B2,8,10,-0.12,0,0,1,cr
1419,0.25,B1_2,B2_2,B1,B2,8,11,-0.12,0,0,1,cr
1420,0.25,B1_2,B2_3,B1,B2,8,12,-0.13,0,0,1,cr
1421,0.25,B1_2,y1,B1,y,8,13,-0.34,0,0,1,cr
1422,0.25,B1_2,y2,B1,y,8,14,-0.32,0,0,1,cr
1423,0.25,B1_2,y3,B1,y,8,15,-0.32,0,0,1,cr
1424,0.25,B1_3,.,B1,.,9,0,-0.41,0,0,1,cr
1425,0.25,B1_3,A1_1,B1,A1,9,1,0.98,1,0,0,fa
1426,0.25,B1_3,A1_2,B1,A1,9,2,0.99,1,0,0,fa
1427,0.25,B1_3,A1_3,B1,A1,9,3,0.98,1,0,0,fa
1428,0.25,B1_3,A2_1,B1,A2,9,4,-0.11,0,0,1,cr
1429,0.25,B1_3,A2_2,B1,A2,9,5,-0.15,0,0,1,cr
1430,0.25,B1_3,A2_3,B1,A2,9,6,-0.11,0,0,1,cr
1431,0.25,B1_3,B1_1,B1,B1,9,7,0.99,1,1,1,hit
1432,0.25,B1_3,B1_2,B1,B1,9,8,0.99,1,1,1,hit
1433,0.25,B1_3,B1_3,B1,B1,9,9,1.0,1,1,1,hit
1434,0.25,B1_3,B2_1,B1,B2,9,10,-0.13,0,0,1,cr
1435,0.25,B1_3,B2_2,B1,B2,9,11,-0.11,0,0,1,cr
1436,0.25,B1_3,B2_3,B1,B2,9,12,-0.14,0,0,1,cr
1437,0.25,B1_3,y1,B1,y,9,13,-0.3,0,0,1,cr
1438,0.25,B1_3,y2,B1,y,9,14,-0.28,0,0,1,cr
1439,0.25,B1_3,y3,B1,y,9,15,-0.29,0,0,1,cr
1440,0.25,B2_1,.,B2,.,10,0,-0.27,0,0,1,cr
1441,0.25,B2_1,A1_1,B2,A1,10,1,-0.1,0,0,1,cr
1442,0.25,B2_1,A1_2,B2,A1,10,2,-0.14,0,0,1,cr
1443,0.25,B2_1,A1_3,B2,A1,10,3,-0.16,0,0,1,cr
1444,0.25,B2_1,A2_1,B2,A2,10,4,0.98,1,0,0,fa
1445,0.25,B2_1,A2_2,B2,A2,10,5,0.98,1,0,0,fa
1446,0.25,B2_1,A2_3,B2,A2,10,6,0.96,1,0,0,fa
1447,0.25,B2_1,B1_1,B2,B1,10,7,-0.12,0,0,1,cr
1448,0.25,B2_1,B1_2,B2,B1,10,8,-0.12,0,0,1,cr
1449,0.25,B2_1,B1_3,B2,B1,10,9,-0.13,0,0,1,cr
1450,0.25,B2_1,B2_1,B2,B2,10,10,1.0,1,1,1,hit
1451,0.25,B2_1,B2_2,B2,B2,10,11,0.97,1,1,1,hit
1452,0.25,B2_1,B2_3,B2,B2,10,12,0.99,1,1,1,hit
1453,0.25,B2_1,y1,B2,y,10,13,0.02,0,0,1,cr
1454,0.25,B2_1,y2,B2,y,10,14,-0.0,0,0,1,cr
1455,0.25,B2_1,y3,B2,y,10,15,0.0,0,0,1,cr
1456,0.25,B2_2,.,B2,.,11,0,-0.27,0,0,1,cr
1457,0.25,B2_2,A1_1,B2,A1,11,1,-0.07,0,0,1,cr
1458,0.25,B2_2,A1_2,B2,A1,11,2,-0.11,0,0,1,cr
1459,0.25,B2_2,A1_3,B2,A1,11,3,-0.14,0,0,1,cr
