,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,1.0,-0.203,-0.064,0.072,-0.377,0.135,0.04,0.261,-0.494,0.128,-0.096,-0.138,0.048,-0.326,-0.026,-0.062
1,A1_1,-0.203,1.0,-0.292,-0.12,0.068,0.075,-0.101,-0.109,-0.308,0.211,0.158,0.12,-0.106,0.275,0.114,0.379
1,A1_2,-0.064,-0.292,1.0,-0.276,-0.026,-0.287,0.204,-0.002,-0.084,0.266,-0.097,-0.313,-0.145,0.133,0.006,-0.103
1,A1_3,0.072,-0.12,-0.276,1.0,-0.11,0.083,-0.26,0.204,0.115,0.183,-0.093,0.208,-0.062,-0.061,-0.316,-0.174
1,B1_1,-0.377,0.068,-0.026,-0.11,1.0,0.136,0.149,0.123,0.287,-0.034,-0.062,-0.085,0.201,0.325,0.03,-0.028
1,B1_2,0.135,0.075,-0.287,0.083,0.136,1.0,0.133,0.195,-0.276,-0.042,-0.031,-0.168,0.395,0.009,0.095,0.164
1,B1_3,0.04,-0.101,0.204,-0.26,0.149,0.133,1.0,-0.108,0.219,0.026,0.066,-0.644,0.332,0.157,-0.259,0.187
1,A2_1,0.261,-0.109,-0.002,0.204,0.123,0.195,-0.108,1.0,-0.07,0.053,-0.375,0.073,0.123,0.073,-0.001,0.005
1,A2_2,-0.494,-0.308,-0.084,0.115,0.287,-0.276,0.219,-0.07,1.0,-0.394,0.045,-0.071,-0.159,0.045,-0.109,-0.046
1,A2_3,0.128,0.211,0.266,0.183,-0.034,-0.042,0.026,0.053,-0.394,1.0,-0.124,-0.205,-0.094,0.069,-0.162,-0.151
1,B2_1,-0.096,0.158,-0.097,-0.093,-0.062,-0.031,0.066,-0.375,0.045,-0.124,1.0,0.167,-0.211,-0.05,0.181,-0.03
1,B2_2,-0.138,0.12,-0.313,0.208,-0.085,-0.168,-0.644,0.073,-0.071,-0.205,0.167,1.0,-0.082,0.143,0.382,0.095
1,B2_3,0.048,-0.106,-0.145,-0.062,0.201,0.395,0.332,0.123,-0.159,-0.094,-0.211,-0.082,1.0,0.113,0.026,0.188
1,y1,-0.326,0.275,0.133,-0.061,0.325,0.009,0.157,0.073,0.045,0.069,-0.05,0.143,0.113,1.0,0.03,0.443
1,y2,-0.026,0.114,0.006,-0.316,0.03,0.095,-0.259,-0.001,-0.109,-0.162,0.181,0.382,0.026,0.03,1.0,0.032
1,y3,-0.062,0.379,-0.103,-0.174,-0.028,0.164,0.187,0.005,-0.046,-0.151,-0.03,0.095,0.188,0.443,0.032,1.0
