,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,1.0,0.901,0.769,0.78,0.859,0.777,0.726,0.848,0.829,0.804,0.739,0.811,0.678,0.764,0.777,0.755
1,A1_1,0.901,1.0,0.769,0.706,0.786,0.773,0.701,0.811,0.775,0.784,0.736,0.774,0.654,0.738,0.731,0.712
1,A1_2,0.769,0.769,1.0,0.59,0.714,0.691,0.677,0.633,0.657,0.734,0.723,0.705,0.545,0.722,0.637,0.7
1,A1_3,0.78,0.706,0.59,1.0,0.695,0.794,0.702,0.665,0.788,0.752,0.712,0.716,0.688,0.669,0.78,0.778
1,B1_1,0.859,0.786,0.714,0.695,1.0,0.774,0.75,0.796,0.688,0.712,0.756,0.701,0.71,0.837,0.74,0.806
1,B1_2,0.777,0.773,0.691,0.794,0.774,1.0,0.732,0.665,0.789,0.776,0.741,0.791,0.745,0.803,0.77,0.813
1,B1_3,0.726,0.701,0.677,0.702,0.75,0.732,1.0,0.746,0.716,0.656,0.789,0.834,0.746,0.775,0.743,0.773
1,A2_1,0.848,0.811,0.633,0.665,0.796,0.665,0.746,1.0,0.7,0.682,0.728,0.788,0.621,0.681,0.729,0.678
1,A2_2,0.829,0.775,0.657,0.788,0.688,0.789,0.716,0.7,1.0,0.805,0.716,0.81,0.78,0.676,0.88,0.712
1,A2_3,0.804,0.784,0.734,0.752,0.712,0.776,0.656,0.682,0.805,1.0,0.686,0.763,0.633,0.747,0.739,0.717
1,B2_1,0.739,0.736,0.723,0.712,0.756,0.741,0.789,0.728,0.716,0.686,1.0,0.783,0.646,0.788,0.745,0.694
1,B2_2,0.811,0.774,0.705,0.716,0.701,0.791,0.834,0.788,0.81,0.763,0.783,1.0,0.702,0.762,0.795,0.738
1,B2_3,0.678,0.654,0.545,0.688,0.71,0.745,0.746,0.621,0.78,0.633,0.646,0.702,1.0,0.662,0.824,0.787
1,y1,0.764,0.738,0.722,0.669,0.837,0.803,0.775,0.681,0.676,0.747,0.788,0.762,0.662,1.0,0.696,0.744
1,y2,0.777,0.731,0.637,0.78,0.74,0.77,0.743,0.729,0.88,0.739,0.745,0.795,0.824,0.696,1.0,0.724
1,y3,0.755,0.712,0.7,0.778,0.806,0.813,0.773,0.678,0.712,0.717,0.694,0.738,0.787,0.744,0.724,1.0
2,.,1.0,0.908,0.781,0.791,0.866,0.785,0.743,0.858,0.84,0.816,0.754,0.821,0.692,0.776,0.79,0.761
2,A1_1,0.908,1.0,0.781,0.722,0.801,0.783,0.72,0.823,0.79,0.798,0.751,0.789,0.667,0.752,0.747,0.722
2,A1_2,0.781,0.781,1.0,0.613,0.732,0.71,0.697,0.653,0.678,0.75,0.741,0.725,0.568,0.738,0.659,0.712
2,A1_3,0.791,0.722,0.613,1.0,0.715,0.805,0.719,0.682,0.801,0.766,0.729,0.734,0.702,0.689,0.795,0.788
2,B1_1,0.866,0.801,0.732,0.715,1.0,0.793,0.772,0.806,0.711,0.733,0.776,0.725,0.733,0.85,0.757,0.816
2,B1_2,0.785,0.783,0.71,0.805,0.793,1.0,0.754,0.681,0.801,0.789,0.762,0.806,0.761,0.817,0.785,0.822
2,B1_3,0.743,0.72,0.697,0.719,0.772,0.754,1.0,0.76,0.738,0.678,0.806,0.849,0.765,0.791,0.761,0.784
2,A2_1,0.858,0.823,0.653,0.682,0.806,0.681,0.76,1.0,0.72,0.701,0.745,0.802,0.641,0.699,0.744,0.691
2,A2_2,0.84,0.79,0.678,0.801,0.711,0.801,0.738,0.72,1.0,0.817,0.736,0.824,0.793,0.697,0.888,0.724
2,A2_3,0.816,0.798,0.75,0.766,0.733,0.789,0.678,0.701,0.817,1.0,0.707,0.779,0.654,0.762,0.755,0.73
2,B2_1,0.754,0.751,0.741,0.729,0.776,0.762,0.806,0.745,0.736,0.707,1.0,0.802,0.67,0.802,0.761,0.711
2,B2_2,0.821,0.789,0.725,0.734,0.725,0.806,0.849,0.802,0.824,0.779,0.802,1.0,0.726,0.779,0.807,0.75
2,B2_3,0.692,0.667,0.568,0.702,0.733,0.761,0.765,0.641,0.793,0.654,0.67,0.726,1.0,0.686,0.838,0.799
2,y1,0.776,0.752,0.738,0.689,0.85,0.817,0.791,0.699,0.697,0.762,0.802,0.779,0.686,1.0,0.715,0.758
2,y2,0.79,0.747,0.659,0.795,0.757,0.785,0.761,0.744,0.888,0.755,0.761,0.807,0.838,0.715,1.0,0.737
2,y3,0.761,0.722,0.712,0.788,0.816,0.822,0.784,0.691,0.724,0.73,0.711,0.75,0.799,0.758,0.737,1.0
3,.,1.0,0.915,0.793,0.802,0.872,0.792,0.757,0.868,0.85,0.828,0.767,0.83,0.708,0.788,0.802,0.767
3,A1_1,0.915,1.0,0.794,0.738,0.814,0.794,0.737,0.834,0.804,0.811,0.766,0.803,0.684,0.766,0.763,0.732
