,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
1792,0.75,.,.,.,.,0,0,1.0,1,1,1,hit
1793,0.75,.,A1_1,.,A1,0,1,-0.2,0,0,1,cr
1794,0.75,.,A1_2,.,A1,0,2,-0.08,0,0,1,cr
1795,0.75,.,A1_3,.,A1,0,3,-0.13,0,0,1,cr
1796,0.75,.,A2_1,.,A2,0,4,-0.28,0,0,1,cr
1797,0.75,.,A2_2,.,A2,0,5,-0.3,0,0,1,cr
1798,0.75,.,A2_3,.,A2,0,6,-0.29,0,0,1,cr
1799,0.75,.,B1_1,.,B1,0,7,-0.4,0,0,1,cr
1800,0.75,.,B1_2,.,B1,0,8,-0.3,0,0,1,cr
1801,0.75,.,B1_3,.,B1,0,9,-0.34,0,0,1,cr
1802,0.75,.,B2_1,.,B2,0,10,-0.31,0,0,1,cr
1803,0.75,.,B2_2,.,B2,0,11,-0.32,0,0,1,cr
1804,0.75,.,B2_3,.,B2,0,12,-0.31,0,0,1,cr
1805,0.75,.,y1,.,y,0,13,0.35,0,0,1,cr
1806,0.75,.,y2,.,y,0,14,0.27,0,0,1,cr
1807,0.75,.,y3,.,y,0,15,0.3,0,0,1,cr
1808,0.75,A1_1,.,A1,.,1,0,-0.2,0,0,1,cr
1809,0.75,A1_1,A1_1,A1,A1,1,1,1.0,1,1,1,hit
1810,0.75,A1_1,A1_2,A1,A1,1,2,0.79,1,1,1,hit
1811,0.75,A1_1,A1_3,A1,A1,1,3,0.8,1,1,1,hit
1812,0.75,A1_1,A2_1,A1,A2,1,4,0.4,0,0,1,cr
1813,0.75,A1_1,A2_2,A1,A2,1,5,0.32,0,0,1,cr
1814,0.75,A1_1,A2_3,A1,A2,1,6,0.37,0,0,1,cr
1815,0.75,A1_1,B1_1,A1,B1,1,7,0.35,0,0,1,cr
1816,0.75,A1_1,B1_2,A1,B1,1,8,0.68,0,0,1,cr
1817,0.75,A1_1,B1_3,A1,B1,1,9,0.77,1,0,0,fa
1818,0.75,A1_1,B2_1,A1,B2,1,10,0.37,0,0,1,cr
1819,0.75,A1_1,B2_2,A1,B2,1,11,0.37,0,0,1,cr
1820,0.75,A1_1,B2_3,A1,B2,1,12,0.35,0,0,1,cr
1821,0.75,A1_1,y1,A1,y,1,13,0.31,0,0,1,cr
1822,0.75,A1_1,y2,A1,y,1,14,-0.18,0,0,1,cr
1823,0.75,A1_1,y3,A1,y,1,15,-0.4,0,0,1,cr
1824,0.75,A1_2,.,A1,.,2,0,-0.08,0,0,1,cr
1825,0.75,A1_2,A1_1,A1,A1,2,1,0.79,1,1,1,hit
1826,0.75,A1_2,A1_2,A1,A1,2,2,1.0,1,1,1,hit
1827,0.75,A1_2,A1_3,A1,A1,2,3,0.84,1,1,1,hit
1828,0.75,A1_2,A2_1,A1,A2,2,4,0.64,0,0,1,cr
1829,0.75,A1_2,A2_2,A1,A2,2,5,0.56,0,0,1,cr
1830,0.75,A1_2,A2_3,A1,A2,2,6,0.61,0,0,1,cr
1831,0.75,A1_2,B1_1,A1,B1,2,7,0.28,0,0,1,cr
1832,0.75,A1_2,B1_2,A1,B1,2,8,0.7,0,0,1,cr
1833,0.75,A1_2,B1_3,A1,B1,2,9,0.74,0,0,1,cr
1834,0.75,A1_2,B2_1,A1,B2,2,10,0.61,0,0,1,cr
1835,0.75,A1_2,B2_2,A1,B2,2,11,0.61,0,0,1,cr
1836,0.75,A1_2,B2_3,A1,B2,2,12,0.6,0,0,1,cr
1837,0.75,A1_2,y1,A1,y,2,13,0.35,0,0,1,cr
