,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.315,0.186,0.061,0.172,0.339,0.166,0.878,0.704,0.337,0.537,0.78,0.759,0.928,0.913,0.927
0,A1_1,0.315,1.0,0.93,0.784,0.78,0.891,0.692,0.453,0.751,0.858,0.819,0.747,0.608,0.262,0.392,0.376
0,A1_2,0.186,0.93,1.0,0.896,0.861,0.898,0.791,0.335,0.717,0.922,0.819,0.611,0.509,0.146,0.287,0.244
0,A1_3,0.061,0.784,0.896,1.0,0.947,0.845,0.936,0.133,0.673,0.884,0.767,0.466,0.524,-0.05,0.111,0.069
0,B1_1,0.172,0.78,0.861,0.947,1.0,0.903,0.967,0.268,0.771,0.856,0.831,0.584,0.597,0.049,0.264,0.192
0,B1_2,0.339,0.891,0.898,0.845,0.903,1.0,0.866,0.46,0.835,0.915,0.903,0.766,0.685,0.235,0.418,0.369
0,B1_3,0.166,0.692,0.791,0.936,0.967,0.866,1.0,0.227,0.754,0.836,0.76,0.52,0.577,0.014,0.179,0.132
0,A2_1,0.878,0.453,0.335,0.133,0.268,0.46,0.227,1.0,0.77,0.447,0.608,0.842,0.689,0.902,0.792,0.76
0,A2_2,0.704,0.751,0.717,0.673,0.771,0.835,0.754,0.77,1.0,0.784,0.88,0.894,0.824,0.593,0.659,0.609
0,A2_3,0.337,0.858,0.922,0.884,0.856,0.915,0.836,0.447,0.784,1.0,0.894,0.659,0.61,0.231,0.374,0.326
0,B2_1,0.537,0.819,0.819,0.767,0.831,0.903,0.76,0.608,0.88,0.894,1.0,0.795,0.768,0.405,0.612,0.528
0,B2_2,0.78,0.747,0.611,0.466,0.584,0.766,0.52,0.842,0.894,0.659,0.795,1.0,0.891,0.754,0.791,0.776
0,B2_3,0.759,0.608,0.509,0.524,0.597,0.685,0.577,0.689,0.824,0.61,0.768,0.891,1.0,0.696,0.732,0.747
0,y1,0.928,0.262,0.146,-0.05,0.049,0.235,0.014,0.902,0.593,0.231,0.405,0.754,0.696,1.0,0.855,0.88
0,y2,0.913,0.392,0.287,0.111,0.264,0.418,0.179,0.792,0.659,0.374,0.612,0.791,0.732,0.855,1.0,0.976
0,y3,0.927,0.376,0.244,0.069,0.192,0.369,0.132,0.76,0.609,0.326,0.528,0.776,0.747,0.88,0.976,1.0
1,.,1.0,0.335,0.227,0.113,0.214,0.367,0.216,0.878,0.714,0.386,0.554,0.803,0.768,0.928,0.913,0.926
1,A1_1,0.335,1.0,0.937,0.802,0.793,0.897,0.71,0.468,0.765,0.863,0.824,0.735,0.617,0.286,0.412,0.395
1,A1_2,0.227,0.937,1.0,0.901,0.867,0.909,0.8,0.369,0.74,0.925,0.834,0.617,0.535,0.187,0.328,0.284
1,A1_3,0.113,0.802,0.901,1.0,0.948,0.86,0.937,0.174,0.701,0.883,0.791,0.478,0.56,0.002,0.161,0.118
1,B1_1,0.214,0.793,0.867,0.948,1.0,0.91,0.969,0.298,0.789,0.851,0.845,0.59,0.631,0.095,0.303,0.233
1,B1_2,0.367,0.897,0.909,0.86,0.91,1.0,0.878,0.477,0.846,0.918,0.904,0.759,0.702,0.269,0.439,0.393
1,B1_3,0.216,0.71,0.8,0.937,0.969,0.878,1.0,0.263,0.776,0.833,0.781,0.536,0.62,0.067,0.224,0.179
