,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,0.056,0.04,0.14,0.072,0.02,0.109,0.078,0.141,0.019,0.012,0.059,0.055,0.035,0.073,0.052,0.037
0,A1_1,0.046,0.016,0.05,0.059,0.067,0.09,0.061,0.091,0.038,0.012,0.017,0.132,0.021,0.192,0.041,0.067
0,A1_2,0.138,0.033,0.049,0.042,0.02,0.043,0.153,0.267,0.023,0.018,0.017,0.064,0.023,0.024,0.023,0.062
0,A1_3,0.018,0.068,0.047,0.201,0.133,0.051,0.022,0.034,0.017,0.013,0.089,0.09,0.061,0.121,0.02,0.015
0,B1_1,0.047,0.059,0.087,0.082,0.023,0.016,0.03,0.049,0.013,0.009,0.139,0.018,0.02,0.338,0.061,0.009
0,B1_2,0.028,0.046,0.055,0.022,0.032,0.017,0.162,0.152,0.007,0.011,0.048,0.042,0.016,0.169,0.172,0.021
0,B1_3,0.135,0.024,0.042,0.017,0.019,0.034,0.159,0.219,0.038,0.016,0.011,0.086,0.024,0.017,0.035,0.124
0,A2_1,0.036,0.016,0.03,0.253,0.054,0.077,0.039,0.105,0.071,0.019,0.059,0.075,0.045,0.073,0.011,0.039
0,A2_2,0.068,0.107,0.098,0.027,0.027,0.013,0.036,0.096,0.006,0.027,0.12,0.067,0.026,0.223,0.049,0.01
0,A2_3,0.026,0.053,0.061,0.038,0.021,0.018,0.288,0.195,0.021,0.004,0.049,0.065,0.021,0.036,0.073,0.029
0,B2_1,0.028,0.031,0.087,0.081,0.017,0.091,0.018,0.079,0.239,0.007,0.066,0.03,0.105,0.082,0.017,0.022
0,B2_2,0.033,0.034,0.046,0.086,0.032,0.034,0.035,0.094,0.008,0.016,0.15,0.039,0.023,0.3,0.059,0.011
0,B2_3,0.053,0.029,0.027,0.007,0.019,0.006,0.266,0.37,0.008,0.006,0.015,0.109,0.014,0.019,0.023,0.029
0,y1,0.043,0.053,0.138,0.046,0.023,0.085,0.038,0.117,0.126,0.011,0.038,0.068,0.068,0.051,0.025,0.07
0,y2,0.036,0.02,0.041,0.179,0.045,0.066,0.028,0.036,0.014,0.01,0.072,0.03,0.017,0.362,0.035,0.009
0,y3,0.055,0.062,0.038,0.01,0.021,0.003,0.153,0.379,0.007,0.007,0.041,0.097,0.016,0.043,0.038,0.032
1,.,0.063,0.041,0.14,0.073,0.02,0.107,0.078,0.134,0.019,0.012,0.06,0.054,0.036,0.072,0.053,0.038
1,A1_1,0.051,0.016,0.05,0.06,0.066,0.086,0.061,0.086,0.038,0.012,0.017,0.127,0.02,0.197,0.043,0.069
