,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,-0.194,-0.155,-0.104,-0.036,-0.098,-0.213,-0.005,-0.007,0.083,-0.125,-0.196,0.127,-0.1,0.22,0.032
0,A1_1,-0.194,1.0,-0.157,-0.023,-0.076,0.193,0.045,0.057,0.027,-0.038,0.226,0.016,-0.369,0.138,-0.249,-0.163
0,A1_2,-0.155,-0.157,1.0,0.118,0.008,-0.021,-0.074,0.052,-0.075,0.052,-0.02,-0.008,-0.183,-0.133,0.003,0.155
0,A1_3,-0.104,-0.023,0.118,1.0,0.098,-0.12,-0.08,-0.106,0.079,-0.202,-0.004,-0.235,-0.07,-0.019,0.178,0.037
0,B1_1,-0.036,-0.076,0.008,0.098,1.0,0.085,-0.076,-0.173,0.09,0.195,0.023,-0.019,-0.174,0.261,0.131,-0.208
0,B1_2,-0.098,0.193,-0.021,-0.12,0.085,1.0,0.185,-0.018,0.023,0.18,0.134,-0.165,-0.053,0.177,0.141,0.108
0,B1_3,-0.213,0.045,-0.074,-0.08,-0.076,0.185,1.0,-0.091,-0.273,-0.012,-0.03,-0.054,-0.002,0.021,-0.167,0.137
0,A2_1,-0.005,0.057,0.052,-0.106,-0.173,-0.018,-0.091,1.0,0.061,-0.105,-0.127,0.072,-0.106,-0.274,-0.25,-0.329
0,A2_2,-0.007,0.027,-0.075,0.079,0.09,0.023,-0.273,0.061,1.0,0.139,0.119,-0.01,-0.006,0.062,-0.057,-0.06
0,A2_3,0.083,-0.038,0.052,-0.202,0.195,0.18,-0.012,-0.105,0.139,1.0,0.067,-0.035,0.024,0.228,0.068,0.007
0,B2_1,-0.125,0.226,-0.02,-0.004,0.023,0.134,-0.03,-0.127,0.119,0.067,1.0,-0.108,0.05,0.238,-0.123,0.224
0,B2_2,-0.196,0.016,-0.008,-0.235,-0.019,-0.165,-0.054,0.072,-0.01,-0.035,-0.108,1.0,0.092,0.053,-0.249,-0.315
0,B2_3,0.127,-0.369,-0.183,-0.07,-0.174,-0.053,-0.002,-0.106,-0.006,0.024,0.05,0.092,1.0,-0.171,-0.074,0.046
0,y1,-0.1,0.138,-0.133,-0.019,0.261,0.177,0.021,-0.274,0.062,0.228,0.238,0.053,-0.171,1.0,-0.011,-0.032
0,y2,0.22,-0.249,0.003,0.178,0.131,0.141,-0.167,-0.25,-0.057,0.068,-0.123,-0.249,-0.074,-0.011,1.0,0.201
0,y3,0.032,-0.163,0.155,0.037,-0.208,0.108,0.137,-0.329,-0.06,0.007,0.224,-0.315,0.046,-0.032,0.201,1.0
1,.,1.0,-0.195,-0.158,-0.106,-0.037,-0.107,-0.219,-0.017,-0.007,0.082,-0.128,-0.195,0.126,-0.102,0.22,0.026
1,A1_1,-0.195,1.0,-0.159,-0.023,-0.079,0.192,0.046,0.059,0.03,-0.035,0.225,0.014,-0.371,0.143,-0.245,-0.159
1,A1_2,-0.158,-0.159,1.0,0.115,0.007,-0.021,-0.071,0.05,-0.077,0.051,-0.019,-0.008,-0.185,-0.128,0.007,0.158
1,A1_3,-0.106,-0.023,0.115,1.0,0.098,-0.119,-0.076,-0.105,0.078,-0.2,-0.004,-0.235,-0.071,-0.016,0.18,0.038
1,B1_1,-0.037,-0.079,0.007,0.098,1.0,0.086,-0.077,-0.174,0.09,0.19,0.022,-0.02,-0.171,0.263,0.133,-0.208
1,B1_2,-0.107,0.192,-0.021,-0.119,0.086,1.0,0.184,-0.017,0.025,0.177,0.134,-0.163,-0.048,0.185,0.149,0.111
1,B1_3,-0.219,0.046,-0.071,-0.076,-0.077,0.184,1.0,-0.085,-0.268,-0.012,-0.032,-0.052,0.001,0.026,-0.164,0.137
1,A2_1,-0.017,0.059,0.05,-0.105,-0.174,-0.017,-0.085,1.0,0.064,-0.1,-0.125,0.072,-0.107,-0.272,-0.247,-0.325
1,A2_2,-0.007,0.03,-0.077,0.078,0.09,0.025,-0.268,0.064,1.0,0.142,0.121,-0.009,-0.007,0.061,-0.058,-0.059
1,A2_3,0.082,-0.035,0.051,-0.2,0.19,0.177,-0.012,-0.1,0.142,1.0,0.063,-0.039,0.019,0.228,0.068,0.008
1,B2_1,-0.128,0.225,-0.019,-0.004,0.022,0.134,-0.032,-0.125,0.121,0.063,1.0,-0.107,0.054,0.239,-0.123,0.221
1,B2_2,-0.195,0.014,-0.008,-0.235,-0.02,-0.163,-0.052,0.072,-0.009,-0.039,-0.107,1.0,0.097,0.053,-0.251,-0.318
1,B2_3,0.126,-0.371,-0.185,-0.071,-0.171,-0.048,0.001,-0.107,-0.007,0.019,0.054,0.097,1.0,-0.175,-0.08,0.04
1,y1,-0.102,0.143,-0.128,-0.016,0.263,0.185,0.026,-0.272,0.061,0.228,0.239,0.053,-0.175,1.0,-0.015,-0.031
1,y2,0.22,-0.245,0.007,0.18,0.133,0.149,-0.164,-0.247,-0.058,0.068,-0.123,-0.251,-0.08,-0.015,1.0,0.202
1,y3,0.026,-0.159,0.158,0.038,-0.208,0.111,0.137,-0.325,-0.059,0.008,0.221,-0.318,0.04,-0.031,0.202,1.0
2,.,1.0,-0.196,-0.16,-0.107,-0.039,-0.115,-0.227,-0.021,-0.004,0.086,-0.131,-0.195,0.125,-0.102,0.221,0.017
2,A1_1,-0.196,1.0,-0.159,-0.021,-0.081,0.191,0.046,0.062,0.032,-0.032,0.224,0.013,-0.372,0.147,-0.242,-0.155
2,A1_2,-0.16,-0.159,1.0,0.113,0.006,-0.022,-0.068,0.051,-0.079,0.052,-0.018,-0.009,-0.188,-0.123,0.011,0.163
2,A1_3,-0.107,-0.021,0.113,1.0,0.096,-0.119,-0.073,-0.102,0.079,-0.198,-0.005,-0.236,-0.074,-0.014,0.182,0.038
2,B1_1,-0.039,-0.081,0.006,0.096,1.0,0.087,-0.078,-0.175,0.089,0.187,0.023,-0.02,-0.168,0.265,0.134,-0.207
2,B1_2,-0.115,0.191,-0.022,-0.119,0.087,1.0,0.183,-0.018,0.026,0.174,0.134,-0.162,-0.045,0.192,0.153,0.112
2,B1_3,-0.227,0.046,-0.068,-0.073,-0.078,0.183,1.0,-0.083,-0.265,-0.013,-0.033,-0.051,0.004,0.029,-0.165,0.137
2,A2_1,-0.021,0.062,0.051,-0.102,-0.175,-0.018,-0.083,1.0,0.066,-0.095,-0.125,0.07,-0.109,-0.272,-0.246,-0.323
2,A2_2,-0.004,0.032,-0.079,0.079,0.089,0.026,-0.265,0.066,1.0,0.145,0.121,-0.01,-0.009,0.059,-0.058,-0.061
2,A2_3,0.086,-0.032,0.052,-0.198,0.187,0.174,-0.013,-0.095,0.145,1.0,0.061,-0.042,0.016,0.227,0.066,0.008
2,B2_1,-0.131,0.224,-0.018,-0.005,0.023,0.134,-0.033,-0.125,0.121,0.061,1.0,-0.105,0.058,0.241,-0.123,0.22
2,B2_2,-0.195,0.013,-0.009,-0.236,-0.02,-0.162,-0.051,0.07,-0.01,-0.042,-0.105,1.0,0.099,0.052,-0.252,-0.319
2,B2_3,0.125,-0.372,-0.188,-0.074,-0.168,-0.045,0.004,-0.109,-0.009,0.016,0.058,0.099,1.0,-0.179,-0.083,0.036
2,y1,-0.102,0.147,-0.123,-0.014,0.265,0.192,0.029,-0.272,0.059,0.227,0.241,0.052,-0.179,1.0,-0.016,-0.029
2,y2,0.221,-0.242,0.011,0.182,0.134,0.153,-0.165,-0.246,-0.058,0.066,-0.123,-0.252,-0.083,-0.016,1.0,0.203
2,y3,0.017,-0.155,0.163,0.038,-0.207,0.112,0.137,-0.323,-0.061,0.008,0.22,-0.319,0.036,-0.029,0.203,1.0
3,.,1.0,-0.197,-0.161,-0.109,-0.04,-0.122,-0.237,-0.025,-0.0,0.089,-0.134,-0.193,0.124,-0.102,0.221,0.009
3,A1_1,-0.197,1.0,-0.159,-0.02,-0.082,0.19,0.047,0.064,0.034,-0.03,0.222,0.012,-0.373,0.148,-0.24,-0.153
