,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,0.031,0.065,0.043,0.148,0.024,0.037,0.036,0.107,0.117,0.027,0.032,0.09,0.075,0.027,0.092,0.049
0,A1_1,0.031,0.093,0.034,0.207,0.02,0.038,0.026,0.046,0.074,0.03,0.049,0.071,0.037,0.016,0.168,0.058
0,A1_2,0.015,0.081,0.039,0.177,0.043,0.073,0.074,0.04,0.052,0.023,0.038,0.059,0.109,0.014,0.072,0.091
0,A1_3,0.012,0.091,0.054,0.096,0.04,0.063,0.03,0.11,0.099,0.011,0.045,0.142,0.057,0.01,0.058,0.082
0,B1_1,0.011,0.065,0.026,0.402,0.028,0.034,0.011,0.025,0.055,0.025,0.042,0.115,0.026,0.012,0.083,0.038
0,B1_2,0.01,0.123,0.038,0.188,0.039,0.06,0.048,0.058,0.074,0.015,0.044,0.114,0.049,0.012,0.069,0.059
0,B1_3,0.011,0.047,0.074,0.102,0.04,0.038,0.013,0.06,0.134,0.016,0.03,0.225,0.04,0.014,0.103,0.054
0,A2_1,0.009,0.082,0.035,0.292,0.027,0.084,0.007,0.026,0.041,0.022,0.04,0.209,0.027,0.011,0.06,0.028
0,A2_2,0.014,0.14,0.046,0.141,0.058,0.067,0.077,0.051,0.052,0.021,0.047,0.065,0.074,0.014,0.059,0.075
0,A2_3,0.016,0.101,0.057,0.136,0.024,0.047,0.024,0.051,0.102,0.026,0.023,0.147,0.043,0.016,0.154,0.032
0,B2_1,0.01,0.082,0.044,0.248,0.03,0.049,0.019,0.047,0.094,0.02,0.025,0.144,0.054,0.012,0.082,0.042
0,B2_2,0.011,0.093,0.058,0.196,0.059,0.061,0.035,0.037,0.071,0.026,0.022,0.103,0.097,0.015,0.068,0.05
0,B2_3,0.012,0.081,0.055,0.2,0.049,0.105,0.014,0.029,0.033,0.031,0.049,0.181,0.043,0.017,0.056,0.044
0,y1,0.015,0.123,0.056,0.162,0.048,0.068,0.04,0.057,0.058,0.027,0.042,0.101,0.064,0.014,0.067,0.059
0,y2,0.019,0.055,0.048,0.157,0.019,0.067,0.024,0.055,0.065,0.029,0.039,0.164,0.045,0.02,0.138,0.056
0,y3,0.016,0.08,0.054,0.053,0.061,0.045,0.076,0.053,0.107,0.008,0.088,0.067,0.042,0.014,0.104,0.131
1,.,0.035,0.064,0.044,0.138,0.024,0.037,0.038,0.108,0.117,0.028,0.032,0.085,0.075,0.029,0.095,0.05
1,A1_1,0.037,0.093,0.035,0.188,0.02,0.039,0.028,0.047,0.072,0.032,0.051,0.065,0.038,0.018,0.176,0.061
1,A1_2,0.018,0.079,0.04,0.154,0.042,0.075,0.085,0.04,0.05,0.024,0.04,0.051,0.112,0.015,0.076,0.098
1,A1_3,0.016,0.096,0.058,0.08,0.041,0.064,0.036,0.113,0.097,0.012,0.049,0.119,0.058,0.011,0.062,0.09
1,B1_1,0.015,0.066,0.026,0.392,0.027,0.034,0.012,0.026,0.054,0.028,0.045,0.103,0.027,0.014,0.091,0.041
