,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.136,-0.028,-0.115,0.336,0.135,-0.227,0.764,0.224,0.087,0.283,0.062,0.186,-0.357,-0.299,0.347
0,A1_1,0.136,1.0,0.734,-0.039,0.53,0.293,-0.074,0.186,0.153,0.204,-0.077,-0.248,-0.32,0.053,-0.086,0.457
0,A1_2,-0.028,0.734,1.0,0.216,0.284,0.103,-0.102,0.204,0.009,0.318,0.04,-0.152,-0.211,0.131,-0.309,0.166
0,A1_3,-0.115,-0.039,0.216,1.0,-0.137,-0.315,-0.242,0.147,0.028,0.586,0.261,-0.012,0.272,-0.084,-0.402,0.014
0,B1_1,0.336,0.53,0.284,-0.137,1.0,-0.006,0.219,0.086,0.399,0.28,0.189,-0.187,-0.17,0.071,0.084,0.114
0,B1_2,0.135,0.293,0.103,-0.315,-0.006,1.0,-0.062,-0.047,0.523,-0.09,-0.157,0.15,-0.149,0.103,-0.097,0.197
0,B1_3,-0.227,-0.074,-0.102,-0.242,0.219,-0.062,1.0,-0.637,0.224,0.145,-0.309,0.391,-0.382,0.385,-0.092,-0.161
0,A2_1,0.764,0.186,0.204,0.147,0.086,-0.047,-0.637,1.0,-0.053,0.145,0.292,-0.256,0.215,-0.524,-0.205,0.317
0,A2_2,0.224,0.153,0.009,0.028,0.399,0.523,0.224,-0.053,1.0,0.444,-0.324,0.25,-0.211,0.126,-0.081,0.091
0,A2_3,0.087,0.204,0.318,0.586,0.28,-0.09,0.145,0.145,0.444,1.0,-0.13,0.106,0.112,-0.227,-0.246,-0.119
0,B2_1,0.283,-0.077,0.04,0.261,0.189,-0.157,-0.309,0.292,-0.324,-0.13,1.0,-0.185,0.187,0.062,-0.256,0.121
0,B2_2,0.062,-0.248,-0.152,-0.012,-0.187,0.15,0.391,-0.256,0.25,0.106,-0.185,1.0,-0.134,0.086,-0.003,-0.022
0,B2_3,0.186,-0.32,-0.211,0.272,-0.17,-0.149,-0.382,0.215,-0.211,0.112,0.187,-0.134,1.0,-0.327,-0.314,-0.361
0,y1,-0.357,0.053,0.131,-0.084,0.071,0.103,0.385,-0.524,0.126,-0.227,0.062,0.086,-0.327,1.0,-0.158,-0.206
0,y2,-0.299,-0.086,-0.309,-0.402,0.084,-0.097,-0.092,-0.205,-0.081,-0.246,-0.256,-0.003,-0.314,-0.158,1.0,-0.193
0,y3,0.347,0.457,0.166,0.014,0.114,0.197,-0.161,0.317,0.091,-0.119,0.121,-0.022,-0.361,-0.206,-0.193,1.0
1,.,1.0,0.136,-0.029,-0.115,0.334,0.134,-0.229,0.764,0.224,0.086,0.28,0.06,0.187,-0.357,-0.299,0.348
1,A1_1,0.136,1.0,0.734,-0.039,0.529,0.292,-0.075,0.186,0.154,0.204,-0.078,-0.249,-0.321,0.053,-0.086,0.457
1,A1_2,-0.029,0.734,1.0,0.216,0.281,0.102,-0.103,0.204,0.01,0.319,0.038,-0.154,-0.213,0.131,-0.309,0.166
1,A1_3,-0.115,-0.039,0.216,1.0,-0.136,-0.314,-0.241,0.147,0.027,0.586,0.262,-0.011,0.272,-0.085,-0.402,0.015
1,B1_1,0.334,0.529,0.281,-0.136,1.0,-0.007,0.221,0.084,0.399,0.28,0.19,-0.186,-0.17,0.073,0.084,0.113
1,B1_2,0.134,0.292,0.102,-0.314,-0.007,1.0,-0.061,-0.049,0.523,-0.09,-0.158,0.15,-0.148,0.104,-0.097,0.196
1,B1_3,-0.229,-0.075,-0.103,-0.241,0.221,-0.061,1.0,-0.638,0.224,0.145,-0.308,0.392,-0.379,0.386,-0.092,-0.162
1,A2_1,0.764,0.186,0.204,0.147,0.084,-0.049,-0.638,1.0,-0.053,0.145,0.289,-0.258,0.212,-0.523,-0.204,0.319
1,A2_2,0.224,0.154,0.01,0.027,0.399,0.523,0.224,-0.053,1.0,0.444,-0.324,0.251,-0.211,0.125,-0.081,0.092
