,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,-0.243,-0.397,-0.558,-0.468,-0.309,-0.47,-0.593,-0.517,-0.334,-0.427,-0.615,-0.494,0.884,0.865,0.845
0,A1_1,-0.243,1.0,0.795,0.671,0.649,0.742,0.633,0.607,0.781,0.844,0.768,0.659,0.644,-0.217,-0.181,-0.092
0,A1_2,-0.397,0.795,1.0,0.817,0.787,0.75,0.773,0.76,0.841,0.821,0.779,0.77,0.787,-0.421,-0.364,-0.302
0,A1_3,-0.558,0.671,0.817,1.0,0.864,0.734,0.816,0.942,0.838,0.778,0.777,0.779,0.833,-0.602,-0.529,-0.453
0,B1_1,-0.468,0.649,0.787,0.864,1.0,0.791,0.896,0.83,0.803,0.749,0.829,0.828,0.867,-0.449,-0.402,-0.303
0,B1_2,-0.309,0.742,0.75,0.734,0.791,1.0,0.787,0.668,0.757,0.782,0.796,0.702,0.758,-0.3,-0.272,-0.12
0,B1_3,-0.47,0.633,0.773,0.816,0.896,0.787,1.0,0.797,0.848,0.787,0.861,0.829,0.859,-0.443,-0.405,-0.329
0,A2_1,-0.593,0.607,0.76,0.942,0.83,0.668,0.797,1.0,0.823,0.745,0.785,0.785,0.793,-0.607,-0.525,-0.474
0,A2_2,-0.517,0.781,0.841,0.838,0.803,0.757,0.848,0.823,1.0,0.844,0.87,0.857,0.821,-0.47,-0.438,-0.333
0,A2_3,-0.334,0.844,0.821,0.778,0.749,0.782,0.787,0.745,0.844,1.0,0.85,0.765,0.805,-0.374,-0.34,-0.217
0,B2_1,-0.427,0.768,0.779,0.777,0.829,0.796,0.861,0.785,0.87,0.85,1.0,0.822,0.797,-0.413,-0.375,-0.269
0,B2_2,-0.615,0.659,0.77,0.779,0.828,0.702,0.829,0.785,0.857,0.765,0.822,1.0,0.839,-0.586,-0.552,-0.487
0,B2_3,-0.494,0.644,0.787,0.833,0.867,0.758,0.859,0.793,0.821,0.805,0.797,0.839,1.0,-0.556,-0.501,-0.402
0,y1,0.884,-0.217,-0.421,-0.602,-0.449,-0.3,-0.443,-0.607,-0.47,-0.374,-0.413,-0.586,-0.556,1.0,0.91,0.897
0,y2,0.865,-0.181,-0.364,-0.529,-0.402,-0.272,-0.405,-0.525,-0.438,-0.34,-0.375,-0.552,-0.501,0.91,1.0,0.882
0,y3,0.845,-0.092,-0.302,-0.453,-0.303,-0.12,-0.329,-0.474,-0.333,-0.217,-0.269,-0.487,-0.402,0.897,0.882,1.0
1,.,1.0,0.575,0.72,0.808,0.847,0.728,0.666,0.795,0.819,0.836,0.847,0.786,0.886,0.91,0.925,0.93
1,A1_1,0.575,1.0,0.812,0.767,0.686,0.796,0.764,0.801,0.749,0.738,0.691,0.813,0.676,0.619,0.552,0.621
1,A1_2,0.72,0.812,1.0,0.917,0.873,0.886,0.827,0.864,0.908,0.895,0.864,0.881,0.855,0.71,0.693,0.749
1,A1_3,0.808,0.767,0.917,1.0,0.921,0.87,0.816,0.92,0.957,0.934,0.911,0.886,0.935,0.781,0.779,0.807
1,B1_1,0.847,0.686,0.873,0.921,1.0,0.914,0.788,0.862,0.909,0.932,0.929,0.847,0.953,0.811,0.804,0.853
1,B1_2,0.728,0.796,0.886,0.87,0.914,1.0,0.831,0.856,0.859,0.881,0.873,0.86,0.876,0.723,0.662,0.754
1,B1_3,0.666,0.764,0.827,0.816,0.788,0.831,1.0,0.885,0.81,0.787,0.787,0.886,0.812,0.732,0.645,0.711
1,A2_1,0.795,0.801,0.864,0.92,0.862,0.856,0.885,1.0,0.894,0.887,0.876,0.919,0.89,0.814,0.766,0.821
1,A2_2,0.819,0.749,0.908,0.957,0.909,0.859,0.81,0.894,1.0,0.967,0.944,0.91,0.939,0.805,0.784,0.823
1,A2_3,0.836,0.738,0.895,0.934,0.932,0.881,0.787,0.887,0.967,1.0,0.966,0.902,0.944,0.794,0.784,0.828
1,B2_1,0.847,0.691,0.864,0.911,0.929,0.873,0.787,0.876,0.944,0.966,1.0,0.903,0.941,0.824,0.804,0.832
1,B2_2,0.786,0.813,0.881,0.886,0.847,0.86,0.886,0.919,0.91,0.902,0.903,1.0,0.882,0.797,0.75,0.795
1,B2_3,0.886,0.676,0.855,0.935,0.953,0.876,0.812,0.89,0.939,0.944,0.941,0.882,1.0,0.845,0.838,0.866
1,y1,0.91,0.619,0.71,0.781,0.811,0.723,0.732,0.814,0.805,0.794,0.824,0.797,0.845,1.0,0.905,0.945
1,y2,0.925,0.552,0.693,0.779,0.804,0.662,0.645,0.766,0.784,0.784,0.804,0.75,0.838,0.905,1.0,0.916
1,y3,0.93,0.621,0.749,0.807,0.853,0.754,0.711,0.821,0.823,0.828,0.832,0.795,0.866,0.945,0.916,1.0
2,.,1.0,0.658,0.831,0.855,0.808,0.838,0.87,0.875,0.86,0.883,0.878,0.91,0.909,0.898,0.919,0.927
2,A1_1,0.658,1.0,0.831,0.799,0.712,0.768,0.705,0.758,0.797,0.8,0.713,0.755,0.707,0.695,0.63,0.706
2,A1_2,0.831,0.831,1.0,0.935,0.851,0.835,0.829,0.9,0.933,0.912,0.861,0.901,0.871,0.818,0.818,0.852
2,A1_3,0.855,0.799,0.935,1.0,0.91,0.864,0.85,0.955,0.956,0.928,0.904,0.917,0.911,0.828,0.823,0.859
2,B1_1,0.808,0.712,0.851,0.91,1.0,0.907,0.823,0.912,0.869,0.888,0.907,0.897,0.893,0.784,0.776,0.825
2,B1_2,0.838,0.768,0.835,0.864,0.907,1.0,0.886,0.898,0.848,0.876,0.889,0.887,0.899,0.857,0.79,0.871
2,B1_3,0.87,0.705,0.829,0.85,0.823,0.886,1.0,0.887,0.869,0.867,0.877,0.888,0.924,0.894,0.841,0.884
2,A2_1,0.875,0.758,0.9,0.955,0.912,0.898,0.887,1.0,0.942,0.946,0.944,0.939,0.935,0.872,0.858,0.89
2,A2_2,0.86,0.797,0.933,0.956,0.869,0.848,0.869,0.942,1.0,0.955,0.911,0.937,0.913,0.837,0.821,0.867
2,A2_3,0.883,0.8,0.912,0.928,0.888,0.876,0.867,0.946,0.955,1.0,0.933,0.942,0.916,0.854,0.843,0.891
2,B2_1,0.878,0.713,0.861,0.904,0.907,0.889,0.877,0.944,0.911,0.933,1.0,0.956,0.93,0.874,0.866,0.884
2,B2_2,0.91,0.755,0.901,0.917,0.897,0.887,0.888,0.939,0.937,0.942,0.956,1.0,0.942,0.864,0.866,0.879
2,B2_3,0.909,0.707,0.871,0.911,0.893,0.899,0.924,0.935,0.913,0.916,0.93,0.942,1.0,0.88,0.871,0.898
2,y1,0.898,0.695,0.818,0.828,0.784,0.857,0.894,0.872,0.837,0.854,0.874,0.864,0.88,1.0,0.913,0.952
2,y2,0.919,0.63,0.818,0.823,0.776,0.79,0.841,0.858,0.821,0.843,0.866,0.866,0.871,0.913,1.0,0.923
2,y3,0.927,0.706,0.852,0.859,0.825,0.871,0.884,0.89,0.867,0.891,0.884,0.879,0.898,0.952,0.923,1.0
3,.,1.0,0.689,0.846,0.874,0.833,0.88,0.871,0.873,0.854,0.868,0.879,0.915,0.896,0.869,0.889,0.915
3,A1_1,0.689,1.0,0.831,0.808,0.693,0.713,0.673,0.791,0.87,0.809,0.719,0.749,0.694,0.712,0.659,0.721
3,A1_2,0.846,0.831,1.0,0.939,0.845,0.817,0.809,0.913,0.91,0.92,0.841,0.887,0.847,0.827,0.825,0.857
3,A1_3,0.874,0.808,0.939,1.0,0.885,0.847,0.836,0.956,0.916,0.923,0.882,0.902,0.887,0.834,0.84,0.866
3,B1_1,0.833,0.693,0.845,0.885,1.0,0.922,0.851,0.901,0.778,0.904,0.892,0.886,0.911,0.802,0.794,0.847
3,B1_2,0.88,0.713,0.817,0.847,0.922,1.0,0.899,0.881,0.813,0.867,0.909,0.895,0.936,0.861,0.828,0.887
3,B1_3,0.871,0.673,0.809,0.836,0.851,0.899,1.0,0.87,0.845,0.836,0.914,0.907,0.942,0.883,0.851,0.867
3,A2_1,0.873,0.791,0.913,0.956,0.901,0.881,0.87,1.0,0.909,0.947,0.927,0.933,0.907,0.875,0.867,0.896
3,A2_2,0.854,0.87,0.91,0.916,0.778,0.813,0.845,0.909,1.0,0.903,0.846,0.883,0.844,0.852,0.816,0.851
3,A2_3,0.868,0.809,0.92,0.923,0.904,0.867,0.836,0.947,0.903,1.0,0.888,0.913,0.883,0.828,0.828,0.876
3,B2_1,0.879,0.719,0.841,0.882,0.892,0.909,0.914,0.927,0.846,0.888,1.0,0.955,0.932,0.898,0.885,0.899
3,B2_2,0.915,0.749,0.887,0.902,0.886,0.895,0.907,0.933,0.883,0.913,0.955,1.0,0.928,0.881,0.88,0.889
3,B2_3,0.896,0.694,0.847,0.887,0.911,0.936,0.942,0.907,0.844,0.883,0.932,0.928,1.0,0.86,0.858,0.888
3,y1,0.869,0.712,0.827,0.834,0.802,0.861,0.883,0.875,0.852,0.828,0.898,0.881,0.86,1.0,0.925,0.943
3,y2,0.889,0.659,0.825,0.84,0.794,0.828,0.851,0.867,0.816,0.828,0.885,0.88,0.858,0.925,1.0,0.928
3,y3,0.915,0.721,0.857,0.866,0.847,0.887,0.867,0.896,0.851,0.876,0.899,0.889,0.888,0.943,0.928,1.0
