,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.256,0.178,0.005,-0.162,-0.171,-0.144,-0.171,0.137,0.04,0.076,0.732,0.197,0.371,0.228,-0.544
0,A1_1,0.256,1.0,-0.422,0.099,-0.315,0.247,0.327,0.038,0.13,-0.052,-0.157,0.254,0.537,0.044,-0.226,-0.053
0,A1_2,0.178,-0.422,1.0,-0.615,0.141,-0.08,-0.367,-0.439,-0.183,-0.121,0.637,-0.259,-0.29,0.203,0.216,-0.106
0,A1_3,0.005,0.099,-0.615,1.0,-0.24,0.017,0.247,-0.064,-0.141,-0.028,-0.114,0.448,-0.114,-0.141,-0.205,0.434
0,B1_1,-0.162,-0.315,0.141,-0.24,1.0,0.181,-0.468,0.029,0.353,0.36,-0.151,0.116,0.172,0.246,-0.449,0.17
0,B1_2,-0.171,0.247,-0.08,0.017,0.181,1.0,0.1,-0.222,0.618,0.29,0.115,-0.201,0.129,-0.135,0.15,0.553
0,B1_3,-0.144,0.327,-0.367,0.247,-0.468,0.1,1.0,-0.154,-0.185,0.104,0.124,-0.101,-0.224,-0.802,0.308,0.021
0,A2_1,-0.171,0.038,-0.439,-0.064,0.029,-0.222,-0.154,1.0,0.341,-0.174,-0.516,0.033,0.375,-0.026,-0.013,-0.152
0,A2_2,0.137,0.13,-0.183,-0.141,0.353,0.618,-0.185,0.341,1.0,0.555,-0.096,0.056,0.597,0.103,0.196,0.007
0,A2_3,0.04,-0.052,-0.121,-0.028,0.36,0.29,0.104,-0.174,0.555,1.0,0.133,-0.055,0.478,0.088,-0.048,-0.122
0,B2_1,0.076,-0.157,0.637,-0.114,-0.151,0.115,0.124,-0.516,-0.096,0.133,1.0,-0.221,-0.098,-0.205,0.283,0.116
0,B2_2,0.732,0.254,-0.259,0.448,0.116,-0.201,-0.101,0.033,0.056,-0.055,-0.221,1.0,0.161,0.244,-0.184,-0.179
