,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,0.042,0.018,0.018,0.174,0.042,0.102,0.176,0.06,0.015,0.041,0.038,0.033,0.114,0.066,0.021,0.041
0,A1_1,0.061,0.009,0.029,0.11,0.078,0.118,0.099,0.075,0.01,0.029,0.027,0.02,0.171,0.058,0.022,0.083
0,A1_2,0.044,0.014,0.044,0.103,0.051,0.183,0.062,0.052,0.008,0.03,0.013,0.049,0.102,0.112,0.075,0.06
0,A1_3,0.042,0.01,0.012,0.128,0.09,0.066,0.058,0.173,0.019,0.017,0.017,0.023,0.075,0.162,0.046,0.061
0,B1_1,0.032,0.006,0.008,0.131,0.095,0.054,0.147,0.131,0.018,0.021,0.027,0.032,0.199,0.066,0.019,0.015
0,B1_2,0.032,0.011,0.02,0.207,0.038,0.149,0.134,0.052,0.007,0.038,0.025,0.041,0.112,0.061,0.032,0.042
0,B1_3,0.026,0.014,0.018,0.186,0.034,0.141,0.084,0.13,0.009,0.047,0.029,0.028,0.042,0.066,0.057,0.087
0,A2_1,0.028,0.008,0.008,0.14,0.069,0.084,0.114,0.236,0.012,0.02,0.016,0.025,0.106,0.085,0.032,0.017
0,A2_2,0.034,0.006,0.011,0.149,0.066,0.073,0.152,0.126,0.011,0.023,0.032,0.024,0.15,0.075,0.031,0.038
0,A2_3,0.022,0.007,0.01,0.136,0.074,0.111,0.122,0.2,0.008,0.02,0.022,0.021,0.079,0.101,0.037,0.028
0,B2_1,0.03,0.005,0.01,0.105,0.095,0.087,0.114,0.143,0.009,0.019,0.019,0.035,0.157,0.12,0.038,0.016
0,B2_2,0.02,0.008,0.014,0.083,0.044,0.172,0.06,0.144,0.011,0.061,0.051,0.05,0.041,0.076,0.091,0.074
0,B2_3,0.024,0.01,0.013,0.107,0.081,0.183,0.058,0.172,0.009,0.025,0.01,0.042,0.081,0.122,0.051,0.013
0,y1,0.036,0.006,0.018,0.121,0.061,0.118,0.097,0.086,0.013,0.052,0.044,0.061,0.138,0.066,0.046,0.038
0,y2,0.029,0.012,0.015,0.057,0.04,0.168,0.066,0.228,0.01,0.052,0.028,0.058,0.056,0.069,0.086,0.028
0,y3,0.021,0.016,0.011,0.164,0.073,0.153,0.094,0.133,0.008,0.048,0.018,0.042,0.085,0.069,0.038,0.027
500,.,0.01,0.018,0.009,0.021,0.002,0.009,0.001,0.012,0.016,0.024,0.009,0.032,0.001,0.238,0.288,0.309
500,A1_1,0.001,0.001,0.003,0.003,0.017,0.068,0.001,0.002,0.003,0.004,0.099,0.083,0.041,0.243,0.225,0.206
