,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.825,0.792,0.908,0.895,0.902,0.9,0.845,0.835,0.884,0.899,0.883,0.86,0.878,0.856,0.813
0,A1_1,0.825,1.0,0.853,0.856,0.789,0.852,0.767,0.841,0.852,0.823,0.791,0.822,0.78,0.815,0.824,0.846
0,A1_2,0.792,0.853,1.0,0.808,0.744,0.792,0.714,0.889,0.868,0.86,0.715,0.767,0.723,0.811,0.748,0.787
0,A1_3,0.908,0.856,0.808,1.0,0.878,0.892,0.781,0.891,0.832,0.866,0.813,0.895,0.863,0.88,0.871,0.795
0,B1_1,0.895,0.789,0.744,0.878,1.0,0.846,0.854,0.859,0.805,0.815,0.868,0.937,0.887,0.88,0.894,0.807
0,B1_2,0.902,0.852,0.792,0.892,0.846,1.0,0.877,0.857,0.795,0.81,0.882,0.893,0.911,0.875,0.867,0.855
0,B1_3,0.9,0.767,0.714,0.781,0.854,0.877,1.0,0.765,0.708,0.772,0.899,0.883,0.796,0.766,0.866,0.773
0,A2_1,0.845,0.841,0.889,0.891,0.859,0.857,0.765,1.0,0.916,0.833,0.84,0.904,0.907,0.899,0.861,0.832
0,A2_2,0.835,0.852,0.868,0.832,0.805,0.795,0.708,0.916,1.0,0.861,0.799,0.829,0.856,0.917,0.765,0.849
0,A2_3,0.884,0.823,0.86,0.866,0.815,0.81,0.772,0.833,0.861,1.0,0.754,0.803,0.741,0.876,0.767,0.743
0,B2_1,0.899,0.791,0.715,0.813,0.868,0.882,0.899,0.84,0.799,0.754,1.0,0.916,0.905,0.855,0.882,0.867
0,B2_2,0.883,0.822,0.767,0.895,0.937,0.893,0.883,0.904,0.829,0.803,0.916,1.0,0.912,0.872,0.907,0.828
0,B2_3,0.86,0.78,0.723,0.863,0.887,0.911,0.796,0.907,0.856,0.741,0.905,0.912,1.0,0.912,0.843,0.847
0,y1,0.878,0.815,0.811,0.88,0.88,0.875,0.766,0.899,0.917,0.876,0.855,0.872,0.912,1.0,0.827,0.816
0,y2,0.856,0.824,0.748,0.871,0.894,0.867,0.866,0.861,0.765,0.767,0.882,0.907,0.843,0.827,1.0,0.821
0,y3,0.813,0.846,0.787,0.795,0.807,0.855,0.773,0.832,0.849,0.743,0.867,0.828,0.847,0.816,0.821,1.0
500,.,1.0,-0.069,-0.025,-0.106,-0.122,-0.011,-0.104,-0.13,-0.109,-0.109,-0.08,-0.088,-0.133,-0.114,-0.12,-0.178
500,A1_1,-0.069,1.0,0.985,0.972,-0.057,-0.006,-0.09,0.944,0.885,0.933,-0.054,-0.059,-0.131,-0.07,0.046,-0.023
500,A1_2,-0.025,0.985,1.0,0.954,-0.026,0.027,-0.066,0.939,0.872,0.929,-0.01,-0.018,-0.092,-0.044,0.077,0.002
500,A1_3,-0.106,0.972,0.954,1.0,0.057,0.086,0.005,0.912,0.852,0.91,0.044,0.036,-0.007,-0.089,0.034,-0.04
500,B1_1,-0.122,-0.057,-0.026,0.057,1.0,0.934,0.952,-0.072,-0.038,0.022,0.909,0.945,0.938,-0.052,0.031,-0.041
500,B1_2,-0.011,-0.006,0.027,0.086,0.934,1.0,0.913,-0.014,0.01,0.052,0.861,0.894,0.906,0.076,0.157,0.07
500,B1_3,-0.104,-0.09,-0.066,0.005,0.952,0.913,1.0,-0.115,-0.104,-0.021,0.906,0.943,0.926,-0.006,0.064,-0.02
500,A2_1,-0.13,0.944,0.939,0.912,-0.072,-0.014,-0.115,1.0,0.959,0.966,-0.033,-0.06,-0.116,-0.1,0.019,-0.051
500,A2_2,-0.109,0.885,0.872,0.852,-0.038,0.01,-0.104,0.959,1.0,0.956,-0.026,-0.031,-0.099,-0.154,-0.028,-0.084
500,A2_3,-0.109,0.933,0.929,0.91,0.022,0.052,-0.021,0.966,0.956,1.0,0.033,0.028,-0.05,-0.078,0.046,-0.02
500,B2_1,-0.08,-0.054,-0.01,0.044,0.909,0.861,0.906,-0.033,-0.026,0.033,1.0,0.977,0.969,-0.089,0.008,-0.084
500,B2_2,-0.088,-0.059,-0.018,0.036,0.945,0.894,0.943,-0.06,-0.031,0.028,0.977,1.0,0.968,-0.057,0.026,-0.055
500,B2_3,-0.133,-0.131,-0.092,-0.007,0.938,0.906,0.926,-0.116,-0.099,-0.05,0.969,0.968,1.0,-0.048,0.037,-0.044
500,y1,-0.114,-0.07,-0.044,-0.089,-0.052,0.076,-0.006,-0.1,-0.154,-0.078,-0.089,-0.057,-0.048,1.0,0.963,0.977
500,y2,-0.12,0.046,0.077,0.034,0.031,0.157,0.064,0.019,-0.028,0.046,0.008,0.026,0.037,0.963,1.0,0.973
500,y3,-0.178,-0.023,0.002,-0.04,-0.041,0.07,-0.02,-0.051,-0.084,-0.02,-0.084,-0.055,-0.044,0.977,0.973,1.0
1000,.,1.0,0.094,0.088,0.045,0.033,-0.021,0.008,0.057,0.043,0.055,0.063,0.054,-0.076,-0.204,-0.092,-0.169
1000,A1_1,0.094,1.0,0.92,0.936,-0.136,-0.071,-0.153,0.908,0.779,0.797,-0.095,-0.076,-0.141,0.02,0.105,0.04
1000,A1_2,0.088,0.92,1.0,0.953,-0.126,-0.054,-0.141,0.95,0.889,0.938,-0.068,-0.054,-0.136,0.015,0.092,0.037
1000,A1_3,0.045,0.936,0.953,1.0,-0.111,-0.041,-0.145,0.93,0.849,0.871,-0.067,-0.07,-0.103,0.005,0.082,0.009
