,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,-0.272,0.127,-0.074,-0.149,-0.072,0.108,0.002,0.158,-0.29,-0.418,0.359,0.277,-0.228,-0.156,-0.217
0,A1_1,-0.272,1.0,-0.17,-0.433,0.372,0.412,0.273,-0.028,-0.32,-0.35,0.122,-0.339,-0.25,-0.006,-0.248,-0.024
0,A1_2,0.127,-0.17,1.0,0.712,-0.453,0.049,-0.353,-0.146,-0.029,0.245,0.271,0.187,-0.134,0.023,0.066,0.038
0,A1_3,-0.074,-0.433,0.712,1.0,-0.321,-0.001,-0.508,0.086,-0.175,0.165,0.527,-0.002,0.136,0.193,-0.003,-0.02
0,B1_1,-0.149,0.372,-0.453,-0.321,1.0,-0.058,0.181,0.668,0.022,0.009,0.075,-0.331,0.053,0.484,0.423,-0.353
0,B1_2,-0.072,0.412,0.049,-0.001,-0.058,1.0,-0.435,-0.039,-0.769,-0.201,0.274,-0.645,-0.11,-0.099,-0.657,0.402
0,B1_3,0.108,0.273,-0.353,-0.508,0.181,-0.435,1.0,-0.199,0.646,-0.545,-0.337,0.64,0.303,0.099,0.009,0.067
0,A2_1,0.002,-0.028,-0.146,0.086,0.668,-0.039,-0.199,1.0,-0.243,0.345,-0.129,-0.25,0.124,0.144,0.364,-0.679
0,A2_2,0.158,-0.32,-0.029,-0.175,0.022,-0.769,0.646,-0.243,1.0,-0.102,-0.353,0.719,0.226,0.109,0.436,0.056
0,A2_3,-0.29,-0.35,0.245,0.165,0.009,-0.201,-0.545,0.345,-0.102,1.0,0.009,-0.13,-0.358,0.06,0.594,-0.247
0,B2_1,-0.418,0.122,0.271,0.527,0.075,0.274,-0.337,-0.129,-0.353,0.009,1.0,-0.309,0.101,0.71,-0.051,0.385
0,B2_2,0.359,-0.339,0.187,-0.002,-0.331,-0.645,0.64,-0.25,0.719,-0.13,-0.309,1.0,0.493,0.029,0.131,0.021
0,B2_3,0.277,-0.25,-0.134,0.136,0.053,-0.11,0.303,0.124,0.226,-0.358,0.101,0.493,1.0,0.292,-0.222,0.112
0,y1,-0.228,-0.006,0.023,0.193,0.484,-0.099,0.099,0.144,0.109,0.06,0.71,0.029,0.292,1.0,0.364,0.276
0,y2,-0.156,-0.248,0.066,-0.003,0.423,-0.657,0.009,0.364,0.436,0.594,-0.051,0.131,-0.222,0.364,1.0,-0.428
0,y3,-0.217,-0.024,0.038,-0.02,-0.353,0.402,0.067,-0.679,0.056,-0.247,0.385,0.021,0.112,0.276,-0.428,1.0
1,.,1.0,-0.274,0.128,-0.074,-0.148,-0.074,0.108,0.003,0.16,-0.288,-0.419,0.36,0.276,-0.228,-0.155,-0.217
1,A1_1,-0.274,1.0,-0.17,-0.433,0.372,0.412,0.274,-0.028,-0.32,-0.35,0.123,-0.338,-0.25,-0.006,-0.247,-0.024
1,A1_2,0.128,-0.17,1.0,0.712,-0.452,0.048,-0.353,-0.146,-0.029,0.245,0.271,0.187,-0.134,0.024,0.066,0.039
1,A1_3,-0.074,-0.433,0.712,1.0,-0.322,-0.001,-0.508,0.086,-0.175,0.165,0.527,-0.003,0.136,0.193,-0.003,-0.02
1,B1_1,-0.148,0.372,-0.452,-0.322,1.0,-0.057,0.181,0.668,0.022,0.008,0.075,-0.33,0.054,0.484,0.423,-0.353
1,B1_2,-0.074,0.412,0.048,-0.001,-0.057,1.0,-0.433,-0.039,-0.769,-0.201,0.274,-0.643,-0.108,-0.098,-0.657,0.403
1,B1_3,0.108,0.274,-0.353,-0.508,0.181,-0.433,1.0,-0.198,0.646,-0.545,-0.337,0.64,0.304,0.097,0.008,0.066
1,A2_1,0.003,-0.028,-0.146,0.086,0.668,-0.039,-0.198,1.0,-0.243,0.345,-0.129,-0.249,0.124,0.144,0.365,-0.679
1,A2_2,0.16,-0.32,-0.029,-0.175,0.022,-0.769,0.646,-0.243,1.0,-0.102,-0.353,0.718,0.226,0.109,0.436,0.055
1,A2_3,-0.288,-0.35,0.245,0.165,0.008,-0.201,-0.545,0.345,-0.102,1.0,0.009,-0.131,-0.358,0.061,0.595,-0.246
1,B2_1,-0.419,0.123,0.271,0.527,0.075,0.274,-0.337,-0.129,-0.353,0.009,1.0,-0.31,0.101,0.71,-0.052,0.384
1,B2_2,0.36,-0.338,0.187,-0.003,-0.33,-0.643,0.64,-0.249,0.718,-0.131,-0.31,1.0,0.494,0.028,0.13,0.021
1,B2_3,0.276,-0.25,-0.134,0.136,0.054,-0.108,0.304,0.124,0.226,-0.358,0.101,0.494,1.0,0.291,-0.223,0.112
1,y1,-0.228,-0.006,0.024,0.193,0.484,-0.098,0.097,0.144,0.109,0.061,0.71,0.028,0.291,1.0,0.364,0.275
1,y2,-0.155,-0.247,0.066,-0.003,0.423,-0.657,0.008,0.365,0.436,0.595,-0.052,0.13,-0.223,0.364,1.0,-0.428
1,y3,-0.217,-0.024,0.039,-0.02,-0.353,0.403,0.066,-0.679,0.055,-0.246,0.384,0.021,0.112,0.275,-0.428,1.0
2,.,1.0,-0.275,0.127,-0.076,-0.148,-0.074,0.108,0.002,0.162,-0.286,-0.421,0.36,0.273,-0.23,-0.154,-0.217
2,A1_1,-0.275,1.0,-0.169,-0.433,0.372,0.412,0.274,-0.028,-0.32,-0.35,0.122,-0.337,-0.25,-0.006,-0.247,-0.024
2,A1_2,0.127,-0.169,1.0,0.713,-0.452,0.048,-0.354,-0.145,-0.028,0.245,0.27,0.187,-0.134,0.024,0.067,0.039
2,A1_3,-0.076,-0.433,0.713,1.0,-0.322,-0.002,-0.508,0.086,-0.174,0.164,0.527,-0.003,0.135,0.193,-0.002,-0.02
2,B1_1,-0.148,0.372,-0.452,-0.322,1.0,-0.056,0.182,0.669,0.021,0.008,0.075,-0.329,0.056,0.485,0.422,-0.353
2,B1_2,-0.074,0.412,0.048,-0.002,-0.056,1.0,-0.431,-0.039,-0.769,-0.201,0.273,-0.641,-0.107,-0.097,-0.656,0.403
2,B1_3,0.108,0.274,-0.354,-0.508,0.182,-0.431,1.0,-0.197,0.645,-0.545,-0.337,0.64,0.305,0.096,0.007,0.066
2,A2_1,0.002,-0.028,-0.145,0.086,0.669,-0.039,-0.197,1.0,-0.243,0.345,-0.129,-0.248,0.124,0.144,0.365,-0.679
2,A2_2,0.162,-0.32,-0.028,-0.174,0.021,-0.769,0.645,-0.243,1.0,-0.103,-0.353,0.718,0.226,0.108,0.436,0.055
2,A2_3,-0.286,-0.35,0.245,0.164,0.008,-0.201,-0.545,0.345,-0.103,1.0,0.008,-0.131,-0.359,0.061,0.595,-0.246
2,B2_1,-0.421,0.122,0.27,0.527,0.075,0.273,-0.337,-0.129,-0.353,0.008,1.0,-0.31,0.101,0.711,-0.053,0.385
2,B2_2,0.36,-0.337,0.187,-0.003,-0.329,-0.641,0.64,-0.248,0.718,-0.131,-0.31,1.0,0.494,0.026,0.129,0.02
2,B2_3,0.273,-0.25,-0.134,0.135,0.056,-0.107,0.305,0.124,0.226,-0.359,0.101,0.494,1.0,0.289,-0.224,0.111
2,y1,-0.23,-0.006,0.024,0.193,0.485,-0.097,0.096,0.144,0.108,0.061,0.711,0.026,0.289,1.0,0.364,0.275
