,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,0.042,0.008,0.079,0.039,0.154,0.034,0.028,0.077,0.083,0.133,0.035,0.009,0.021,0.099,0.081,0.078
0,A1_1,0.012,0.006,0.008,0.084,0.011,0.667,0.044,0.001,0.062,0.005,0.039,0.01,0.0,0.034,0.005,0.012
0,A1_2,0.004,0.246,0.232,0.009,0.065,0.112,0.086,0.003,0.001,0.069,0.027,0.005,0.009,0.011,0.007,0.116
0,A1_3,0.005,0.001,0.014,0.005,0.457,0.031,0.016,0.001,0.02,0.036,0.008,0.037,0.02,0.203,0.035,0.11
0,B1_1,0.009,0.018,0.045,0.015,0.007,0.615,0.048,0.008,0.05,0.07,0.007,0.028,0.003,0.007,0.053,0.018
0,B1_2,0.005,0.05,0.286,0.019,0.022,0.048,0.192,0.007,0.004,0.076,0.154,0.004,0.003,0.029,0.043,0.059
0,B1_3,0.011,0.005,0.038,0.014,0.105,0.312,0.084,0.003,0.067,0.039,0.026,0.079,0.004,0.106,0.03,0.076
0,A2_1,0.004,0.068,0.156,0.013,0.061,0.171,0.141,0.003,0.008,0.216,0.03,0.014,0.007,0.033,0.04,0.034
0,A2_2,0.003,0.004,0.082,0.016,0.149,0.024,0.095,0.0,0.014,0.106,0.059,0.007,0.015,0.252,0.106,0.069
0,A2_3,0.007,0.009,0.031,0.038,0.071,0.297,0.096,0.005,0.072,0.03,0.094,0.024,0.006,0.034,0.164,0.023
0,B2_1,0.007,0.012,0.087,0.007,0.008,0.481,0.099,0.012,0.048,0.075,0.011,0.037,0.003,0.009,0.055,0.049
0,B2_2,0.005,0.025,0.216,0.021,0.066,0.035,0.117,0.002,0.002,0.072,0.165,0.008,0.006,0.087,0.031,0.14
0,B2_3,0.012,0.003,0.007,0.066,0.04,0.545,0.041,0.001,0.136,0.008,0.022,0.021,0.001,0.062,0.019,0.016
0,y1,0.002,0.069,0.28,0.006,0.007,0.167,0.086,0.003,0.003,0.253,0.033,0.008,0.004,0.01,0.022,0.049
0,y2,0.006,0.002,0.04,0.012,0.276,0.023,0.034,0.001,0.014,0.061,0.03,0.019,0.015,0.281,0.056,0.13
0,y3,0.005,0.011,0.009,0.04,0.003,0.824,0.016,0.001,0.039,0.012,0.012,0.006,0.001,0.006,0.011,0.005
1,.,0.052,0.008,0.076,0.04,0.148,0.029,0.026,0.084,0.087,0.125,0.033,0.009,0.022,0.099,0.084,0.079
1,A1_1,0.02,0.007,0.01,0.109,0.012,0.587,0.05,0.002,0.078,0.006,0.045,0.012,0.0,0.039,0.008,0.015
1,A1_2,0.006,0.251,0.219,0.01,0.065,0.106,0.086,0.004,0.001,0.065,0.03,0.006,0.009,0.012,0.007,0.123
1,A1_3,0.008,0.001,0.014,0.005,0.438,0.028,0.017,0.001,0.022,0.036,0.009,0.041,0.02,0.209,0.037,0.115
1,B1_1,0.016,0.02,0.051,0.019,0.009,0.522,0.055,0.014,0.065,0.074,0.007,0.037,0.004,0.008,0.075,0.024
1,B1_2,0.007,0.052,0.275,0.026,0.023,0.037,0.192,0.009,0.005,0.066,0.153,0.004,0.003,0.033,0.056,0.061
1,B1_3,0.018,0.005,0.036,0.019,0.113,0.242,0.084,0.004,0.086,0.039,0.025,0.081,0.005,0.118,0.041,0.086
1,A2_1,0.007,0.073,0.153,0.019,0.065,0.137,0.133,0.004,0.009,0.208,0.032,0.015,0.009,0.035,0.062,0.039
1,A2_2,0.004,0.004,0.073,0.02,0.142,0.02,0.097,0.0,0.018,0.089,0.058,0.007,0.016,0.245,0.141,0.067
1,A2_3,0.011,0.008,0.034,0.046,0.071,0.18,0.093,0.01,0.077,0.029,0.087,0.023,0.007,0.032,0.263,0.029
1,B2_1,0.013,0.01,0.071,0.009,0.008,0.434,0.096,0.017,0.079,0.061,0.011,0.046,0.003,0.01,0.077,0.058
1,B2_2,0.008,0.035,0.228,0.023,0.053,0.036,0.116,0.003,0.002,0.072,0.167,0.007,0.006,0.075,0.029,0.141
1,B2_3,0.02,0.003,0.009,0.073,0.06,0.412,0.048,0.001,0.162,0.011,0.023,0.03,0.002,0.088,0.029,0.027
1,y1,0.004,0.069,0.27,0.008,0.007,0.142,0.091,0.004,0.004,0.259,0.033,0.009,0.005,0.012,0.035,0.05
1,y2,0.009,0.002,0.041,0.016,0.254,0.015,0.037,0.001,0.015,0.055,0.034,0.016,0.015,0.28,0.077,0.133
1,y3,0.01,0.011,0.01,0.058,0.003,0.763,0.017,0.001,0.061,0.012,0.013,0.008,0.001,0.007,0.018,0.006
2,.,0.064,0.008,0.073,0.041,0.144,0.025,0.025,0.089,0.088,0.117,0.032,0.009,0.022,0.098,0.085,0.079
2,A1_1,0.032,0.008,0.01,0.131,0.013,0.52,0.053,0.002,0.092,0.006,0.049,0.014,0.001,0.043,0.01,0.017
2,A1_2,0.009,0.252,0.203,0.012,0.065,0.104,0.088,0.004,0.001,0.062,0.032,0.006,0.009,0.013,0.008,0.131
2,A1_3,0.011,0.001,0.014,0.006,0.416,0.027,0.017,0.001,0.024,0.037,0.009,0.045,0.021,0.216,0.037,0.118
2,B1_1,0.026,0.022,0.053,0.023,0.01,0.452,0.058,0.022,0.078,0.07,0.008,0.044,0.004,0.009,0.091,0.03
2,B1_2,0.011,0.056,0.26,0.032,0.023,0.031,0.189,0.01,0.005,0.059,0.154,0.004,0.004,0.035,0.064,0.062
2,B1_3,0.027,0.005,0.033,0.022,0.119,0.194,0.079,0.004,0.096,0.038,0.024,0.083,0.006,0.13,0.048,0.092
2,A2_1,0.011,0.076,0.142,0.026,0.067,0.119,0.121,0.006,0.012,0.191,0.033,0.018,0.01,0.036,0.088,0.042
2,A2_2,0.006,0.004,0.067,0.025,0.133,0.019,0.097,0.001,0.021,0.079,0.059,0.007,0.016,0.242,0.161,0.066
2,A2_3,0.018,0.007,0.032,0.051,0.068,0.115,0.082,0.016,0.077,0.025,0.075,0.022,0.007,0.029,0.343,0.033
2,B2_1,0.021,0.009,0.061,0.011,0.008,0.394,0.089,0.021,0.106,0.051,0.01,0.051,0.003,0.011,0.088,0.065
2,B2_2,0.011,0.046,0.228,0.026,0.05,0.036,0.111,0.003,0.002,0.074,0.159,0.007,0.006,0.069,0.027,0.143
2,B2_3,0.029,0.003,0.009,0.075,0.076,0.33,0.046,0.001,0.169,0.014,0.023,0.038,0.003,0.111,0.036,0.034
2,y1,0.006,0.07,0.254,0.01,0.008,0.125,0.095,0.004,0.005,0.259,0.034,0.01,0.006,0.013,0.05,0.05
2,y2,0.013,0.002,0.042,0.02,0.237,0.012,0.04,0.001,0.017,0.047,0.037,0.014,0.016,0.27,0.101,0.132
2,y3,0.02,0.012,0.011,0.082,0.004,0.682,0.018,0.003,0.086,0.012,0.015,0.01,0.001,0.009,0.027,0.009
3,.,0.078,0.008,0.069,0.042,0.14,0.023,0.023,0.094,0.09,0.111,0.03,0.009,0.023,0.097,0.084,0.08
3,A1_1,0.048,0.008,0.011,0.149,0.015,0.451,0.056,0.003,0.105,0.006,0.051,0.017,0.001,0.047,0.012,0.02
3,A1_2,0.013,0.248,0.187,0.014,0.066,0.106,0.089,0.005,0.001,0.061,0.034,0.007,0.009,0.015,0.009,0.138
3,A1_3,0.015,0.001,0.014,0.006,0.397,0.026,0.017,0.001,0.025,0.038,0.01,0.05,0.021,0.221,0.037,0.122
3,B1_1,0.041,0.023,0.052,0.025,0.011,0.383,0.059,0.032,0.09,0.067,0.008,0.052,0.004,0.01,0.109,0.035
3,B1_2,0.016,0.057,0.24,0.038,0.025,0.027,0.19,0.012,0.006,0.055,0.153,0.004,0.004,0.039,0.072,0.063
3,B1_3,0.039,0.004,0.031,0.024,0.129,0.146,0.073,0.005,0.102,0.038,0.022,0.084,0.007,0.141,0.055,0.1
3,A2_1,0.02,0.07,0.122,0.033,0.07,0.107,0.104,0.009,0.016,0.178,0.03,0.022,0.012,0.036,0.125,0.044
3,A2_2,0.008,0.004,0.065,0.027,0.123,0.017,0.097,0.001,0.024,0.078,0.057,0.007,0.017,0.229,0.179,0.067
3,A2_3,0.025,0.005,0.029,0.048,0.068,0.063,0.069,0.022,0.074,0.021,0.056,0.022,0.008,0.027,0.424,0.037
3,B2_1,0.032,0.008,0.053,0.013,0.009,0.346,0.083,0.023,0.132,0.048,0.009,0.057,0.004,0.012,0.101,0.072
3,B2_2,0.016,0.053,0.218,0.03,0.051,0.036,0.105,0.004,0.003,0.079,0.15,0.007,0.006,0.069,0.027,0.145
3,B2_3,0.04,0.003,0.01,0.075,0.089,0.265,0.045,0.001,0.172,0.017,0.023,0.046,0.004,0.128,0.042,0.04
3,y1,0.008,0.069,0.235,0.013,0.009,0.112,0.097,0.005,0.007,0.259,0.033,0.011,0.007,0.014,0.071,0.051
3,y2,0.018,0.002,0.041,0.023,0.223,0.009,0.043,0.002,0.018,0.041,0.039,0.012,0.017,0.257,0.126,0.128
3,y3,0.037,0.013,0.013,0.115,0.005,0.563,0.02,0.005,0.12,0.012,0.017,0.011,0.002,0.011,0.043,0.013
4,.,0.094,0.008,0.067,0.042,0.135,0.02,0.022,0.098,0.089,0.106,0.029,0.009,0.023,0.096,0.082,0.081
4,A1_1,0.07,0.008,0.012,0.163,0.016,0.391,0.058,0.004,0.113,0.007,0.053,0.019,0.001,0.05,0.014,0.023
