,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.854,0.866,0.853,0.899,0.885,0.902,0.848,0.89,0.881,0.878,0.899,0.917,0.735,0.739,0.663
0,A1_1,0.854,1.0,0.902,0.868,0.812,0.887,0.859,0.884,0.868,0.847,0.834,0.796,0.834,0.701,0.731,0.759
0,A1_2,0.866,0.902,1.0,0.917,0.83,0.837,0.831,0.895,0.912,0.887,0.828,0.812,0.838,0.781,0.693,0.672
0,A1_3,0.853,0.868,0.917,1.0,0.837,0.849,0.827,0.864,0.884,0.879,0.824,0.826,0.826,0.739,0.721,0.674
0,B1_1,0.899,0.812,0.83,0.837,1.0,0.905,0.936,0.802,0.835,0.808,0.946,0.906,0.907,0.775,0.725,0.664
0,B1_2,0.885,0.887,0.837,0.849,0.905,1.0,0.926,0.817,0.813,0.791,0.901,0.863,0.869,0.749,0.735,0.705
0,B1_3,0.902,0.859,0.831,0.827,0.936,0.926,1.0,0.795,0.808,0.783,0.921,0.897,0.895,0.733,0.736,0.715
0,A2_1,0.848,0.884,0.895,0.864,0.802,0.817,0.795,1.0,0.904,0.919,0.84,0.846,0.859,0.736,0.763,0.656
0,A2_2,0.89,0.868,0.912,0.884,0.835,0.813,0.808,0.904,1.0,0.913,0.842,0.848,0.876,0.758,0.717,0.657
0,A2_3,0.881,0.847,0.887,0.879,0.808,0.791,0.783,0.919,0.913,1.0,0.814,0.839,0.836,0.728,0.74,0.642
0,B2_1,0.878,0.834,0.828,0.824,0.946,0.901,0.921,0.84,0.842,0.814,1.0,0.935,0.925,0.745,0.765,0.711
0,B2_2,0.899,0.796,0.812,0.826,0.906,0.863,0.897,0.846,0.848,0.839,0.935,1.0,0.929,0.727,0.793,0.658
0,B2_3,0.917,0.834,0.838,0.826,0.907,0.869,0.895,0.859,0.876,0.836,0.925,0.929,1.0,0.741,0.742,0.679
0,y1,0.735,0.701,0.781,0.739,0.775,0.749,0.733,0.736,0.758,0.728,0.745,0.727,0.741,1.0,0.474,0.427
0,y2,0.739,0.731,0.693,0.721,0.725,0.735,0.736,0.763,0.717,0.74,0.765,0.793,0.742,0.474,1.0,0.472
0,y3,0.663,0.759,0.672,0.674,0.664,0.705,0.715,0.656,0.657,0.642,0.711,0.658,0.679,0.427,0.472,1.0
1,.,1.0,0.78,0.811,0.732,0.861,0.832,0.855,0.795,0.828,0.842,0.834,0.854,0.854,0.791,0.775,0.743
1,A1_1,0.78,1.0,0.887,0.786,0.74,0.773,0.727,0.902,0.871,0.863,0.734,0.742,0.754,0.834,0.813,0.838
1,A1_2,0.811,0.887,1.0,0.839,0.731,0.705,0.697,0.878,0.902,0.9,0.72,0.735,0.733,0.816,0.79,0.818
1,A1_3,0.732,0.786,0.839,1.0,0.722,0.751,0.652,0.785,0.75,0.755,0.632,0.665,0.664,0.733,0.746,0.769
1,B1_1,0.861,0.74,0.731,0.722,1.0,0.924,0.924,0.739,0.751,0.724,0.926,0.874,0.889,0.855,0.806,0.795
1,B1_2,0.832,0.773,0.705,0.751,0.924,1.0,0.908,0.743,0.685,0.671,0.873,0.857,0.845,0.832,0.821,0.821
1,B1_3,0.855,0.727,0.697,0.652,0.924,0.908,1.0,0.736,0.702,0.699,0.94,0.903,0.888,0.843,0.817,0.788
1,A2_1,0.795,0.902,0.878,0.785,0.739,0.743,0.736,1.0,0.875,0.894,0.76,0.782,0.797,0.822,0.814,0.81
1,A2_2,0.828,0.871,0.902,0.75,0.751,0.685,0.702,0.875,1.0,0.902,0.734,0.745,0.775,0.806,0.772,0.758
1,A2_3,0.842,0.863,0.9,0.755,0.724,0.671,0.699,0.894,0.902,1.0,0.724,0.775,0.765,0.797,0.759,0.776
1,B2_1,0.834,0.734,0.72,0.632,0.926,0.873,0.94,0.76,0.734,0.724,1.0,0.909,0.894,0.857,0.858,0.817
1,B2_2,0.854,0.742,0.735,0.665,0.874,0.857,0.903,0.782,0.745,0.775,0.909,1.0,0.916,0.848,0.863,0.807
1,B2_3,0.854,0.754,0.733,0.664,0.889,0.845,0.888,0.797,0.775,0.765,0.894,0.916,1.0,0.843,0.831,0.79
1,y1,0.791,0.834,0.816,0.733,0.855,0.832,0.843,0.822,0.806,0.797,0.857,0.848,0.843,1.0,0.869,0.853
1,y2,0.775,0.813,0.79,0.746,0.806,0.821,0.817,0.814,0.772,0.759,0.858,0.863,0.831,0.869,1.0,0.86
1,y3,0.743,0.838,0.818,0.769,0.795,0.821,0.788,0.81,0.758,0.776,0.817,0.807,0.79,0.853,0.86,1.0
2,.,1.0,0.603,0.662,0.63,0.748,0.704,0.724,0.499,0.674,0.593,0.634,0.579,0.712,0.678,0.664,0.599
2,A1_1,0.603,1.0,0.812,0.766,0.534,0.678,0.604,0.896,0.844,0.798,0.542,0.596,0.618,0.6,0.602,0.705
2,A1_2,0.662,0.812,1.0,0.828,0.573,0.603,0.577,0.762,0.814,0.75,0.529,0.466,0.533,0.699,0.743,0.744
2,A1_3,0.63,0.766,0.828,1.0,0.637,0.652,0.569,0.692,0.741,0.663,0.45,0.456,0.482,0.596,0.621,0.667
2,B1_1,0.748,0.534,0.573,0.637,1.0,0.838,0.807,0.476,0.573,0.522,0.794,0.744,0.757,0.7,0.61,0.621
2,B1_2,0.704,0.678,0.603,0.652,0.838,1.0,0.924,0.627,0.571,0.501,0.821,0.815,0.833,0.738,0.716,0.772
2,B1_3,0.724,0.604,0.577,0.569,0.807,0.924,1.0,0.584,0.549,0.495,0.848,0.841,0.859,0.739,0.692,0.732
2,A2_1,0.499,0.896,0.762,0.692,0.476,0.627,0.584,1.0,0.817,0.803,0.565,0.675,0.652,0.536,0.604,0.65
2,A2_2,0.674,0.844,0.814,0.741,0.573,0.571,0.549,0.817,1.0,0.916,0.577,0.575,0.646,0.636,0.632,0.631
2,A2_3,0.593,0.798,0.75,0.663,0.522,0.501,0.495,0.803,0.916,1.0,0.589,0.599,0.634,0.564,0.56,0.55
2,B2_1,0.634,0.542,0.529,0.45,0.794,0.821,0.848,0.565,0.577,0.589,1.0,0.824,0.894,0.766,0.696,0.701
2,B2_2,0.579,0.596,0.466,0.456,0.744,0.815,0.841,0.675,0.575,0.599,0.824,1.0,0.891,0.557,0.569,0.601
2,B2_3,0.712,0.618,0.533,0.482,0.757,0.833,0.859,0.652,0.646,0.634,0.894,0.891,1.0,0.711,0.668,0.676
2,y1,0.678,0.6,0.699,0.596,0.7,0.738,0.739,0.536,0.636,0.564,0.766,0.557,0.711,1.0,0.771,0.744
