,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,1.0,0.21,-0.003,-0.313,-0.079,-0.167,-0.094,0.514,0.416,0.313,-0.117,-0.451,-0.177,-0.809,-0.669,-0.637
2,A1_1,0.21,1.0,0.879,0.78,-0.326,-0.322,-0.375,0.241,-0.137,-0.353,-0.397,-0.397,-0.185,-0.316,-0.375,-0.284
2,A1_2,-0.003,0.879,1.0,0.66,-0.103,0.093,-0.148,0.02,-0.342,-0.376,-0.542,-0.504,-0.251,-0.191,-0.335,-0.245
2,A1_3,-0.313,0.78,0.66,1.0,-0.223,-0.323,-0.308,-0.073,-0.416,-0.695,-0.148,0.083,0.035,0.06,-0.038,0.034
2,B1_1,-0.079,-0.326,-0.103,-0.223,1.0,0.662,0.959,-0.215,-0.163,-0.302,-0.198,-0.351,-0.414,0.075,-0.089,-0.2
2,B1_2,-0.167,-0.322,0.093,-0.323,0.662,1.0,0.605,-0.581,-0.586,-0.266,-0.032,-0.174,0.063,-0.108,-0.239,-0.267
2,B1_3,-0.094,-0.375,-0.148,-0.308,0.959,0.605,1.0,-0.249,-0.014,-0.183,-0.15,-0.357,-0.432,0.134,-0.073,-0.228
2,A2_1,0.514,0.241,0.02,-0.073,-0.215,-0.581,-0.249,1.0,0.742,0.575,-0.586,-0.492,-0.653,-0.02,0.16,0.24
2,A2_2,0.416,-0.137,-0.342,-0.416,-0.163,-0.586,-0.014,0.742,1.0,0.79,-0.235,-0.329,-0.53,0.143,0.233,0.168
2,A2_3,0.313,-0.353,-0.376,-0.695,-0.302,-0.266,-0.183,0.575,0.79,1.0,-0.151,-0.249,-0.27,0.17,0.334,0.318
2,B2_1,-0.117,-0.397,-0.542,-0.148,-0.198,-0.032,-0.15,-0.586,-0.235,-0.151,1.0,0.69,0.87,-0.08,-0.02,-0.132
2,B2_2,-0.451,-0.397,-0.504,0.083,-0.351,-0.174,-0.357,-0.492,-0.329,-0.249,0.69,1.0,0.753,0.166,0.227,0.252
2,B2_3,-0.177,-0.185,-0.251,0.035,-0.414,0.063,-0.432,-0.653,-0.53,-0.27,0.87,0.753,1.0,-0.201,-0.121,-0.121
