,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,0.087,0.026,0.021,0.038,0.021,0.031,0.031,0.029,0.029,0.049,0.035,0.034,0.034,0.196,0.204,0.135
2,A1_1,0.213,0.019,0.021,0.023,0.035,0.101,0.174,0.02,0.022,0.024,0.037,0.019,0.017,0.081,0.066,0.127
2,A1_2,0.136,0.018,0.012,0.019,0.062,0.067,0.117,0.016,0.02,0.016,0.044,0.068,0.096,0.077,0.156,0.077
2,A1_3,0.381,0.019,0.018,0.016,0.046,0.064,0.121,0.023,0.025,0.024,0.03,0.029,0.036,0.05,0.049,0.067
2,B1_1,0.226,0.046,0.104,0.08,0.008,0.012,0.01,0.026,0.036,0.177,0.022,0.011,0.013,0.114,0.04,0.078
2,B1_2,0.513,0.033,0.046,0.031,0.01,0.01,0.009,0.023,0.027,0.128,0.015,0.013,0.016,0.061,0.025,0.04
2,B1_3,0.297,0.043,0.046,0.041,0.019,0.021,0.02,0.019,0.03,0.104,0.031,0.026,0.038,0.118,0.076,0.072
2,A2_1,0.134,0.018,0.01,0.014,0.053,0.026,0.038,0.011,0.02,0.024,0.035,0.106,0.228,0.071,0.173,0.04
2,A2_2,0.276,0.019,0.013,0.013,0.064,0.047,0.083,0.013,0.02,0.022,0.037,0.073,0.127,0.053,0.095,0.045
2,A2_3,0.255,0.014,0.012,0.01,0.059,0.097,0.224,0.014,0.02,0.014,0.033,0.03,0.041,0.047,0.059,0.072
2,B2_1,0.233,0.031,0.066,0.045,0.007,0.01,0.008,0.044,0.054,0.212,0.016,0.01,0.011,0.129,0.041,0.084
2,B2_2,0.384,0.027,0.035,0.031,0.011,0.011,0.011,0.071,0.049,0.124,0.015,0.015,0.014,0.095,0.04,0.067
2,B2_3,0.455,0.014,0.02,0.02,0.015,0.012,0.016,0.176,0.059,0.056,0.009,0.016,0.011,0.047,0.024,0.05
2,y1,0.515,0.034,0.042,0.023,0.025,0.015,0.019,0.008,0.02,0.07,0.024,0.034,0.085,0.035,0.03,0.022
2,y2,0.473,0.026,0.032,0.021,0.037,0.028,0.045,0.015,0.027,0.047,0.027,0.036,0.072,0.041,0.038,0.036
2,y3,0.59,0.018,0.02,0.014,0.034,0.019,0.033,0.025,0.027,0.036,0.017,0.036,0.057,0.026,0.025,0.024
4,.,0.113,0.048,0.042,0.058,0.048,0.028,0.035,0.029,0.02,0.029,0.042,0.043,0.038,0.163,0.164,0.1
4,A1_1,0.133,0.014,0.007,0.011,0.118,0.141,0.191,0.009,0.011,0.008,0.077,0.04,0.019,0.12,0.058,0.043
4,A1_2,0.159,0.025,0.016,0.034,0.088,0.074,0.095,0.01,0.012,0.013,0.073,0.07,0.086,0.125,0.075,0.045
4,A1_3,0.132,0.017,0.01,0.019,0.125,0.116,0.12,0.012,0.013,0.012,0.077,0.06,0.05,0.103,0.088,0.044
4,B1_1,0.223,0.226,0.121,0.083,0.008,0.006,0.008,0.048,0.043,0.055,0.011,0.012,0.011,0.069,0.03,0.046
4,B1_2,0.132,0.547,0.109,0.049,0.004,0.004,0.005,0.01,0.011,0.043,0.006,0.005,0.003,0.041,0.011,0.02
4,B1_3,0.121,0.533,0.142,0.033,0.003,0.002,0.003,0.022,0.021,0.048,0.004,0.003,0.001,0.026,0.01,0.027
4,A2_1,0.109,0.011,0.016,0.028,0.028,0.019,0.028,0.01,0.013,0.008,0.037,0.057,0.529,0.034,0.039,0.031
4,A2_2,0.122,0.008,0.008,0.015,0.037,0.034,0.056,0.006,0.01,0.005,0.049,0.06,0.509,0.03,0.027,0.022
4,A2_3,0.178,0.013,0.008,0.017,0.08,0.094,0.141,0.008,0.012,0.008,0.081,0.069,0.137,0.081,0.042,0.031
4,B2_1,0.249,0.146,0.103,0.082,0.007,0.005,0.008,0.07,0.061,0.053,0.012,0.012,0.014,0.089,0.032,0.057
4,B2_2,0.194,0.057,0.054,0.074,0.021,0.015,0.014,0.117,0.068,0.049,0.02,0.022,0.015,0.12,0.095,0.064
4,B2_3,0.198,0.016,0.028,0.05,0.026,0.02,0.021,0.156,0.092,0.027,0.027,0.029,0.031,0.109,0.099,0.07
4,y1,0.378,0.054,0.043,0.039,0.02,0.021,0.019,0.11,0.113,0.037,0.019,0.018,0.027,0.042,0.026,0.034
4,y2,0.445,0.025,0.017,0.019,0.037,0.054,0.054,0.052,0.081,0.018,0.035,0.029,0.063,0.032,0.017,0.022
4,y3,0.4,0.026,0.013,0.018,0.05,0.071,0.08,0.018,0.036,0.013,0.048,0.042,0.12,0.033,0.015,0.017
6,.,0.066,0.032,0.035,0.018,0.027,0.016,0.017,0.027,0.022,0.037,0.019,0.018,0.025,0.144,0.256,0.24
6,A1_1,0.187,0.009,0.017,0.012,0.072,0.113,0.178,0.015,0.023,0.007,0.062,0.05,0.018,0.073,0.064,0.098
6,A1_2,0.126,0.011,0.01,0.008,0.142,0.054,0.077,0.013,0.01,0.008,0.191,0.098,0.086,0.052,0.053,0.062
6,A1_3,0.24,0.021,0.005,0.009,0.118,0.113,0.079,0.007,0.007,0.034,0.04,0.079,0.03,0.059,0.094,0.064
6,B1_1,0.251,0.109,0.16,0.075,0.014,0.01,0.01,0.051,0.075,0.072,0.009,0.012,0.018,0.038,0.047,0.049
6,B1_2,0.23,0.144,0.052,0.042,0.03,0.018,0.012,0.018,0.024,0.139,0.009,0.018,0.021,0.059,0.112,0.073
6,B1_3,0.279,0.188,0.068,0.056,0.019,0.011,0.007,0.02,0.026,0.171,0.006,0.013,0.016,0.03,0.055,0.035
6,A2_1,0.15,0.013,0.012,0.01,0.116,0.039,0.044,0.018,0.011,0.014,0.169,0.112,0.16,0.042,0.045,0.044
6,A2_2,0.198,0.011,0.015,0.012,0.095,0.046,0.052,0.022,0.017,0.011,0.174,0.111,0.14,0.033,0.029,0.033
6,A2_3,0.225,0.013,0.007,0.01,0.116,0.111,0.103,0.011,0.01,0.014,0.081,0.101,0.043,0.05,0.054,0.051
6,B2_1,0.124,0.054,0.244,0.053,0.01,0.009,0.015,0.054,0.113,0.029,0.01,0.007,0.014,0.07,0.076,0.119
6,B2_2,0.28,0.081,0.068,0.041,0.02,0.016,0.011,0.04,0.042,0.148,0.009,0.018,0.026,0.048,0.088,0.064
6,B2_3,0.111,0.026,0.145,0.038,0.011,0.015,0.022,0.07,0.109,0.021,0.014,0.01,0.014,0.103,0.111,0.179
6,y1,0.438,0.032,0.019,0.02,0.072,0.051,0.041,0.018,0.017,0.045,0.042,0.069,0.062,0.023,0.027,0.022
6,y2,0.433,0.028,0.036,0.027,0.053,0.054,0.056,0.023,0.036,0.027,0.043,0.051,0.046,0.029,0.027,0.03
6,y3,0.395,0.033,0.058,0.032,0.054,0.03,0.038,0.036,0.042,0.027,0.062,0.051,0.075,0.023,0.02,0.025
8,.,0.073,0.01,0.015,0.029,0.028,0.027,0.013,0.043,0.045,0.035,0.011,0.015,0.012,0.242,0.149,0.25
8,A1_1,0.365,0.019,0.01,0.01,0.037,0.059,0.055,0.009,0.013,0.014,0.032,0.059,0.015,0.114,0.107,0.082
8,A1_2,0.345,0.018,0.015,0.013,0.118,0.045,0.052,0.01,0.01,0.012,0.061,0.062,0.058,0.068,0.056,0.058
8,A1_3,0.278,0.007,0.007,0.008,0.114,0.082,0.05,0.013,0.013,0.01,0.042,0.072,0.04,0.128,0.051,0.085
8,B1_1,0.089,0.017,0.048,0.098,0.008,0.007,0.006,0.332,0.147,0.071,0.007,0.006,0.008,0.048,0.048,0.061
8,B1_2,0.358,0.088,0.046,0.092,0.022,0.015,0.01,0.013,0.042,0.098,0.022,0.012,0.011,0.047,0.074,0.05
8,B1_3,0.227,0.059,0.058,0.101,0.015,0.013,0.007,0.037,0.087,0.131,0.014,0.011,0.01,0.071,0.082,0.076
8,A2_1,0.402,0.027,0.021,0.011,0.08,0.021,0.034,0.02,0.009,0.011,0.054,0.08,0.116,0.041,0.041,0.033
8,A2_2,0.337,0.012,0.012,0.01,0.128,0.033,0.035,0.018,0.009,0.01,0.048,0.078,0.111,0.068,0.04,0.05
8,A2_3,0.441,0.018,0.011,0.01,0.07,0.053,0.046,0.008,0.01,0.012,0.046,0.07,0.033,0.071,0.052,0.049
8,B2_1,0.273,0.039,0.047,0.092,0.015,0.019,0.009,0.037,0.111,0.132,0.014,0.012,0.007,0.067,0.06,0.065
8,B2_2,0.097,0.023,0.074,0.193,0.008,0.009,0.006,0.093,0.221,0.146,0.009,0.003,0.003,0.032,0.034,0.049
8,B2_3,0.094,0.009,0.05,0.071,0.015,0.015,0.013,0.301,0.186,0.056,0.012,0.009,0.011,0.055,0.034,0.069
8,y1,0.521,0.024,0.031,0.039,0.037,0.026,0.035,0.059,0.039,0.026,0.039,0.03,0.024,0.025,0.023,0.022
8,y2,0.565,0.02,0.025,0.033,0.033,0.028,0.048,0.05,0.034,0.02,0.041,0.029,0.018,0.019,0.019,0.017
8,y3,0.448,0.018,0.039,0.042,0.036,0.025,0.054,0.113,0.052,0.022,0.045,0.027,0.024,0.019,0.019,0.019
10,.,0.113,0.065,0.057,0.139,0.051,0.022,0.031,0.05,0.099,0.045,0.023,0.017,0.017,0.124,0.086,0.063
10,A1_1,0.221,0.015,0.008,0.012,0.112,0.174,0.102,0.011,0.019,0.018,0.065,0.042,0.006,0.07,0.06,0.064
10,A1_2,0.162,0.02,0.019,0.016,0.146,0.042,0.043,0.019,0.016,0.015,0.064,0.164,0.048,0.107,0.058,0.062
10,A1_3,0.11,0.01,0.011,0.004,0.117,0.062,0.036,0.012,0.008,0.007,0.077,0.288,0.036,0.103,0.059,0.061
10,B1_1,0.089,0.112,0.082,0.2,0.014,0.007,0.009,0.062,0.081,0.086,0.012,0.009,0.017,0.093,0.076,0.051
10,B1_2,0.177,0.115,0.035,0.269,0.02,0.012,0.012,0.021,0.039,0.147,0.012,0.005,0.01,0.045,0.046,0.036
10,B1_3,0.084,0.338,0.056,0.152,0.009,0.006,0.006,0.014,0.019,0.147,0.005,0.004,0.008,0.061,0.065,0.027
10,A2_1,0.114,0.018,0.02,0.025,0.187,0.025,0.031,0.017,0.016,0.013,0.055,0.198,0.082,0.097,0.049,0.052
10,A2_2,0.125,0.012,0.015,0.012,0.16,0.029,0.03,0.013,0.01,0.01,0.056,0.246,0.073,0.104,0.047,0.059
10,A2_3,0.107,0.004,0.006,0.006,0.094,0.061,0.035,0.011,0.013,0.007,0.053,0.185,0.033,0.118,0.07,0.197
10,B2_1,0.118,0.168,0.108,0.076,0.022,0.009,0.015,0.039,0.054,0.041,0.01,0.014,0.015,0.18,0.079,0.052
10,B2_2,0.168,0.075,0.065,0.125,0.025,0.015,0.02,0.064,0.095,0.06,0.02,0.012,0.014,0.108,0.07,0.063
10,B2_3,0.102,0.027,0.068,0.046,0.015,0.009,0.014,0.132,0.145,0.02,0.018,0.022,0.019,0.166,0.073,0.125
10,y1,0.293,0.03,0.021,0.029,0.129,0.035,0.047,0.032,0.025,0.026,0.078,0.092,0.038,0.051,0.034,0.041
10,y2,0.307,0.045,0.036,0.029,0.06,0.036,0.038,0.087,0.045,0.038,0.103,0.054,0.021,0.04,0.034,0.025
10,y3,0.255,0.019,0.026,0.019,0.078,0.03,0.032,0.07,0.034,0.022,0.108,0.129,0.045,0.053,0.035,0.046
