,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,1.0,-0.078,-0.091,-0.296,0.091,0.236,0.383,0.523,0.173,0.067,0.075,0.256,-0.363,-0.88,-0.849,-0.868
2,A1_1,-0.078,1.0,0.736,0.655,-0.779,-0.537,-0.619,0.028,0.429,0.614,-0.219,-0.816,-0.311,-0.08,-0.35,0.172
2,A1_2,-0.091,0.736,1.0,0.548,-0.758,-0.492,-0.556,0.114,0.676,0.914,-0.211,-0.736,-0.623,0.075,-0.24,0.125
2,A1_3,-0.296,0.655,0.548,1.0,-0.717,-0.646,-0.91,0.318,0.187,0.535,-0.568,-0.921,-0.436,0.426,-0.012,0.308
2,B1_1,0.091,-0.779,-0.758,-0.717,1.0,0.405,0.721,-0.155,-0.378,-0.749,-0.015,0.817,0.395,0.02,0.247,0.048
2,B1_2,0.236,-0.537,-0.492,-0.646,0.405,1.0,0.646,-0.012,-0.221,-0.371,0.323,0.527,0.155,-0.357,0.114,-0.246
2,B1_3,0.383,-0.619,-0.556,-0.91,0.721,0.646,1.0,-0.085,0.022,-0.429,0.304,0.85,0.23,-0.446,-0.158,-0.241
2,A2_1,0.523,0.028,0.114,0.318,-0.155,-0.012,-0.085,1.0,0.479,0.248,-0.477,-0.324,-0.792,-0.191,-0.581,-0.396
2,A2_2,0.173,0.429,0.676,0.187,-0.378,-0.221,0.022,0.479,1.0,0.698,-0.285,-0.412,-0.76,-0.113,-0.529,0.021
2,A2_3,0.067,0.614,0.914,0.535,-0.749,-0.371,-0.429,0.248,0.698,1.0,-0.282,-0.659,-0.726,-0.03,-0.352,0.024
2,B2_1,0.075,-0.219,-0.211,-0.568,-0.015,0.323,0.304,-0.477,-0.285,-0.282,1.0,0.486,0.577,-0.385,0.053,-0.445
2,B2_2,0.256,-0.816,-0.736,-0.921,0.817,0.527,0.85,-0.324,-0.412,-0.659,0.486,1.0,0.55,-0.293,0.112,-0.288
2,B2_3,-0.363,-0.311,-0.623,-0.436,0.395,0.155,0.23,-0.792,-0.76,-0.726,0.577,0.55,1.0,0.089,0.519,0.162
2,y1,-0.88,-0.08,0.075,0.426,0.02,-0.357,-0.446,-0.191,-0.113,-0.03,-0.385,-0.293,0.089,1.0,0.786,0.81
2,y2,-0.849,-0.35,-0.24,-0.012,0.247,0.114,-0.158,-0.581,-0.529,-0.352,0.053,0.112,0.519,0.786,1.0,0.668
2,y3,-0.868,0.172,0.125,0.308,0.048,-0.246,-0.241,-0.396,0.021,0.024,-0.445,-0.288,0.162,0.81,0.668,1.0
4,.,1.0,-0.04,0.377,-0.251,-0.176,-0.052,-0.162,0.108,-0.085,-0.189,-0.181,-0.17,-0.009,-0.602,-0.661,-0.643
