,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,1.0,-0.273,-0.153,-0.604,0.031,-0.369,-0.141,0.165,0.683,-0.38,0.293,0.133,-0.608,-0.81,-0.731,-0.57
2,A1_1,-0.273,1.0,0.779,0.811,-0.401,-0.329,-0.195,-0.162,-0.436,0.116,-0.338,-0.547,-0.145,0.16,-0.056,-0.358
2,A1_2,-0.153,0.779,1.0,0.786,-0.547,-0.423,-0.466,-0.018,-0.272,-0.041,-0.301,-0.358,0.075,0.079,-0.116,-0.468
2,A1_3,-0.604,0.811,0.786,1.0,-0.188,0.041,-0.037,-0.161,-0.498,0.198,-0.641,-0.625,0.09,0.392,0.399,-0.232
2,B1_1,0.031,-0.401,-0.547,-0.188,1.0,0.589,0.937,-0.276,0.042,-0.144,-0.422,-0.416,-0.436,-0.384,0.376,-0.161
2,B1_2,-0.369,-0.329,-0.423,0.041,0.589,1.0,0.652,-0.507,-0.24,-0.216,-0.208,-0.014,0.172,0.285,0.786,0.201
2,B1_3,-0.141,-0.195,-0.466,-0.037,0.937,0.652,1.0,-0.539,-0.27,-0.249,-0.36,-0.43,-0.321,-0.274,0.486,-0.126
2,A2_1,0.165,-0.162,-0.018,-0.161,-0.276,-0.507,-0.539,1.0,0.725,0.774,-0.15,0.018,-0.173,0.122,-0.395,0.209
2,A2_2,0.683,-0.436,-0.272,-0.498,0.042,-0.24,-0.27,0.725,1.0,0.295,-0.073,0.045,-0.524,-0.355,-0.453,-0.194
2,A2_3,-0.38,0.116,-0.041,0.198,-0.144,-0.216,-0.249,0.774,0.295,1.0,-0.406,-0.245,-0.051,0.506,0.075,0.449
2,B2_1,0.293,-0.338,-0.301,-0.641,-0.422,-0.208,-0.36,-0.15,-0.073,-0.406,1.0,0.901,0.428,-0.01,-0.442,0.373
2,B2_2,0.133,-0.547,-0.358,-0.625,-0.416,-0.014,-0.43,0.018,0.045,-0.245,0.901,1.0,0.626,0.232,-0.219,0.568
2,B2_3,-0.608,-0.145,0.075,0.09,-0.436,0.172,-0.321,-0.173,-0.524,-0.051,0.428,0.626,1.0,0.679,0.387,0.671
2,y1,-0.81,0.16,0.079,0.392,-0.384,0.285,-0.274,0.122,-0.355,0.506,-0.01,0.232,0.679,1.0,0.496,0.747
2,y2,-0.731,-0.056,-0.116,0.399,0.376,0.786,0.486,-0.395,-0.453,0.075,-0.442,-0.219,0.387,0.496,1.0,0.279
2,y3,-0.57,-0.358,-0.468,-0.232,-0.161,0.201,-0.126,0.209,-0.194,0.449,0.373,0.568,0.671,0.747,0.279,1.0
4,.,1.0,0.606,-0.073,-0.709,-0.414,-0.106,-0.5,-0.295,0.376,0.555,0.094,-0.518,0.597,-0.688,-0.348,-0.628
4,A1_1,0.606,1.0,0.547,0.058,-0.183,0.152,-0.267,-0.634,0.08,-0.095,0.036,-0.511,0.404,-0.369,-0.423,-0.313
4,A1_2,-0.073,0.547,1.0,0.677,-0.174,-0.09,-0.297,-0.605,-0.525,-0.424,-0.069,0.164,0.017,-0.032,-0.289,-0.086
4,A1_3,-0.709,0.058,0.677,1.0,0.238,0.236,0.21,-0.095,-0.541,-0.773,-0.083,0.215,-0.321,0.466,0.094,0.482
4,B1_1,-0.414,-0.183,-0.174,0.238,1.0,0.751,0.943,-0.156,-0.356,-0.706,-0.072,-0.172,-0.739,0.441,-0.214,-0.089
4,B1_2,-0.106,0.152,-0.09,0.236,0.751,1.0,0.591,0.057,-0.039,-0.565,-0.294,-0.715,-0.464,0.433,-0.054,0.08
4,B1_3,-0.5,-0.267,-0.297,0.21,0.943,0.591,1.0,-0.08,-0.278,-0.659,0.115,-0.034,-0.634,0.396,-0.1,0.033
4,A2_1,-0.295,-0.634,-0.605,-0.095,-0.156,0.057,-0.08,1.0,0.429,0.297,-0.122,-0.091,0.068,0.313,0.717,0.67
4,A2_2,0.376,0.08,-0.525,-0.541,-0.356,-0.039,-0.278,0.429,1.0,0.717,-0.341,-0.431,0.227,0.148,0.463,0.348
4,A2_3,0.555,-0.095,-0.424,-0.773,-0.706,-0.565,-0.659,0.297,0.717,1.0,-0.155,-0.004,0.425,-0.271,0.256,-0.067
