,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,0.06,0.02,0.028,0.052,0.022,0.01,0.034,0.031,0.018,0.042,0.083,0.057,0.037,0.27,0.168,0.067
2,A1_1,0.182,0.005,0.005,0.005,0.068,0.39,0.077,0.01,0.023,0.029,0.015,0.031,0.012,0.027,0.092,0.028
2,A1_2,0.189,0.008,0.021,0.014,0.322,0.113,0.127,0.006,0.011,0.021,0.006,0.012,0.009,0.054,0.065,0.023
2,A1_3,0.188,0.014,0.02,0.021,0.177,0.096,0.1,0.017,0.02,0.046,0.014,0.029,0.017,0.097,0.106,0.038
2,B1_1,0.161,0.137,0.061,0.214,0.032,0.01,0.038,0.012,0.007,0.013,0.07,0.014,0.026,0.106,0.052,0.046
2,B1_2,0.35,0.095,0.046,0.128,0.034,0.014,0.025,0.05,0.015,0.011,0.025,0.013,0.026,0.076,0.034,0.059
2,B1_3,0.26,0.092,0.047,0.133,0.041,0.012,0.028,0.064,0.015,0.02,0.022,0.013,0.023,0.128,0.046,0.055
2,A2_1,0.14,0.011,0.017,0.018,0.027,0.046,0.029,0.017,0.025,0.028,0.099,0.216,0.086,0.053,0.088,0.099
2,A2_2,0.042,0.011,0.008,0.014,0.003,0.011,0.012,0.002,0.012,0.014,0.545,0.127,0.077,0.017,0.063,0.041
2,A2_3,0.133,0.034,0.029,0.056,0.023,0.027,0.041,0.018,0.021,0.033,0.151,0.071,0.055,0.107,0.127,0.075
2,B2_1,0.139,0.008,0.005,0.007,0.021,0.037,0.028,0.09,0.103,0.23,0.026,0.04,0.024,0.071,0.143,0.027
2,B2_2,0.323,0.033,0.019,0.024,0.042,0.042,0.029,0.061,0.045,0.136,0.023,0.039,0.032,0.049,0.065,0.037
2,B2_3,0.101,0.013,0.004,0.013,0.005,0.004,0.004,0.634,0.043,0.035,0.003,0.004,0.006,0.084,0.029,0.019
2,y1,0.531,0.018,0.009,0.01,0.063,0.14,0.039,0.022,0.034,0.037,0.008,0.011,0.012,0.013,0.032,0.019
2,y2,0.35,0.023,0.011,0.014,0.053,0.135,0.041,0.021,0.036,0.091,0.028,0.05,0.031,0.023,0.059,0.033
2,y3,0.174,0.066,0.029,0.071,0.027,0.014,0.024,0.044,0.027,0.095,0.07,0.066,0.057,0.101,0.076,0.057
4,.,0.061,0.014,0.009,0.015,0.02,0.016,0.052,0.023,0.02,0.036,0.007,0.021,0.016,0.402,0.109,0.179
4,A1_1,0.017,0.008,0.003,0.013,0.173,0.023,0.314,0.02,0.029,0.031,0.015,0.015,0.01,0.227,0.034,0.069
4,A1_2,0.057,0.015,0.009,0.023,0.166,0.049,0.236,0.013,0.018,0.021,0.032,0.023,0.022,0.184,0.048,0.084
4,A1_3,0.152,0.029,0.021,0.033,0.13,0.069,0.114,0.017,0.018,0.021,0.038,0.024,0.027,0.157,0.063,0.087
4,B1_1,0.536,0.119,0.059,0.052,0.007,0.012,0.005,0.018,0.015,0.012,0.016,0.006,0.012,0.032,0.053,0.045
4,B1_2,0.217,0.273,0.082,0.079,0.019,0.013,0.022,0.03,0.018,0.017,0.015,0.006,0.009,0.059,0.071,0.07
4,B1_3,0.495,0.128,0.077,0.059,0.013,0.018,0.009,0.013,0.011,0.009,0.019,0.007,0.013,0.036,0.048,0.045
4,A2_1,0.097,0.017,0.01,0.02,0.069,0.051,0.115,0.013,0.018,0.03,0.044,0.035,0.049,0.216,0.09,0.127
4,A2_2,0.251,0.021,0.013,0.021,0.024,0.042,0.024,0.011,0.028,0.032,0.094,0.026,0.093,0.123,0.103,0.094
