,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,1.0,0.083,-0.318,-0.245,0.473,0.342,0.04,0.416,0.3,0.144,-0.276,-0.225,-0.118,-0.228,-0.513,-0.61
2,A1_1,0.083,1.0,0.555,0.068,-0.112,-0.248,-0.685,-0.217,-0.346,-0.187,0.253,0.131,-0.179,-0.256,-0.375,-0.051
2,A1_2,-0.318,0.555,1.0,0.748,-0.102,-0.162,-0.03,-0.455,-0.524,-0.609,0.103,-0.238,-0.34,-0.505,-0.445,-0.305
2,A1_3,-0.245,0.068,0.748,1.0,-0.38,0.1,0.165,-0.496,-0.054,-0.447,0.165,-0.304,-0.152,-0.593,-0.434,-0.524
2,B1_1,0.473,-0.112,-0.102,-0.38,1.0,0.27,0.611,0.343,-0.459,-0.328,-0.436,-0.155,-0.126,-0.082,-0.253,-0.188
2,B1_2,0.342,-0.248,-0.162,0.1,0.27,1.0,0.44,-0.425,-0.075,-0.373,0.476,0.451,0.723,-0.682,-0.583,-0.347
2,B1_3,0.04,-0.685,-0.03,0.165,0.611,0.44,1.0,0.009,-0.261,-0.463,-0.311,-0.197,0.067,-0.222,-0.13,-0.223
2,A2_1,0.416,-0.217,-0.455,-0.496,0.343,-0.425,0.009,1.0,0.24,0.683,-0.591,-0.616,-0.548,0.717,0.445,-0.15
2,A2_2,0.3,-0.346,-0.524,-0.054,-0.459,-0.075,-0.261,0.24,1.0,0.637,-0.237,-0.209,-0.11,0.205,0.106,-0.137
2,A2_3,0.144,-0.187,-0.609,-0.447,-0.328,-0.373,-0.463,0.683,0.637,1.0,-0.112,-0.249,-0.189,0.741,0.579,0.071
2,B2_1,-0.276,0.253,0.103,0.165,-0.436,0.476,-0.311,-0.591,-0.237,-0.112,1.0,0.706,0.78,-0.347,-0.118,0.104
2,B2_2,-0.225,0.131,-0.238,-0.304,-0.155,0.451,-0.197,-0.616,-0.209,-0.249,0.706,1.0,0.885,-0.226,-0.015,0.574
2,B2_3,-0.118,-0.179,-0.34,-0.152,-0.126,0.723,0.067,-0.548,-0.11,-0.189,0.78,0.885,1.0,-0.312,-0.064,0.294
2,y1,-0.228,-0.256,-0.505,-0.593,-0.082,-0.682,-0.222,0.717,0.205,0.741,-0.347,-0.226,-0.312,1.0,0.917,0.508
2,y2,-0.513,-0.375,-0.445,-0.434,-0.253,-0.583,-0.13,0.445,0.106,0.579,-0.118,-0.015,-0.064,0.917,1.0,0.664
2,y3,-0.61,-0.051,-0.305,-0.524,-0.188,-0.347,-0.223,-0.15,-0.137,0.071,0.104,0.574,0.294,0.508,0.664,1.0
4,.,1.0,0.104,-0.409,-0.39,-0.072,0.619,-0.232,-0.465,0.505,0.099,0.013,-0.741,-0.471,-0.267,-0.364,-0.374
4,A1_1,0.104,1.0,0.543,0.641,0.026,-0.154,-0.16,-0.402,-0.382,-0.806,0.066,0.002,-0.034,-0.315,0.094,-0.514
4,A1_2,-0.409,0.543,1.0,0.98,0.235,-0.577,0.082,0.068,-0.17,-0.389,-0.287,-0.091,-0.303,-0.611,0.061,-0.55
4,A1_3,-0.39,0.641,0.98,1.0,0.195,-0.529,0.032,-0.076,-0.246,-0.44,-0.252,-0.051,-0.249,-0.533,0.107,-0.52
4,B1_1,-0.072,0.026,0.235,0.195,1.0,0.177,0.864,-0.197,-0.438,-0.091,-0.684,-0.087,-0.557,0.161,-0.104,-0.216
4,B1_2,0.619,-0.154,-0.577,-0.529,0.177,1.0,0.1,-0.71,-0.045,-0.011,0.246,-0.259,-0.103,0.264,-0.359,-0.137
4,B1_3,-0.232,-0.16,0.082,0.032,0.864,0.1,1.0,0.015,-0.522,0.009,-0.499,0.069,-0.308,0.301,0.327,0.183
