,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,0.098,0.084,0.044,0.048,0.017,0.021,0.025,0.027,0.029,0.041,0.03,0.034,0.021,0.146,0.139,0.196
1,A1_1,0.196,0.01,0.009,0.012,0.105,0.195,0.303,0.008,0.01,0.015,0.006,0.005,0.007,0.04,0.024,0.054
1,A1_2,0.389,0.018,0.015,0.016,0.137,0.084,0.111,0.034,0.051,0.022,0.022,0.015,0.015,0.02,0.018,0.033
1,A1_3,0.348,0.01,0.014,0.012,0.114,0.109,0.107,0.041,0.059,0.03,0.02,0.016,0.019,0.034,0.028,0.041
1,B1_1,0.196,0.034,0.421,0.133,0.009,0.008,0.009,0.016,0.014,0.009,0.058,0.013,0.011,0.024,0.021,0.026
1,B1_2,0.143,0.079,0.106,0.112,0.017,0.027,0.04,0.017,0.018,0.027,0.033,0.017,0.016,0.112,0.096,0.141
1,B1_3,0.151,0.13,0.119,0.1,0.026,0.026,0.043,0.015,0.016,0.022,0.027,0.016,0.011,0.08,0.066,0.153
1,A2_1,0.282,0.014,0.024,0.015,0.024,0.025,0.013,0.035,0.017,0.014,0.123,0.141,0.151,0.049,0.053,0.02
1,A2_2,0.132,0.008,0.017,0.011,0.006,0.01,0.004,0.028,0.012,0.013,0.144,0.191,0.254,0.073,0.081,0.017
1,A2_3,0.322,0.02,0.067,0.029,0.019,0.012,0.007,0.051,0.035,0.015,0.156,0.098,0.09,0.028,0.034,0.017
1,B2_1,0.079,0.023,0.012,0.017,0.025,0.026,0.027,0.067,0.257,0.097,0.011,0.011,0.009,0.086,0.077,0.176
1,B2_2,0.19,0.012,0.023,0.015,0.029,0.018,0.012,0.156,0.228,0.065,0.039,0.037,0.027,0.045,0.055,0.049
1,B2_3,0.061,0.003,0.008,0.005,0.009,0.003,0.002,0.101,0.742,0.032,0.008,0.003,0.003,0.004,0.005,0.01
1,y1,0.468,0.019,0.065,0.035,0.064,0.04,0.041,0.042,0.043,0.018,0.052,0.023,0.024,0.021,0.021,0.024
1,y2,0.354,0.034,0.042,0.04,0.041,0.032,0.032,0.047,0.06,0.027,0.076,0.043,0.05,0.039,0.043,0.04
1,y3,0.378,0.039,0.095,0.065,0.04,0.021,0.026,0.049,0.091,0.023,0.061,0.019,0.019,0.02,0.021,0.032
2,.,0.056,0.066,0.035,0.04,0.021,0.021,0.022,0.03,0.023,0.02,0.016,0.023,0.022,0.255,0.182,0.169
2,A1_1,0.081,0.006,0.006,0.014,0.068,0.127,0.403,0.01,0.009,0.007,0.012,0.005,0.007,0.084,0.097,0.063
2,A1_2,0.092,0.01,0.006,0.008,0.149,0.097,0.451,0.01,0.016,0.012,0.005,0.008,0.005,0.05,0.044,0.037
2,A1_3,0.119,0.007,0.008,0.01,0.125,0.119,0.355,0.016,0.021,0.017,0.008,0.009,0.007,0.068,0.06,0.05
2,B1_1,0.157,0.095,0.143,0.181,0.007,0.017,0.012,0.029,0.014,0.008,0.015,0.01,0.019,0.076,0.105,0.111
2,B1_2,0.274,0.112,0.085,0.155,0.012,0.023,0.023,0.027,0.026,0.015,0.022,0.017,0.021,0.051,0.067,0.073
2,B1_3,0.133,0.329,0.174,0.125,0.007,0.007,0.006,0.012,0.014,0.007,0.011,0.022,0.017,0.037,0.043,0.056
2,A2_1,0.173,0.02,0.024,0.023,0.024,0.026,0.019,0.028,0.008,0.027,0.122,0.197,0.093,0.075,0.073,0.069
2,A2_2,0.165,0.01,0.018,0.026,0.008,0.018,0.007,0.031,0.008,0.029,0.214,0.135,0.109,0.08,0.076,0.068
2,A2_3,0.081,0.008,0.007,0.007,0.011,0.011,0.007,0.005,0.001,0.01,0.256,0.417,0.114,0.021,0.024,0.02
2,B2_1,0.061,0.005,0.006,0.006,0.014,0.015,0.009,0.13,0.261,0.169,0.004,0.005,0.006,0.189,0.052,0.069
