,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,1.0,-0.459,-0.81,-0.821,0.111,0.547,0.639,-0.363,-0.052,-0.264,0.216,-0.186,-0.307,-0.8,-0.605,-0.45
1,A1_1,-0.459,1.0,0.647,0.755,-0.266,-0.044,-0.079,-0.385,-0.692,-0.631,-0.024,-0.387,-0.268,0.225,-0.237,-0.208
1,A1_2,-0.81,0.647,1.0,0.858,-0.398,-0.601,-0.513,0.148,-0.326,-0.062,-0.128,-0.007,0.136,0.582,0.405,0.216
1,A1_3,-0.821,0.755,0.858,1.0,-0.416,-0.577,-0.619,0.005,-0.329,-0.228,0.109,0.196,0.243,0.503,0.123,0.007
1,B1_1,0.111,-0.266,-0.398,-0.416,1.0,0.665,0.598,0.012,0.119,0.416,-0.44,-0.217,-0.094,0.425,0.158,0.581
1,B1_2,0.547,-0.044,-0.601,-0.577,0.665,1.0,0.844,-0.576,-0.328,-0.278,-0.118,-0.503,-0.353,-0.205,-0.28,0.113
1,B1_3,0.639,-0.079,-0.513,-0.619,0.598,0.844,1.0,-0.384,-0.275,-0.187,-0.293,-0.691,-0.569,-0.225,-0.321,0.012
1,A2_1,-0.363,-0.385,0.148,0.005,0.012,-0.576,-0.384,1.0,0.848,0.855,-0.581,0.182,-0.073,0.408,0.475,0.164
1,A2_2,-0.052,-0.692,-0.326,-0.329,0.119,-0.328,-0.275,0.848,1.0,0.824,-0.333,0.323,0.053,0.097,0.342,0.097
1,A2_3,-0.264,-0.631,-0.062,-0.228,0.416,-0.278,-0.187,0.855,0.824,1.0,-0.511,0.269,0.175,0.52,0.635,0.546
1,B2_1,0.216,-0.024,-0.128,0.109,-0.44,-0.118,-0.293,-0.581,-0.333,-0.511,1.0,0.509,0.655,-0.523,-0.31,-0.238
1,B2_2,-0.186,-0.387,-0.007,0.196,-0.217,-0.503,-0.691,0.182,0.323,0.269,0.509,1.0,0.793,0.083,0.134,0.06
