,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,1.0,0.068,-0.298,-0.04,0.254,0.479,0.351,-0.225,-0.655,-0.113,0.275,0.491,0.548,-0.901,-0.879,-0.648
1,A1_1,0.068,1.0,0.736,0.787,-0.112,-0.326,0.058,0.355,0.102,-0.016,-0.394,-0.411,0.181,-0.122,-0.075,-0.505
1,A1_2,-0.298,0.736,1.0,0.626,-0.172,-0.353,-0.119,0.075,0.157,-0.331,-0.671,-0.617,-0.177,0.091,0.238,-0.337
1,A1_3,-0.04,0.787,0.626,1.0,0.163,-0.411,0.137,0.114,0.191,0.126,-0.535,-0.416,-0.191,0.103,0.134,-0.258
1,B1_1,0.254,-0.112,-0.172,0.163,1.0,0.675,0.926,-0.379,-0.464,-0.331,-0.004,0.097,-0.133,-0.373,0.065,0.041
1,B1_2,0.479,-0.326,-0.353,-0.411,0.675,1.0,0.76,-0.577,-0.811,-0.639,0.43,0.555,0.442,-0.703,-0.362,-0.017
1,B1_3,0.351,0.058,-0.119,0.137,0.926,0.76,1.0,-0.349,-0.491,-0.407,0.016,0.122,0.128,-0.532,-0.029,-0.115
1,A2_1,-0.225,0.355,0.075,0.114,-0.379,-0.577,-0.349,1.0,0.551,0.609,-0.054,-0.517,-0.22,0.356,0.202,-0.134
1,A2_2,-0.655,0.102,0.157,0.191,-0.464,-0.811,-0.491,0.551,1.0,0.68,-0.467,-0.686,-0.538,0.791,0.715,0.146
1,A2_3,-0.113,-0.016,-0.331,0.126,-0.331,-0.639,-0.407,0.609,0.68,1.0,0.07,-0.238,-0.208,0.466,0.178,-0.0
1,B2_1,0.275,-0.394,-0.671,-0.535,-0.004,0.43,0.016,-0.054,-0.467,0.07,1.0,0.787,0.631,-0.203,-0.487,0.313
1,B2_2,0.491,-0.411,-0.617,-0.416,0.097,0.555,0.122,-0.517,-0.686,-0.238,0.787,1.0,0.664,-0.415,-0.674,0.266
1,B2_3,0.548,0.181,-0.177,-0.191,-0.133,0.442,0.128,-0.22,-0.538,-0.208,0.631,0.664,1.0,-0.595,-0.711,-0.251
1,y1,-0.901,-0.122,0.091,0.103,-0.373,-0.703,-0.532,0.356,0.791,0.466,-0.203,-0.415,-0.595,1.0,0.778,0.657
1,y2,-0.879,-0.075,0.238,0.134,0.065,-0.362,-0.029,0.202,0.715,0.178,-0.487,-0.674,-0.711,0.778,1.0,0.47
1,y3,-0.648,-0.505,-0.337,-0.258,0.041,-0.017,-0.115,-0.134,0.146,-0.0,0.313,0.266,-0.251,0.657,0.47,1.0
2,.,1.0,0.013,0.04,0.042,0.142,0.154,-0.274,0.233,0.224,-0.231,0.02,-0.174,-0.012,-0.493,-0.741,-0.602
2,A1_1,0.013,1.0,0.694,0.886,0.109,-0.458,-0.02,0.32,0.077,-0.119,-0.12,-0.085,-0.105,-0.61,-0.291,-0.089
2,A1_2,0.04,0.694,1.0,0.803,-0.19,-0.314,-0.304,0.395,0.171,-0.356,-0.448,-0.367,-0.43,-0.313,-0.007,0.055
2,A1_3,0.042,0.886,0.803,1.0,0.054,-0.567,-0.191,0.256,0.001,-0.255,-0.305,-0.256,-0.415,-0.405,-0.078,0.138
2,B1_1,0.142,0.109,-0.19,0.054,1.0,0.433,0.8,-0.272,-0.532,-0.072,0.103,-0.396,-0.146,-0.106,-0.351,-0.053
