,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,0.052,0.053,0.018,0.021,0.04,0.029,0.043,0.013,0.034,0.037,0.014,0.012,0.01,0.529,0.045,0.052
2,A1_1,0.316,0.044,0.031,0.026,0.021,0.115,0.03,0.034,0.035,0.017,0.026,0.032,0.04,0.136,0.04,0.058
2,A1_2,0.44,0.02,0.018,0.018,0.031,0.049,0.041,0.023,0.017,0.033,0.053,0.034,0.071,0.077,0.043,0.031
2,A1_3,0.505,0.018,0.014,0.017,0.014,0.041,0.014,0.011,0.004,0.016,0.023,0.026,0.209,0.039,0.029,0.021
2,B1_1,0.15,0.053,0.032,0.034,0.034,0.035,0.029,0.023,0.041,0.072,0.026,0.019,0.017,0.305,0.072,0.056
2,B1_2,0.09,0.113,0.031,0.034,0.019,0.04,0.032,0.015,0.025,0.039,0.011,0.012,0.017,0.426,0.041,0.054
2,B1_3,0.145,0.161,0.089,0.048,0.009,0.044,0.019,0.022,0.023,0.064,0.01,0.007,0.011,0.292,0.025,0.032
2,A2_1,0.147,0.005,0.002,0.002,0.024,0.011,0.02,0.007,0.008,0.005,0.081,0.099,0.06,0.012,0.484,0.034
2,A2_2,0.141,0.013,0.005,0.005,0.033,0.016,0.028,0.009,0.012,0.012,0.05,0.069,0.089,0.045,0.416,0.054
2,A2_3,0.518,0.02,0.02,0.017,0.028,0.036,0.022,0.02,0.011,0.036,0.075,0.033,0.035,0.056,0.05,0.021
2,B2_1,0.158,0.046,0.044,0.023,0.015,0.009,0.012,0.021,0.038,0.168,0.033,0.018,0.011,0.086,0.28,0.036
2,B2_2,0.53,0.036,0.052,0.041,0.007,0.032,0.011,0.028,0.017,0.087,0.026,0.014,0.026,0.048,0.028,0.02
2,B2_3,0.115,0.016,0.021,0.019,0.012,0.024,0.02,0.073,0.384,0.045,0.02,0.021,0.006,0.072,0.087,0.064
2,y1,0.353,0.082,0.062,0.054,0.01,0.048,0.019,0.029,0.022,0.074,0.018,0.012,0.026,0.137,0.023,0.029
2,y2,0.449,0.123,0.058,0.032,0.006,0.044,0.022,0.023,0.01,0.04,0.022,0.014,0.039,0.067,0.03,0.021
2,y3,0.632,0.031,0.043,0.029,0.004,0.053,0.009,0.033,0.015,0.024,0.015,0.013,0.044,0.026,0.012,0.016
4,.,0.199,0.037,0.037,0.037,0.052,0.033,0.075,0.049,0.039,0.04,0.029,0.037,0.025,0.119,0.114,0.079
4,A1_1,0.125,0.015,0.023,0.012,0.045,0.119,0.03,0.023,0.033,0.021,0.02,0.023,0.082,0.089,0.086,0.255
4,A1_2,0.342,0.027,0.008,0.024,0.111,0.027,0.108,0.019,0.009,0.012,0.051,0.067,0.021,0.055,0.088,0.032
4,A1_3,0.105,0.007,0.016,0.006,0.027,0.156,0.021,0.01,0.009,0.011,0.017,0.017,0.157,0.038,0.08,0.321
4,B1_1,0.234,0.051,0.062,0.054,0.013,0.01,0.045,0.082,0.09,0.183,0.01,0.014,0.01,0.056,0.045,0.04
4,B1_2,0.585,0.037,0.008,0.029,0.028,0.006,0.052,0.03,0.021,0.029,0.032,0.053,0.008,0.034,0.038,0.01
4,B1_3,0.148,0.038,0.103,0.044,0.017,0.017,0.032,0.075,0.101,0.097,0.017,0.021,0.023,0.106,0.094,0.067
4,A2_1,0.076,0.007,0.027,0.004,0.012,0.097,0.007,0.017,0.007,0.009,0.024,0.01,0.296,0.03,0.076,0.302
4,A2_2,0.189,0.016,0.018,0.011,0.058,0.064,0.023,0.025,0.01,0.007,0.075,0.054,0.122,0.075,0.147,0.103
4,A2_3,0.456,0.025,0.006,0.015,0.091,0.033,0.064,0.02,0.006,0.011,0.038,0.056,0.034,0.028,0.089,0.028
4,B2_1,0.134,0.043,0.035,0.031,0.013,0.013,0.013,0.089,0.327,0.165,0.005,0.009,0.007,0.059,0.023,0.034
4,B2_2,0.263,0.065,0.055,0.027,0.016,0.013,0.024,0.159,0.019,0.053,0.032,0.019,0.043,0.053,0.114,0.045
4,B2_3,0.037,0.029,0.014,0.016,0.023,0.015,0.003,0.074,0.601,0.043,0.005,0.007,0.004,0.096,0.012,0.021
