,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,1.0,-0.479,-0.708,-0.44,0.351,0.16,0.585,-0.395,0.022,-0.131,-0.246,0.769,0.458,-0.168,-0.592,-0.608
2,A1_1,-0.479,1.0,0.341,0.308,-0.575,0.174,0.075,0.47,-0.218,0.256,-0.052,-0.01,-0.254,0.124,-0.097,0.362
2,A1_2,-0.708,0.341,1.0,0.498,-0.701,-0.436,-0.461,0.652,-0.035,0.039,0.167,-0.727,-0.916,-0.16,0.287,0.447
2,A1_3,-0.44,0.308,0.498,1.0,-0.097,0.215,0.024,0.725,0.279,-0.351,-0.04,-0.363,-0.623,0.219,0.03,0.244
2,B1_1,0.351,-0.575,-0.701,-0.097,1.0,0.232,0.272,-0.505,0.357,-0.51,-0.052,0.151,0.616,0.242,0.185,-0.075
2,B1_2,0.16,0.174,-0.436,0.215,0.232,1.0,0.119,0.218,0.281,-0.133,-0.46,0.405,0.337,-0.013,-0.611,-0.218
2,B1_3,0.585,0.075,-0.461,0.024,0.272,0.119,1.0,-0.09,-0.313,-0.274,-0.002,0.71,0.202,0.404,-0.293,-0.191
2,A2_1,-0.395,0.47,0.652,0.725,-0.505,0.218,-0.09,1.0,0.162,-0.219,-0.052,-0.23,-0.755,-0.229,-0.284,0.049
2,A2_2,0.022,-0.218,-0.035,0.279,0.357,0.281,-0.313,0.162,1.0,-0.644,-0.667,-0.322,-0.099,-0.606,-0.224,0.149
2,A2_3,-0.131,0.256,0.039,-0.351,-0.51,-0.133,-0.274,-0.219,-0.644,1.0,0.46,0.155,0.222,0.254,0.102,-0.295
2,B2_1,-0.246,-0.052,0.167,-0.04,-0.052,-0.46,-0.002,-0.052,-0.667,0.46,1.0,-0.094,0.033,0.581,0.627,-0.198
2,B2_2,0.769,-0.01,-0.727,-0.363,0.151,0.405,0.71,-0.23,-0.322,0.155,-0.094,1.0,0.547,0.128,-0.632,-0.673
2,B2_3,0.458,-0.254,-0.916,-0.623,0.616,0.337,0.202,-0.755,-0.099,0.222,0.033,0.547,1.0,0.244,-0.032,-0.336
2,y1,-0.168,0.124,-0.16,0.219,0.242,-0.013,0.404,-0.229,-0.606,0.254,0.581,0.128,0.244,1.0,0.488,0.085
