,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,1.0,-0.663,-0.65,-0.706,0.052,0.406,0.262,0.09,0.059,-0.247,-0.082,-0.511,0.006,-0.11,-0.451,-0.144
2,A1_1,-0.663,1.0,0.378,0.818,-0.539,-0.155,-0.263,-0.38,0.089,0.331,0.066,0.416,0.062,0.276,0.623,0.279
2,A1_2,-0.65,0.378,1.0,0.67,-0.181,-0.593,0.248,-0.003,0.132,0.532,-0.446,0.293,-0.233,-0.313,0.162,0.271
2,A1_3,-0.706,0.818,0.67,1.0,-0.651,-0.485,-0.099,-0.179,0.298,0.629,-0.373,0.195,-0.327,-0.294,0.305,0.12
2,B1_1,0.052,-0.539,-0.181,-0.651,1.0,0.227,0.183,-0.019,-0.609,-0.684,0.504,0.305,0.579,0.352,-0.087,-0.115
2,B1_2,0.406,-0.155,-0.593,-0.485,0.227,1.0,0.378,-0.537,-0.258,-0.317,0.624,0.349,0.736,0.46,0.299,0.062
2,B1_3,0.262,-0.263,0.248,-0.099,0.183,0.378,1.0,-0.486,-0.014,0.014,-0.197,0.212,0.389,-0.284,0.087,0.228
2,A2_1,0.09,-0.38,-0.003,-0.179,-0.019,-0.537,-0.486,1.0,0.061,0.07,-0.318,-0.443,-0.648,-0.315,-0.552,-0.299
2,A2_2,0.059,0.089,0.132,0.298,-0.609,-0.258,-0.014,0.061,1.0,0.177,-0.654,-0.633,-0.632,-0.478,-0.05,0.127
2,A2_3,-0.247,0.331,0.532,0.629,-0.684,-0.317,0.014,0.07,0.177,1.0,-0.369,0.06,-0.479,-0.441,-0.113,-0.039
2,B2_1,-0.082,0.066,-0.446,-0.373,0.504,0.624,-0.197,-0.318,-0.654,-0.369,1.0,0.653,0.758,0.821,0.228,-0.198
2,B2_2,-0.511,0.416,0.293,0.195,0.305,0.349,0.212,-0.443,-0.633,0.06,0.653,1.0,0.729,0.525,0.437,0.027
2,B2_3,0.006,0.062,-0.233,-0.327,0.579,0.736,0.389,-0.648,-0.632,-0.479,0.758,0.729,1.0,0.689,0.477,0.169
2,y1,-0.11,0.276,-0.313,-0.294,0.352,0.46,-0.284,-0.315,-0.478,-0.441,0.821,0.525,0.689,1.0,0.52,0.252
