,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,1.0,-0.147,0.563,-0.483,0.013,-0.18,0.446,-0.361,-0.406,0.379,-0.318,0.227,-0.156,-0.77,-0.882,-0.889
1,A1_1,-0.147,1.0,0.559,0.647,-0.491,-0.815,-0.695,0.63,0.8,0.627,-0.581,-0.167,-0.632,0.128,0.507,0.342
1,A1_2,0.563,0.559,1.0,0.051,-0.376,-0.694,0.007,0.177,0.42,0.898,-0.83,-0.025,-0.731,-0.338,-0.219,-0.273
1,A1_3,-0.483,0.647,0.051,1.0,-0.464,-0.63,-0.808,0.697,0.702,0.142,-0.251,-0.292,-0.282,0.4,0.745,0.556
1,B1_1,0.013,-0.491,-0.376,-0.464,1.0,0.467,0.561,-0.9,-0.729,-0.657,0.766,0.853,0.851,0.249,-0.346,-0.001
1,B1_2,-0.18,-0.815,-0.694,-0.63,0.467,1.0,0.598,-0.486,-0.639,-0.687,0.602,0.049,0.554,0.129,-0.205,-0.071
1,B1_3,0.446,-0.695,0.007,-0.808,0.561,0.598,1.0,-0.736,-0.644,-0.164,0.162,0.469,0.3,-0.056,-0.632,-0.367
1,A2_1,-0.361,0.63,0.177,0.697,-0.9,-0.486,-0.736,1.0,0.876,0.507,-0.612,-0.733,-0.733,0.135,0.689,0.392
1,A2_2,-0.406,0.8,0.42,0.702,-0.729,-0.639,-0.644,0.876,1.0,0.657,-0.693,-0.494,-0.779,0.335,0.757,0.582
1,A2_3,0.379,0.627,0.898,0.142,-0.657,-0.687,-0.164,0.507,0.657,1.0,-0.943,-0.289,-0.917,-0.272,0.018,-0.109
1,B2_1,-0.318,-0.581,-0.83,-0.251,0.766,0.602,0.162,-0.612,-0.693,-0.943,1.0,0.443,0.967,0.199,-0.104,0.085
1,B2_2,0.227,-0.167,-0.025,-0.292,0.853,0.049,0.469,-0.733,-0.494,-0.289,0.443,1.0,0.59,0.233,-0.341,-0.002
1,B2_3,-0.156,-0.632,-0.731,-0.282,0.851,0.554,0.3,-0.733,-0.779,-0.917,0.967,0.59,1.0,0.17,-0.239,-0.012
1,y1,-0.77,0.128,-0.338,0.4,0.249,0.129,-0.056,0.135,0.335,-0.272,0.199,0.233,0.17,1.0,0.748,0.918
1,y2,-0.882,0.507,-0.219,0.745,-0.346,-0.205,-0.632,0.689,0.757,0.018,-0.104,-0.341,-0.239,0.748,1.0,0.914
1,y3,-0.889,0.342,-0.273,0.556,-0.001,-0.071,-0.367,0.392,0.582,-0.109,0.085,-0.002,-0.012,0.918,0.914,1.0
2,.,1.0,-0.199,0.363,0.072,-0.18,-0.359,-0.016,-0.037,0.264,0.191,-0.677,-0.274,0.009,-0.768,-0.832,-0.837
2,A1_1,-0.199,1.0,0.161,0.744,-0.573,-0.484,-0.771,0.603,0.473,0.147,-0.38,-0.453,-0.531,0.536,0.641,0.222
