,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,1.0,0.227,-0.07,0.498,0.587,-0.454,0.178,-0.17,-0.084,0.503,-0.629,-0.443,-0.04,-0.891,-0.923,-0.738
1,A1_1,0.227,1.0,-0.384,0.329,0.223,0.277,0.367,-0.278,-0.222,-0.064,0.051,0.271,0.173,0.026,-0.131,-0.171
1,A1_2,-0.07,-0.384,1.0,0.094,-0.542,-0.722,-0.394,0.313,0.591,0.552,-0.499,-0.658,-0.548,0.041,0.168,0.221
1,A1_3,0.498,0.329,0.094,1.0,0.029,-0.202,-0.098,-0.127,0.053,0.434,-0.647,-0.557,-0.132,-0.117,-0.199,-0.144
1,B1_1,0.587,0.223,-0.542,0.029,1.0,0.21,0.781,-0.521,-0.422,-0.1,0.109,0.278,0.318,-0.483,-0.709,-0.401
1,B1_2,-0.454,0.277,-0.722,-0.202,0.21,1.0,0.279,-0.544,-0.706,-0.904,0.644,0.821,0.721,0.534,0.448,0.219
1,B1_3,0.178,0.367,-0.394,-0.098,0.781,0.279,1.0,-0.366,-0.091,-0.06,0.458,0.378,0.031,-0.029,-0.362,-0.031
1,A2_1,-0.17,-0.278,0.313,-0.127,-0.521,-0.544,-0.366,1.0,0.834,0.57,0.069,-0.281,-0.563,-0.005,0.045,-0.008
1,A2_2,-0.084,-0.222,0.591,0.053,-0.422,-0.706,-0.091,0.834,1.0,0.799,-0.057,-0.524,-0.839,0.039,-0.007,0.125
1,A2_3,0.503,-0.064,0.552,0.434,-0.1,-0.904,-0.06,0.57,0.799,1.0,-0.539,-0.812,-0.792,-0.446,-0.485,-0.233
1,B2_1,-0.629,0.051,-0.499,-0.647,0.109,0.644,0.458,0.069,-0.057,-0.539,1.0,0.805,0.247,0.515,0.373,0.238
1,B2_2,-0.443,0.271,-0.658,-0.557,0.278,0.821,0.378,-0.281,-0.524,-0.812,0.805,1.0,0.698,0.39,0.284,0.114
1,B2_3,-0.04,0.173,-0.548,-0.132,0.318,0.721,0.031,-0.563,-0.839,-0.792,0.247,0.698,1.0,0.075,0.109,-0.251
1,y1,-0.891,0.026,0.041,-0.117,-0.483,0.534,-0.029,-0.005,0.039,-0.446,0.515,0.39,0.075,1.0,0.922,0.791
1,y2,-0.923,-0.131,0.168,-0.199,-0.709,0.448,-0.362,0.045,-0.007,-0.485,0.373,0.284,0.109,0.922,1.0,0.711
1,y3,-0.738,-0.171,0.221,-0.144,-0.401,0.219,-0.031,-0.008,0.125,-0.233,0.238,0.114,-0.251,0.791,0.711,1.0
2,.,1.0,-0.229,-0.584,0.098,0.509,0.508,-0.101,-0.621,-0.495,-0.289,0.497,0.379,-0.091,-0.802,-0.837,-0.736
2,A1_1,-0.229,1.0,0.657,0.513,-0.081,-0.272,-0.02,-0.33,-0.231,-0.204,-0.534,-0.338,0.171,0.373,0.514,0.486
2,A1_2,-0.584,0.657,1.0,0.061,-0.484,-0.413,-0.103,0.212,0.16,0.347,-0.747,-0.604,-0.09,0.559,0.666,0.472
2,A1_3,0.098,0.513,0.061,1.0,-0.12,-0.192,0.027,-0.0,0.046,0.06,-0.453,-0.507,-0.247,-0.322,0.203,-0.113
2,B1_1,0.509,-0.081,-0.484,-0.12,1.0,0.672,0.439,-0.774,-0.533,-0.853,0.738,0.76,0.251,-0.034,-0.356,0.036
2,B1_2,0.508,-0.272,-0.413,-0.192,0.672,1.0,-0.201,-0.588,-0.698,-0.483,0.383,0.406,0.235,-0.285,-0.583,-0.302
2,B1_3,-0.101,-0.02,-0.103,0.027,0.439,-0.201,1.0,-0.004,0.408,-0.246,0.403,0.248,-0.363,0.315,0.392,0.353
2,A2_1,-0.621,-0.33,0.212,-0.0,-0.774,-0.588,-0.004,1.0,0.821,0.811,-0.44,-0.574,-0.417,0.118,0.428,0.028
2,A2_2,-0.495,-0.231,0.16,0.046,-0.533,-0.698,0.408,0.821,1.0,0.578,-0.149,-0.379,-0.454,0.115,0.425,0.02
2,A2_3,-0.289,-0.204,0.347,0.06,-0.853,-0.483,-0.246,0.811,0.578,1.0,-0.623,-0.785,-0.661,-0.165,0.24,-0.26
2,B2_1,0.497,-0.534,-0.747,-0.453,0.738,0.383,0.403,-0.44,-0.149,-0.623,1.0,0.919,0.264,-0.177,-0.565,-0.193
2,B2_2,0.379,-0.338,-0.604,-0.507,0.76,0.406,0.248,-0.574,-0.379,-0.785,0.919,1.0,0.556,0.04,-0.487,0.046
2,B2_3,-0.091,0.171,-0.09,-0.247,0.251,0.235,-0.363,-0.417,-0.454,-0.661,0.264,0.556,1.0,0.27,-0.217,0.271
2,y1,-0.802,0.373,0.559,-0.322,-0.034,-0.285,0.315,0.118,0.115,-0.165,-0.177,0.04,0.27,1.0,0.776,0.956
2,y2,-0.837,0.514,0.666,0.203,-0.356,-0.583,0.392,0.428,0.425,0.24,-0.565,-0.487,-0.217,0.776,1.0,0.807
2,y3,-0.736,0.486,0.472,-0.113,0.036,-0.302,0.353,0.028,0.02,-0.26,-0.193,0.046,0.271,0.956,0.807,1.0
3,.,1.0,-0.437,-0.356,0.245,-0.111,-0.162,-0.167,0.015,-0.13,0.226,-0.11,-0.262,-0.552,-0.697,-0.536,-0.68
3,A1_1,-0.437,1.0,0.461,0.575,-0.334,-0.483,-0.454,0.54,0.383,0.439,-0.61,-0.584,-0.257,0.463,0.165,0.481
3,A1_2,-0.356,0.461,1.0,-0.067,-0.569,0.062,-0.65,0.578,-0.021,0.476,-0.658,-0.384,-0.163,0.565,0.506,0.673
