,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,0.12,0.016,0.038,0.028,0.032,0.078,0.032,0.039,0.037,0.028,0.048,0.069,0.033,0.115,0.169,0.119
1,A1_1,0.424,0.016,0.017,0.014,0.077,0.062,0.033,0.019,0.026,0.015,0.029,0.105,0.046,0.04,0.053,0.023
1,A1_2,0.314,0.022,0.02,0.019,0.134,0.032,0.04,0.018,0.02,0.023,0.028,0.094,0.046,0.065,0.082,0.043
1,A1_3,0.392,0.011,0.014,0.015,0.096,0.061,0.029,0.013,0.02,0.018,0.037,0.131,0.032,0.045,0.06,0.027
1,B1_1,0.209,0.027,0.08,0.047,0.024,0.042,0.021,0.059,0.038,0.024,0.032,0.035,0.03,0.107,0.109,0.115
1,B1_2,0.195,0.041,0.047,0.067,0.013,0.022,0.016,0.074,0.044,0.081,0.033,0.029,0.021,0.072,0.067,0.18
1,B1_3,0.152,0.056,0.091,0.087,0.007,0.011,0.011,0.106,0.041,0.057,0.018,0.01,0.017,0.076,0.055,0.205
1,A2_1,0.399,0.019,0.016,0.016,0.086,0.052,0.034,0.02,0.027,0.019,0.03,0.107,0.047,0.044,0.056,0.027
1,A2_2,0.486,0.016,0.013,0.009,0.142,0.034,0.032,0.012,0.016,0.007,0.015,0.084,0.058,0.03,0.037,0.01
1,A2_3,0.285,0.007,0.015,0.01,0.081,0.13,0.033,0.013,0.023,0.01,0.042,0.153,0.038,0.051,0.084,0.024
1,B2_1,0.225,0.044,0.05,0.07,0.007,0.025,0.013,0.099,0.057,0.08,0.03,0.023,0.02,0.055,0.048,0.154
1,B2_2,0.409,0.05,0.051,0.054,0.019,0.019,0.016,0.067,0.042,0.041,0.021,0.026,0.029,0.048,0.037,0.07
1,B2_3,0.25,0.056,0.063,0.064,0.01,0.021,0.015,0.102,0.052,0.055,0.023,0.02,0.027,0.059,0.05,0.134
1,y1,0.685,0.034,0.013,0.016,0.034,0.015,0.016,0.024,0.026,0.017,0.01,0.037,0.038,0.014,0.012,0.01
1,y2,0.669,0.044,0.015,0.02,0.024,0.013,0.014,0.033,0.031,0.023,0.01,0.03,0.037,0.013,0.011,0.014
1,y3,0.583,0.054,0.024,0.029,0.015,0.017,0.014,0.057,0.044,0.029,0.013,0.026,0.037,0.019,0.015,0.024
2,.,0.082,0.035,0.023,0.042,0.04,0.058,0.033,0.044,0.038,0.041,0.022,0.051,0.037,0.174,0.13,0.152
2,A1_1,0.148,0.017,0.013,0.024,0.042,0.122,0.064,0.025,0.031,0.023,0.025,0.057,0.039,0.159,0.08,0.131
2,A1_2,0.262,0.011,0.013,0.018,0.074,0.156,0.039,0.007,0.008,0.011,0.046,0.049,0.065,0.099,0.069,0.072
2,A1_3,0.24,0.011,0.011,0.015,0.052,0.185,0.038,0.009,0.008,0.012,0.036,0.064,0.046,0.112,0.07,0.09
2,B1_1,0.146,0.08,0.082,0.081,0.008,0.008,0.012,0.118,0.099,0.103,0.011,0.024,0.009,0.05,0.094,0.075
2,B1_2,0.178,0.091,0.053,0.067,0.024,0.026,0.02,0.054,0.033,0.094,0.019,0.042,0.015,0.066,0.12,0.097
2,B1_3,0.152,0.137,0.064,0.087,0.015,0.011,0.015,0.07,0.046,0.151,0.014,0.03,0.008,0.037,0.092,0.07
2,A2_1,0.288,0.013,0.013,0.021,0.05,0.136,0.042,0.013,0.016,0.018,0.05,0.066,0.057,0.084,0.055,0.078
2,A2_2,0.276,0.01,0.025,0.023,0.059,0.095,0.026,0.01,0.016,0.009,0.057,0.028,0.114,0.115,0.077,0.06
2,A2_3,0.175,0.013,0.008,0.015,0.026,0.176,0.054,0.022,0.018,0.022,0.02,0.092,0.022,0.132,0.064,0.139
2,B2_1,0.127,0.081,0.04,0.077,0.011,0.013,0.025,0.106,0.135,0.142,0.014,0.034,0.011,0.043,0.062,0.079
2,B2_2,0.152,0.117,0.043,0.077,0.016,0.018,0.024,0.072,0.054,0.161,0.015,0.041,0.009,0.042,0.076,0.084
2,B2_3,0.203,0.074,0.063,0.077,0.01,0.01,0.017,0.095,0.118,0.104,0.016,0.025,0.011,0.038,0.076,0.063
2,y1,0.58,0.023,0.038,0.043,0.033,0.021,0.018,0.01,0.021,0.029,0.067,0.018,0.042,0.014,0.026,0.018
2,y2,0.382,0.058,0.045,0.071,0.022,0.019,0.028,0.036,0.058,0.091,0.037,0.031,0.02,0.022,0.039,0.04
2,y3,0.594,0.027,0.036,0.043,0.018,0.018,0.019,0.018,0.033,0.042,0.045,0.024,0.022,0.013,0.026,0.023
3,.,0.073,0.04,0.031,0.04,0.038,0.038,0.025,0.043,0.037,0.043,0.024,0.031,0.047,0.14,0.244,0.106
3,A1_1,0.223,0.007,0.014,0.018,0.052,0.064,0.104,0.009,0.017,0.013,0.138,0.069,0.081,0.075,0.036,0.08
3,A1_2,0.251,0.013,0.02,0.015,0.105,0.05,0.103,0.01,0.012,0.011,0.071,0.066,0.049,0.063,0.059,0.103
3,A1_3,0.218,0.022,0.022,0.016,0.093,0.083,0.036,0.019,0.008,0.017,0.055,0.081,0.03,0.062,0.151,0.087
3,B1_1,0.307,0.075,0.116,0.103,0.008,0.005,0.011,0.059,0.109,0.041,0.007,0.005,0.017,0.042,0.056,0.037
3,B1_2,0.254,0.108,0.075,0.071,0.017,0.02,0.01,0.071,0.035,0.05,0.01,0.016,0.009,0.052,0.141,0.061
3,B1_3,0.286,0.174,0.091,0.09,0.008,0.009,0.005,0.083,0.034,0.054,0.004,0.007,0.003,0.026,0.087,0.037
3,A2_1,0.194,0.01,0.016,0.018,0.051,0.08,0.062,0.014,0.017,0.015,0.117,0.077,0.06,0.097,0.072,0.099
3,A2_2,0.113,0.003,0.015,0.015,0.066,0.028,0.077,0.008,0.021,0.012,0.116,0.034,0.341,0.068,0.042,0.04
3,A2_3,0.18,0.005,0.007,0.009,0.035,0.181,0.039,0.009,0.005,0.011,0.183,0.132,0.028,0.061,0.049,0.067
3,B2_1,0.266,0.091,0.053,0.085,0.018,0.026,0.015,0.074,0.041,0.081,0.016,0.023,0.014,0.045,0.101,0.05
3,B2_2,0.291,0.095,0.063,0.088,0.014,0.022,0.01,0.08,0.04,0.076,0.013,0.017,0.012,0.039,0.098,0.041
3,B2_3,0.26,0.111,0.094,0.107,0.008,0.006,0.011,0.07,0.123,0.055,0.005,0.006,0.012,0.037,0.058,0.039
3,y1,0.533,0.016,0.029,0.041,0.038,0.022,0.057,0.017,0.021,0.03,0.054,0.031,0.051,0.018,0.018,0.024
3,y2,0.56,0.043,0.045,0.064,0.023,0.017,0.021,0.036,0.021,0.055,0.021,0.02,0.018,0.013,0.026,0.017
3,y3,0.635,0.028,0.032,0.062,0.013,0.015,0.023,0.026,0.023,0.045,0.026,0.018,0.016,0.01,0.012,0.014
4,.,0.066,0.047,0.038,0.076,0.024,0.024,0.027,0.05,0.042,0.062,0.035,0.023,0.04,0.128,0.18,0.139
4,A1_1,0.253,0.012,0.017,0.015,0.037,0.172,0.081,0.011,0.015,0.009,0.066,0.057,0.02,0.072,0.071,0.092
4,A1_2,0.162,0.013,0.012,0.008,0.123,0.078,0.11,0.009,0.01,0.005,0.04,0.051,0.082,0.097,0.071,0.128
4,A1_3,0.285,0.012,0.011,0.012,0.057,0.145,0.06,0.007,0.007,0.01,0.08,0.09,0.03,0.065,0.061,0.067
4,B1_1,0.204,0.071,0.116,0.147,0.004,0.004,0.008,0.048,0.097,0.042,0.005,0.005,0.01,0.086,0.083,0.069
4,B1_2,0.169,0.075,0.077,0.219,0.004,0.007,0.007,0.051,0.036,0.122,0.016,0.01,0.009,0.055,0.096,0.046
4,B1_3,0.27,0.1,0.096,0.111,0.014,0.008,0.017,0.051,0.059,0.05,0.009,0.012,0.022,0.067,0.056,0.056
4,A2_1,0.217,0.023,0.02,0.024,0.076,0.04,0.049,0.021,0.018,0.022,0.06,0.052,0.087,0.094,0.1,0.096
4,A2_2,0.132,0.016,0.015,0.014,0.084,0.028,0.059,0.015,0.013,0.01,0.042,0.034,0.118,0.13,0.134,0.156
4,A2_3,0.327,0.006,0.009,0.013,0.024,0.138,0.036,0.007,0.008,0.011,0.139,0.078,0.016,0.054,0.079,0.055
4,B2_1,0.17,0.07,0.076,0.171,0.007,0.009,0.01,0.06,0.054,0.107,0.018,0.012,0.015,0.067,0.098,0.056
4,B2_2,0.208,0.05,0.054,0.153,0.008,0.014,0.011,0.048,0.032,0.122,0.037,0.019,0.017,0.061,0.112,0.052
4,B2_3,0.279,0.049,0.086,0.1,0.007,0.009,0.014,0.045,0.088,0.039,0.013,0.01,0.014,0.086,0.087,0.073
4,y1,0.512,0.041,0.045,0.056,0.029,0.023,0.023,0.038,0.026,0.06,0.029,0.03,0.025,0.022,0.022,0.019
4,y2,0.527,0.035,0.045,0.063,0.019,0.027,0.02,0.037,0.025,0.068,0.034,0.028,0.015,0.018,0.021,0.016
4,y3,0.608,0.026,0.038,0.048,0.018,0.024,0.019,0.029,0.02,0.05,0.032,0.026,0.015,0.016,0.018,0.014
5,.,0.042,0.045,0.035,0.054,0.025,0.021,0.041,0.036,0.037,0.048,0.026,0.025,0.03,0.158,0.161,0.216
5,A1_1,0.249,0.013,0.013,0.005,0.047,0.046,0.277,0.007,0.014,0.004,0.04,0.037,0.073,0.046,0.059,0.071
5,A1_2,0.259,0.019,0.025,0.011,0.061,0.03,0.133,0.016,0.017,0.011,0.049,0.048,0.123,0.059,0.079,0.06
5,A1_3,0.268,0.007,0.012,0.01,0.041,0.04,0.072,0.011,0.007,0.012,0.065,0.111,0.076,0.089,0.107,0.073
5,B1_1,0.196,0.054,0.069,0.096,0.006,0.012,0.008,0.091,0.071,0.051,0.01,0.007,0.006,0.142,0.084,0.099
5,B1_2,0.163,0.085,0.078,0.142,0.006,0.01,0.006,0.088,0.03,0.1,0.011,0.009,0.006,0.1,0.087,0.078
5,B1_3,0.144,0.213,0.128,0.079,0.008,0.007,0.011,0.08,0.074,0.05,0.007,0.004,0.007,0.059,0.069,0.06
5,A2_1,0.202,0.01,0.015,0.009,0.064,0.036,0.128,0.013,0.014,0.01,0.069,0.079,0.146,0.064,0.08,0.062
5,A2_2,0.066,0.003,0.009,0.003,0.078,0.01,0.09,0.006,0.008,0.003,0.049,0.045,0.479,0.053,0.066,0.033
5,A2_3,0.245,0.005,0.008,0.014,0.024,0.054,0.055,0.009,0.004,0.015,0.063,0.126,0.034,0.118,0.116,0.11
5,B2_1,0.165,0.081,0.061,0.125,0.01,0.019,0.01,0.106,0.056,0.113,0.019,0.018,0.009,0.07,0.07,0.07
5,B2_2,0.136,0.057,0.052,0.152,0.007,0.016,0.006,0.1,0.033,0.138,0.016,0.018,0.006,0.098,0.084,0.081
5,B2_3,0.188,0.093,0.095,0.063,0.006,0.008,0.008,0.111,0.15,0.038,0.007,0.004,0.007,0.09,0.074,0.06
5,y1,0.416,0.046,0.04,0.027,0.039,0.036,0.063,0.054,0.066,0.027,0.048,0.034,0.055,0.014,0.019,0.017
5,y2,0.561,0.036,0.03,0.034,0.016,0.042,0.032,0.052,0.045,0.031,0.032,0.028,0.015,0.014,0.015,0.017
5,y3,0.46,0.032,0.033,0.037,0.026,0.039,0.035,0.061,0.048,0.038,0.049,0.044,0.035,0.02,0.023,0.021
6,.,0.048,0.019,0.038,0.033,0.045,0.038,0.05,0.058,0.044,0.043,0.043,0.063,0.05,0.175,0.144,0.11
6,A1_1,0.234,0.011,0.007,0.007,0.043,0.141,0.174,0.004,0.004,0.006,0.065,0.087,0.025,0.074,0.069,0.049
6,A1_2,0.155,0.014,0.01,0.007,0.118,0.116,0.146,0.007,0.007,0.006,0.056,0.076,0.067,0.09,0.063,0.063
6,A1_3,0.23,0.008,0.009,0.008,0.068,0.128,0.119,0.007,0.006,0.007,0.089,0.131,0.042,0.061,0.048,0.038
6,B1_1,0.176,0.035,0.23,0.055,0.005,0.005,0.005,0.098,0.037,0.037,0.007,0.004,0.008,0.099,0.13,0.069
6,B1_2,0.17,0.063,0.151,0.078,0.005,0.011,0.01,0.068,0.039,0.082,0.008,0.006,0.006,0.087,0.137,0.08
6,B1_3,0.191,0.078,0.245,0.052,0.004,0.005,0.005,0.067,0.037,0.037,0.004,0.002,0.006,0.082,0.113,0.072
6,A2_1,0.177,0.007,0.012,0.008,0.102,0.069,0.11,0.011,0.008,0.006,0.098,0.13,0.094,0.075,0.049,0.043
6,A2_2,0.125,0.007,0.017,0.005,0.224,0.04,0.063,0.01,0.006,0.003,0.062,0.069,0.192,0.087,0.043,0.049
6,A2_3,0.258,0.01,0.011,0.013,0.031,0.127,0.087,0.008,0.006,0.012,0.084,0.116,0.02,0.083,0.084,0.049
6,B2_1,0.18,0.019,0.133,0.058,0.004,0.007,0.005,0.161,0.058,0.053,0.008,0.006,0.006,0.108,0.133,0.059
6,B2_2,0.197,0.022,0.095,0.063,0.007,0.018,0.011,0.081,0.033,0.062,0.016,0.013,0.007,0.125,0.172,0.078
6,B2_3,0.218,0.027,0.208,0.031,0.005,0.003,0.004,0.136,0.051,0.017,0.004,0.002,0.007,0.113,0.113,0.058
6,y1,0.579,0.013,0.042,0.029,0.026,0.024,0.026,0.071,0.033,0.03,0.031,0.033,0.025,0.014,0.013,0.013
6,y2,0.49,0.019,0.04,0.036,0.025,0.031,0.038,0.073,0.044,0.047,0.037,0.045,0.028,0.016,0.015,0.016
6,y3,0.49,0.017,0.034,0.037,0.027,0.048,0.039,0.057,0.032,0.048,0.041,0.052,0.022,0.018,0.018,0.018
7,.,0.036,0.041,0.064,0.042,0.025,0.024,0.032,0.061,0.074,0.049,0.02,0.018,0.022,0.206,0.132,0.155
7,A1_1,0.21,0.011,0.006,0.007,0.04,0.087,0.252,0.003,0.004,0.006,0.048,0.044,0.036,0.104,0.056,0.085
7,A1_2,0.248,0.008,0.009,0.006,0.105,0.063,0.119,0.007,0.007,0.004,0.076,0.065,0.088,0.068,0.053,0.073
7,A1_3,0.245,0.009,0.007,0.008,0.05,0.092,0.151,0.005,0.005,0.006,0.103,0.097,0.039,0.062,0.047,0.075
7,B1_1,0.265,0.063,0.103,0.035,0.006,0.005,0.006,0.11,0.082,0.044,0.005,0.004,0.01,0.146,0.059,0.055
7,B1_2,0.252,0.104,0.108,0.063,0.004,0.007,0.008,0.099,0.046,0.077,0.005,0.004,0.007,0.112,0.052,0.05
7,B1_3,0.19,0.128,0.123,0.051,0.004,0.006,0.008,0.079,0.059,0.066,0.003,0.003,0.005,0.155,0.063,0.057
